date,country_code,supplier_id,financial_risk,operational_risk,geopolitical_risk,compliance_risk,cyber_risk,climate_risk,supply_chain_risk,currency_risk,overall_risk_score,overall_risk,risk_category,risk_trend,assessment_method,assessed_by,mitigation_plan,next_review_date
2015-01,CN,SUP-0021,48.72,33.79,56.22,43.52,27.65,3.21,31.92,24.3,33.66,33.66,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0022,50.94,35.77,46.11,44.58,32.87,1.51,23.33,26.94,32.76,32.76,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0023,51.84,28.86,54.76,41.25,35.68,4.93,18.68,18.78,31.85,31.85,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0024,48.58,37.79,53.54,46.72,39.29,0,33.92,25.29,35.64,35.64,Medium,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0025,56.04,28.73,53.6,41.23,30.5,3.53,24.21,21.69,32.44,32.44,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0026,45.62,19.33,54.19,42.24,35.73,1.0,21.56,17.22,29.61,29.61,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0027,50.62,28.4,54.37,49.36,28.89,4.22,22.11,21.32,32.41,32.41,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0028,49.52,21.77,52.06,43.39,34.85,1.21,25.81,35.06,32.96,32.96,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0029,41.14,50.42,52.7,41.34,33.54,3.11,36.08,26.67,35.63,35.63,Medium,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0030,53.43,20.83,52.99,46.41,32.94,8.08,20.15,19.53,31.79,31.79,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0031,45.82,45.51,51.85,48.44,38.06,5.63,33.71,21.82,36.36,36.36,Medium,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0032,54.47,38.88,52.97,41.23,26.49,2.31,30.13,26.71,34.15,34.15,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0033,48.69,28.1,52.83,48.18,31.59,3.88,32.15,15.57,32.63,32.63,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0034,47.15,34.26,55.66,45.11,35.33,7.27,27.27,20.73,34.09,34.09,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,CN,SUP-0035,40.9,21.04,57.2,43.85,29.3,3.72,20.75,30.27,30.88,30.88,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0036,47.19,26.19,24.38,49.9,37.4,13.79,24.81,24.53,31.02,31.02,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0037,31.86,22.78,29.49,49.03,26.46,14.1,11.95,25.33,26.37,26.37,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0038,29.35,27.63,24.66,45.35,34.07,17.38,12.93,22.06,26.68,26.68,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0039,46.72,35.56,22.93,44.1,33.4,16.4,23.3,16.24,29.83,29.83,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0040,39.49,28.01,24.9,52.11,26.45,16.48,26.6,26.39,30.05,30.05,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0041,45.29,34.4,18.58,50.01,32.73,17.32,29.35,26.37,31.76,31.76,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0042,41.45,21.72,22.03,47.29,33.05,15.38,15.3,22.91,27.39,27.39,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0043,37.35,39.95,22.54,44.23,22.26,13.98,25.56,26.54,29.05,29.05,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0044,31.61,35.66,29.14,47.7,32.56,18.99,21.41,23.78,30.11,30.11,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0045,38.82,51.16,23.76,46.08,36.3,14.24,35.98,24.24,33.82,33.82,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0046,43.24,34.0,27.02,49.92,32.82,16.58,24.12,22.1,31.22,31.22,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0047,34.5,28.01,25.03,43.14,38.08,11.68,23.22,21.81,28.18,28.18,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0048,40.44,33.78,22.05,50.59,29.32,15.14,25.66,17.09,29.26,29.26,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0049,42.87,40.48,25.61,45.82,36.35,16.85,27.76,22.59,32.29,32.29,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0050,42.25,25.51,26.58,42.8,27.34,15.89,21.42,26.3,28.51,28.51,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0051,45.78,36.23,24.36,47.46,35.52,17.86,27.07,22.87,32.15,32.15,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0052,32.06,34.34,26.29,46.41,34.16,12.4,29.18,26.57,30.18,30.18,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0053,34.67,29.26,26.16,49.52,30.08,16.53,22.4,22.49,28.89,28.89,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0054,40.74,39.52,25.64,45.23,38.17,19.29,26.73,21.15,32.06,32.06,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0055,35.64,44.58,28.69,45.05,38.06,17.59,25.54,21.86,32.13,32.13,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0056,41.62,38.75,30.39,46.38,29.57,15.26,27.71,25.87,31.94,31.94,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0057,40.35,22.55,23.18,42.46,36.36,13.09,20.02,23.71,27.71,27.71,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0058,32.25,23.08,23.76,46.74,40.06,15.27,14.0,21.31,27.06,27.06,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0059,32.27,27.65,27.58,47.26,30.92,12.65,19.5,22.22,27.51,27.51,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0060,38.75,33.77,21.48,44.27,35.96,14.13,23.61,24.87,29.6,29.6,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0061,32.55,35.56,26.86,47.29,28.91,15.49,27.83,22.66,29.64,29.64,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0062,38.48,22.64,27.92,46.49,38.32,14.8,14.58,23.37,28.32,28.32,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0063,33.3,34.64,26.33,49.46,33.53,19.24,29.74,25.78,31.5,31.5,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0064,43.76,26.74,25.16,46.43,33.32,17.52,17.3,20.4,28.83,28.83,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,IN,SUP-0065,39.76,42.56,21.33,48.16,29.55,13.3,25.48,21.32,30.18,30.18,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0066,27.7,35.48,33.52,21.99,28.44,5.59,22.64,20.44,24.47,24.47,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0067,35.95,29.61,27.25,32.07,30.21,8.83,15.9,23.52,25.42,25.42,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0068,26.28,26.8,32.02,23.51,39.78,2.65,22.44,19.97,24.18,24.18,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0069,27.65,27.29,30.56,28.49,30.06,1.7,15.25,20.31,22.66,22.66,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0070,30.03,40.43,34.56,30.56,31.95,10.51,21.89,17.85,27.22,27.22,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0071,28.68,35.33,28.09,31.95,34.59,10.82,20.64,22.53,26.58,26.58,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0072,29.95,20.3,27.88,25.94,32.84,4.32,19.23,22.98,22.93,22.93,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0073,27.52,30.4,28.67,33.61,24.26,2.37,15.89,20.25,22.87,22.87,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0074,25.32,26.01,32.37,25.49,36.71,7.34,10.15,19.35,22.84,22.84,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0075,30.38,12.62,24.12,28.49,32.88,7.02,12.55,24.18,21.53,21.53,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0076,27.39,26.02,28.17,25.57,26.98,9.67,16.14,21.49,22.68,22.68,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0077,26.82,35.76,24.28,28.64,35.57,1.09,16.94,21.84,23.87,23.87,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0078,24.36,40.81,31.7,28.39,30.27,9.06,28.17,19.93,26.59,26.59,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0079,39.04,43.15,29.35,29.8,25.89,4.81,19.11,20.73,26.48,26.48,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0080,24.6,17.8,30.34,25.89,36.86,4.43,6.29,25.54,21.47,21.47,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0081,31.24,32.41,24.26,31.96,26.23,3.96,10.06,21.49,22.7,22.7,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0082,34.02,13.31,29.17,29.85,37.12,4.78,9.34,24.78,22.8,22.8,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0083,21.7,34.57,27.58,28.41,32.86,3.51,16.11,19.83,23.07,23.07,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0084,30.35,41.72,30.58,26.28,27.91,2.79,21.16,19.96,25.09,25.09,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0085,33.12,34.11,33.77,34.17,39.36,7.09,14.23,23.84,27.46,27.46,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0086,28.98,22.69,24.71,23.43,26.94,6.16,17.68,21.2,21.47,21.47,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0087,25.92,17.12,32.05,25.67,32.46,4.98,7.58,22.42,21.02,21.02,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0088,27.45,34.34,23.4,26.28,31.1,3.36,18.32,19.72,22.99,22.99,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0089,26.79,24.58,30.77,31.2,33.34,9.61,18.71,21.15,24.52,24.52,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,US,SUP-0090,33.12,52.51,28.8,29.16,34.27,2.85,31.16,22.76,29.33,29.33,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0091,26.91,36.09,8.78,24.35,21.69,0,11.3,22.26,18.92,18.92,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0092,29.31,41.0,8.65,23.16,40.18,2.81,16.18,20.59,22.74,22.74,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0093,31.42,40.31,8.58,21.42,28.64,5.85,19.5,19.68,21.92,21.92,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0094,23.57,22.58,6.21,20.94,31.31,2.14,7.1,18.78,16.58,16.58,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0095,27.27,29.32,6.4,20.51,32.29,3.21,14.09,20.68,19.22,19.22,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0096,26.59,24.0,8.97,21.39,27.08,2.93,19.36,20.37,18.84,18.84,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0097,13.71,37.27,5.08,18.03,30.77,5.32,14.48,23.59,18.53,18.53,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0098,24.91,37.83,8.45,20.4,29.78,13.71,23.1,12.95,21.39,21.39,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0099,26.21,27.04,10.6,17.79,25.12,8.4,9.34,17.35,17.73,17.73,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0100,33.74,18.95,6.31,23.11,38.59,4.43,11.07,22.82,19.88,19.88,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0101,22.37,41.83,8.99,20.69,35.17,3.97,15.8,19.62,21.06,21.06,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0102,25.76,25.65,4.7,19.81,35.62,6.44,14.87,20.61,19.18,19.18,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0103,23.22,18.31,2.94,18.39,27.11,6.31,10.4,18.4,15.63,15.63,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0104,26.1,36.45,9.11,20.95,29.01,4.09,22.15,24.5,21.55,21.55,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0105,19.22,28.18,8.97,23.54,33.34,2.2,4.85,19.12,17.43,17.43,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0106,20.5,40.23,3.34,23.21,36.4,4.54,17.89,17.58,20.46,20.46,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0107,22.18,27.69,10.85,25.65,34.41,3.99,7.54,21.85,19.27,19.27,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,DE,SUP-0108,26.53,31.28,3.56,19.27,36.8,3.21,15.57,20.0,19.53,19.53,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0109,24.51,23.08,15.02,22.81,33.45,1.42,8.83,7.5,17.08,17.08,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0110,16.8,28.3,17.35,20.86,41.07,9.56,11.23,7.04,19.03,19.03,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0111,23.54,16.42,13.21,25.79,34.55,5.32,9.71,7.57,17.01,17.01,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0112,17.92,15.31,21.26,32.33,32.61,0,5.8,2.64,15.99,15.99,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0113,22.37,32.19,15.27,30.3,35.9,6.3,13.12,4.1,19.95,19.95,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0114,24.95,28.82,11.92,26.67,27.61,2.41,7.64,0,16.25,16.25,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0115,19.79,30.51,14.83,29.54,37.16,3.27,12.35,1.33,18.6,18.6,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0116,19.44,27.79,0.52,25.49,34.45,4.17,9.45,4.37,15.71,15.71,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0117,22.96,17.21,13.22,26.66,27.29,1.58,3.92,4.38,14.65,14.65,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0118,16.94,29.5,16.29,24.11,23.93,4.67,16.39,6.91,17.34,17.34,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0119,22.47,22.72,9.78,26.57,31.53,1.94,12.93,6.66,16.83,16.83,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0120,18.97,21.73,15.28,25.97,29.56,0,13.21,3.23,15.99,15.99,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0121,23.39,20.15,14.16,31.46,33.99,4.38,4.47,6.19,17.27,17.27,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0122,20.51,28.05,9.96,23.54,38.79,2.0,9.8,1.65,16.79,16.79,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,JP,SUP-0123,18.69,35.14,14.47,28.65,29.43,0,14.04,5.18,18.2,18.2,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0124,32.21,33.01,40.15,46.86,40.68,16.48,27.03,19.48,31.99,31.99,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0125,42.02,34.8,39.65,45.48,35.21,16.01,21.27,17.54,31.5,31.5,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0126,35.62,28.53,37.0,44.34,38.27,16.43,19.27,21.27,30.09,30.09,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0127,30.77,37.93,37.85,45.57,35.03,20.04,19.39,25.04,31.45,31.45,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0128,32.6,31.35,36.88,48.28,32.88,13.59,25.47,22.98,30.5,30.5,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0129,31.5,29.48,34.09,44.66,31.91,16.96,28.28,19.48,29.55,29.55,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0130,42.55,14.88,35.37,47.25,36.38,11.66,18.37,18.41,28.11,28.11,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0131,33.58,26.46,36.6,42.97,32.13,18.7,16.88,21.07,28.55,28.55,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0132,38.28,24.49,39.05,42.74,34.56,16.22,14.04,20.72,28.76,28.76,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0133,32.34,16.26,38.84,43.75,40.31,20.75,10.67,19.16,27.76,27.76,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0134,36.22,24.69,39.01,46.95,38.17,14.88,21.31,19.4,30.08,30.08,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0135,33.18,39.28,39.7,40.29,35.39,14.56,24.54,17.03,30.49,30.49,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0136,38.23,31.17,38.36,40.91,35.25,14.72,22.26,22.06,30.37,30.37,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0137,39.01,33.72,33.19,43.34,36.54,11.33,16.24,26.35,29.96,29.96,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,VN,SUP-0138,39.58,34.39,44.98,46.72,32.05,19.48,26.53,20.8,33.07,33.07,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0139,23.49,27.47,15.09,28.02,29.21,3.66,12.04,21.21,20.02,20.02,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0140,26.78,28.08,25.13,30.85,28.53,3.65,17.41,18.73,22.39,22.39,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0141,32.54,27.48,15.34,30.94,32.32,2.37,15.98,14.65,21.45,21.45,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0142,30.09,35.79,22.75,31.86,39.56,3.7,17.78,5.66,23.4,23.4,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0143,34.54,9.56,23.54,32.2,33.98,4.13,10.63,15.32,20.49,20.49,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0144,30.99,35.33,18.57,38.58,32.48,2.31,23.27,11.07,24.07,24.07,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
2015-01,KR,SUP-0145,28.73,15.22,11.86,33.69,33.67,1.62,2.76,11.38,17.37,17.37,Low,increasing,ensemble_score,risk-engine-v2,Quarterly monitoring,2015-02-15
