supplier_id,supplier_name,name,country_code,country,city,industry,established_year,employee_count,annual_revenue_usd,annual_capacity_units,commodity_codes,certifications,financial_stability_score,quality_score,delivery_score,cost_score,sustainability_score,innovation_score,response_time_hours,minimum_order_quantity,lead_time_days,payment_terms,contract_type,preferred_currency,risk_level,risk_score,risk_tier,tier,status,preferred_supplier,onboarding_date,last_audit_date,on_time_delivery,performance_trend,recent_risk_spike
SUP-0017,China Industrial Works 017,China Industrial Works 017,CN,China,Shenzhen,Battery,1999,242,211204346.3,92571,"[""NIC"", ""TIM"", ""SEM"", ""CEM"", ""REE""]","[""ResponsibleSteel""]",78.74,93.61,93.06,72.62,79.76,85.53,41.3,3386,27,Net 90,multi-year,CNY,Medium,58.16,Medium,Tier 3,blacklisted,false,2017-08-01,2024-02-22,93.06,improving,false
SUP-0018,China Global Industries 018,China Global Industries 018,CN,China,Shanghai,Battery,1989,10575,56210244.62,833955,"[""LIT"", ""SEM""]","[""LEED"", ""ISO 14001""]",83.75,90.49,94.88,85.77,66.0,84.36,36.3,967,43,Net 90,multi-year,CNY,Medium,44.31,Medium,Tier 1,active,false,2017-12-01,2024-03-23,94.88,improving,false
SUP-0019,China Integrated Supply 019,China Integrated Supply 019,CN,China,Shanghai,Construction,1979,1021,771558380.92,170297,"[""TIM"", ""RBR""]","[""ISO 14001"", ""ISO 9001"", ""LEED"", ""ResponsibleSteel""]",78.51,93.58,87.62,70.78,58.63,85.06,9.4,313,42,Net 60,framework,CNY,Medium,50.77,Medium,Tier 2,active,false,2017-06-01,2024-03-16,87.62,improving,false
SUP-0020,China Advanced Materials 020,China Advanced Materials 020,CN,China,Suzhou,Polymers,1979,7346,1370434112.99,949316,"[""PLA"", ""SEM"", ""STL""]","[""SA8000"", ""LEED""]",82.19,100,89.98,60.87,87.82,84.48,18.9,4857,41,Net 30,framework,CNY,Medium,50.32,Medium,Tier 1,inactive,false,2017-01-01,2024-10-11,89.98,improving,false
SUP-0021,China Precision Components 021,China Precision Components 021,CN,China,Suzhou,Electronics,1980,2458,94064960.3,200976,"[""SLC"", ""REE""]","[""ResponsibleSteel""]",76.0,84.1,81.04,86.32,81.68,89.7,3.4,4655,53,Net 90,multi-year,CNY,Medium,47.52,Medium,Tier 2,inactive,false,2017-05-01,2024-10-04,81.04,improving,false
SUP-0022,China Industrial Works 022,China Industrial Works 022,CN,China,Suzhou,Construction,1986,141,241188417.42,8687,"[""GLS"", ""TIM""]","[""LEED"", ""SA8000"", ""IATF 16949""]",76.81,93.08,86.84,91.35,69.77,85.51,22.9,4174,24,Net 45,framework,CNY,Medium,48.81,Medium,Tier 3,inactive,false,2017-11-01,2024-02-14,86.84,improving,false
SUP-0023,China Global Industries 023,China Global Industries 023,CN,China,Shenzhen,Metals,1980,16284,1405135110.89,994934,"[""ALM"", ""NIC"", ""SEM"", ""GLS""]","[""ISO 45001""]",81.01,83.74,92.0,80.38,79.33,70.8,46.0,3539,37,Net 45,multi-year,CNY,Medium,58.72,Medium,Tier 1,active,false,2017-02-01,2024-04-14,92.0,improving,false
SUP-0024,China Integrated Supply 024,China Integrated Supply 024,CN,China,Shanghai,Electronics,1975,2241,58700760.12,668407,"[""REE"", ""STL"", ""ALM"", ""PLA""]","[""ResponsibleSteel"", ""ISO 14001""]",86.08,77.22,77.11,72.63,71.28,62.36,44.5,2418,50,Net 45,multi-year,CNY,Medium,59.3,Medium,Tier 2,active,false,2017-07-01,2024-01-11,77.11,improving,false
SUP-0025,China Advanced Materials 025,China Advanced Materials 025,CN,China,Shanghai,Construction,2008,1851,583060471.1,737901,"[""GLS"", ""TIM""]","[""ISO 45001"", ""ISO 14001"", ""ISO 9001"", ""IATF 16949""]",100,79.7,85.37,74.37,64.18,74.5,12.4,2456,20,Net 60,spot,CNY,Medium,39.41,Medium,Tier 2,active,false,2017-07-01,2024-02-24,85.37,improving,false
SUP-0026,China Precision Components 026,China Precision Components 026,CN,China,Shanghai,Construction,1991,853,786129614.92,549467,"[""TIM"", ""ALM""]","[""IATF 16949""]",67.74,86.7,94.98,73.76,78.86,69.79,30.8,1369,43,Net 45,framework,CNY,High,62.72,High,Tier 2,active,false,2017-09-01,2024-10-02,94.98,stable,true
SUP-0027,China Industrial Works 027,China Industrial Works 027,CN,China,Ningbo,Metals,1996,16962,1007155820.85,402947,"[""ALM"", ""GLS"", ""REE"", ""LIT"", ""STL""]","[""ResponsibleSteel"", ""ISO 9001""]",85.77,83.7,90.95,61.09,100,97.33,14.4,4687,43,Net 90,framework,CNY,Medium,44.2,Medium,Tier 1,active,false,2017-02-01,2024-03-08,90.95,stable,true
SUP-0028,China Global Industries 028,China Global Industries 028,CN,China,Suzhou,Electronics,1975,228,83747356.2,514728,"[""REE"", ""PAP"", ""ALM"", ""COP"", ""LIT""]","[""SA8000"", ""ISO 14001"", ""ISO 45001""]",86.0,93.75,93.17,74.37,75.07,64.64,53.2,1170,30,Net 30,framework,CNY,Medium,49.69,Medium,Tier 3,inactive,false,2017-06-01,2024-05-01,93.17,stable,true
SUP-0029,China Integrated Supply 029,China Integrated Supply 029,CN,China,Suzhou,Construction,1989,2377,190723929.92,351928,"[""CEM"", ""RBR"", ""NIC""]","[""SA8000"", ""ISO 45001"", ""ISO 9001""]",74.63,93.48,70.46,82.83,66.28,87.3,11.4,2895,7,Net 60,multi-year,CNY,Medium,46.96,Medium,Tier 2,inactive,false,2017-08-01,2024-08-17,70.46,stable,true
SUP-0030,China Advanced Materials 030,China Advanced Materials 030,CN,China,Guangzhou,Construction,1997,15203,1287831244.57,436842,"[""GLS"", ""TIM"", ""LIT""]","[""LEED"", ""ISO 45001"", ""ISO 9001"", ""IATF 16949""]",91.11,93.42,100,81.09,53.43,82.63,17.0,3282,43,Net 60,spot,CNY,Medium,47.39,Medium,Tier 1,active,false,2017-05-01,2024-06-16,100,stable,true
SUP-0031,China Precision Components 031,China Precision Components 031,CN,China,Shanghai,Construction,1984,878,112153122.23,198394,"[""TIM"", ""LIT""]","[""ISO 14001"", ""IATF 16949"", ""SA8000"", ""LEED""]",91.43,85.66,72.18,76.76,68.3,68.39,24.9,2277,55,Net 30,multi-year,CNY,Medium,46.86,Medium,Tier 2,active,false,2017-09-01,2024-05-14,72.18,stable,false
SUP-0032,China Industrial Works 032,China Industrial Works 032,CN,China,Guangzhou,Electronics,1985,2423,529279760.67,281538,"[""SLC"", ""CTN"", ""REE"", ""NIC"", ""CEM""]","[""ISO 14001"", ""SA8000"", ""ISO 45001""]",81.13,89.66,74.23,83.45,55.84,96.74,22.8,2281,60,Net 90,framework,CNY,Medium,50.99,Medium,Tier 2,active,false,2017-09-01,2024-06-05,74.23,stable,false
SUP-0033,China Global Industries 033,China Global Industries 033,CN,China,Suzhou,Electronics,1980,1820,161594045.77,204798,"[""REE"", ""SEM"", ""PAP""]","[""ResponsibleSteel""]",85.68,89.76,82.61,84.6,68.81,89.01,30.6,2884,40,Net 60,framework,CNY,Medium,56.45,Medium,Tier 2,active,false,2017-08-01,2024-08-13,82.61,stable,false
SUP-0034,China Integrated Supply 034,China Integrated Supply 034,CN,China,Shenzhen,Metals,1983,2383,1035851103.73,587583,"[""STL"", ""PAP"", ""CEM"", ""RBR""]","[""ResponsibleSteel""]",68.28,84.93,80.34,84.4,86.76,80.07,31.8,686,17,Net 90,multi-year,CNY,Medium,50.88,Medium,Tier 2,active,false,2017-08-01,2024-06-23,80.34,stable,false
SUP-0035,China Advanced Materials 035,China Advanced Materials 035,CN,China,Guangzhou,Polymers,1983,2494,649390994.39,413179,"[""RBR"", ""TIM"", ""PLA""]","[""ISO 9001""]",88.17,98.77,86.29,72.91,69.76,97.82,16.6,1615,20,Net 45,framework,CNY,Medium,44.28,Medium,Tier 2,active,false,2017-09-01,2024-08-11,86.29,stable,false
SUP-0036,India Precision Components 036,India Precision Components 036,IN,India,Mumbai,Metals,1992,2146,782367325.07,669154,"[""STL"", ""CTN""]","[""ISO 45001"", ""ISO 9001"", ""IATF 16949"", ""LEED""]",78.87,90.46,87.08,79.37,73.26,72.98,27.6,1542,59,Net 30,multi-year,INR,Medium,43.33,Medium,Tier 2,active,false,2017-09-01,2024-07-14,87.08,stable,false
SUP-0037,India Industrial Works 037,India Industrial Works 037,IN,India,Pune,Construction,1992,18350,274404121.57,684395,"[""TIM"", ""NIC""]","[""ISO 45001"", ""LEED""]",89.29,87.31,96.23,82.95,60.4,95.9,35.3,1912,42,Net 60,spot,INR,Medium,41.69,Medium,Tier 1,active,false,2017-05-01,2024-06-09,96.23,stable,false
SUP-0038,India Global Industries 038,India Global Industries 038,IN,India,Bengaluru,Packaging,1999,18231,296969131.4,430489,"[""PAP"", ""TIM"", ""CTN""]","[""LEED""]",89.47,94.02,91.73,64.2,73.03,86.75,10.8,2375,14,Net 60,spot,INR,Low,29.34,Low,Tier 1,active,false,2017-05-01,2024-01-25,91.73,stable,false
SUP-0039,India Integrated Supply 039,India Integrated Supply 039,IN,India,Bengaluru,Construction,1996,3081,797343195.66,138489,"[""TIM"", ""SEM""]","[""ISO 45001"", ""SA8000"", ""ResponsibleSteel""]",100,99.21,81.44,63.44,76.39,70.85,2.6,1956,62,Net 60,spot,INR,Medium,37.1,Medium,Tier 1,active,false,2017-04-01,2024-08-17,81.44,stable,false
SUP-0040,India Advanced Materials 040,India Advanced Materials 040,IN,India,Ahmedabad,Construction,1992,5897,413903808.12,1116984,"[""CEM"", ""REE""]","[""SA8000"", ""IATF 16949""]",99.31,100,84.72,74.83,85.62,71.68,30.0,2004,47,Net 45,framework,INR,Medium,41.18,Medium,Tier 1,active,false,2017-12-01,2024-01-19,84.72,stable,false
SUP-0041,India Precision Components 041,India Precision Components 041,IN,India,Bengaluru,Construction,2005,6264,467999262.05,644224,"[""GLS"", ""PLA"", ""CEM"", ""REE""]","[""IATF 16949"", ""SA8000"", ""ISO 45001"", ""ResponsibleSteel""]",77.34,89.47,78.94,77.07,69.94,87.21,4.2,4526,54,Net 45,multi-year,INR,Medium,38.69,Medium,Tier 1,active,false,2017-10-01,2024-04-22,78.94,stable,false
SUP-0042,India Industrial Works 042,India Industrial Works 042,IN,India,Mumbai,Metals,1981,4608,678432675.72,565243,"[""STL"", ""SEM"", ""REE"", ""SLC""]","[""ISO 14001"", ""LEED"", ""IATF 16949"", ""ISO 9001""]",80.53,89.1,93.18,89.95,74.36,74.29,24.6,729,7,Net 45,multi-year,INR,Medium,37.23,Medium,Tier 1,active,false,2017-09-01,2024-07-19,93.18,stable,false
SUP-0043,India Global Industries 043,India Global Industries 043,IN,India,Mumbai,Packaging,1994,10723,242542574.89,786280,"[""PAP"", ""RBR"", ""CEM"", ""COP""]","[""SA8000"", ""ISO 14001"", ""ISO 9001"", ""IATF 16949""]",84.68,90.11,77.32,76.64,57.2,70.7,30.0,555,17,Net 60,multi-year,INR,Medium,38.95,Medium,Tier 1,active,false,2017-03-01,2024-09-14,77.32,stable,false
SUP-0044,India Integrated Supply 044,India Integrated Supply 044,IN,India,Chennai,Electronics,1975,16557,127605176.52,576239,"[""SEM"", ""TIM""]","[""SA8000""]",95.79,97.06,81.14,63.15,78.95,70.55,9.4,1565,17,Net 60,framework,INR,Medium,35.84,Medium,Tier 1,active,false,2017-05-01,2024-12-15,81.14,stable,false
SUP-0045,India Advanced Materials 045,India Advanced Materials 045,IN,India,Chennai,Packaging,2003,231,352180611.25,22361,"[""PAP"", ""NIC"", ""GLS"", ""SEM"", ""CEM""]","[""SA8000""]",80.24,95.34,62.81,66.66,80.81,85.77,48.4,3475,32,Net 90,multi-year,INR,Low,32.74,Low,Tier 3,inactive,false,2017-12-01,2024-04-05,62.81,stable,false
SUP-0046,India Precision Components 046,India Precision Components 046,IN,India,Bengaluru,Polymers,1997,1574,46661412.11,593355,"[""RBR"", ""CEM"", ""LIT""]","[""ResponsibleSteel"", ""LEED"", ""ISO 45001"", ""SA8000""]",86.45,89.34,80.18,86.43,73.32,69.9,12.3,1643,51,Net 30,multi-year,INR,Medium,42.56,Medium,Tier 2,active,false,2017-10-01,2024-10-07,80.18,stable,false
SUP-0047,India Industrial Works 047,India Industrial Works 047,IN,India,Ahmedabad,Polymers,1981,976,593943434.68,483886,"[""PLA"", ""LIT""]","[""IATF 16949"", ""ResponsibleSteel"", ""ISO 9001"", ""ISO 14001""]",87.96,84.8,81.68,81.04,87.22,77.42,23.3,3711,45,Net 90,multi-year,INR,Medium,39.78,Medium,Tier 2,active,false,2017-07-01,2024-08-05,81.68,stable,false
SUP-0048,India Global Industries 048,India Global Industries 048,IN,India,Pune,Construction,1989,566,335008472.74,525109,"[""GLS"", ""CTN"", ""RBR""]","[""ISO 9001""]",77.5,83.87,80.3,71.33,66.13,96.02,20.4,4016,37,Net 45,spot,INR,Medium,42.27,Medium,Tier 2,inactive,false,2017-02-01,2024-08-15,80.3,stable,false
SUP-0049,India Integrated Supply 049,India Integrated Supply 049,IN,India,Mumbai,Battery,1990,74,247305705.29,325619,"[""LIT"", ""SEM"", ""CEM"", ""NIC""]","[""ResponsibleSteel"", ""ISO 14001"", ""IATF 16949""]",79.5,85.06,78.07,75.52,72.8,64.39,13.1,3676,7,Net 60,spot,INR,Medium,42.82,Medium,Tier 3,active,false,2017-05-01,2024-04-20,78.07,stable,false
SUP-0050,India Advanced Materials 050,India Advanced Materials 050,IN,India,Pune,Electronics,2011,27,147365123.04,125035,"[""REE"", ""LIT"", ""PLA"", ""SEM"", ""TIM""]","[""SA8000"", ""ISO 45001"", ""ISO 14001""]",82.9,82.06,83.86,83.19,73.51,100,35.8,2383,37,Net 90,framework,INR,Medium,42.86,Medium,Tier 3,blacklisted,false,2017-02-01,2024-06-25,83.86,stable,false
SUP-0051,India Precision Components 051,India Precision Components 051,IN,India,Pune,Metals,2002,10202,164323499.17,778615,"[""ALM"", ""TIM"", ""RBR""]","[""SA8000"", ""ResponsibleSteel""]",92.12,100,83.2,66.28,77.26,72.34,10.1,3135,45,Net 30,framework,INR,Medium,49.0,Medium,Tier 1,active,false,2017-02-01,2024-11-23,83.2,stable,false
SUP-0052,India Industrial Works 052,India Industrial Works 052,IN,India,Chennai,Construction,2008,23149,854341313.0,780027,"[""TIM"", ""CEM"", ""COP"", ""SEM"", ""REE""]","[""ResponsibleSteel"", ""SA8000"", ""LEED"", ""ISO 14001""]",66.72,94.34,74.15,76.52,74.67,80.53,15.0,4586,32,Net 90,spot,INR,Medium,40.2,Medium,Tier 1,active,false,2017-10-01,2024-11-24,74.15,stable,false
SUP-0053,India Global Industries 053,India Global Industries 053,IN,India,Pune,Construction,1976,1738,407015177.49,62667,"[""TIM"", ""LIT"", ""CEM"", ""STL""]","[""ISO 45001"", ""ResponsibleSteel""]",80.59,90.33,87.99,80.24,71.55,87.67,23.6,745,65,Net 45,multi-year,INR,Medium,36.88,Medium,Tier 2,active,false,2017-11-01,2024-09-16,87.99,stable,false
SUP-0054,India Integrated Supply 054,India Integrated Supply 054,IN,India,Chennai,Battery,1980,36,524160434.33,198070,"[""LIT"", ""PLA"", ""CEM"", ""RBR"", ""PAP""]","[""ISO 45001""]",56.56,85.75,78.07,75.6,72.24,69.49,7.8,883,27,Net 90,multi-year,INR,Medium,41.11,Medium,Tier 3,active,false,2017-10-01,2024-04-12,78.07,stable,false
SUP-0055,India Advanced Materials 055,India Advanced Materials 055,IN,India,Chennai,Electronics,2015,52,437451309.56,80021,"[""REE"", ""SEM""]","[""ISO 14001"", ""ResponsibleSteel"", ""ISO 45001""]",82.71,88.1,76.43,87.7,80.04,80.02,5.0,3550,51,Net 30,multi-year,INR,Medium,47.38,Medium,Tier 3,active,false,2017-01-01,2024-03-03,76.43,stable,false
SUP-0056,India Precision Components 056,India Precision Components 056,IN,India,Mumbai,Metals,1977,1090,863994378.85,169135,"[""ALM"", ""GLS"", ""TIM""]","[""ISO 9001"", ""LEED"", ""IATF 16949""]",89.03,92.32,73.86,66.05,67.49,90.17,14.6,1995,36,Net 90,framework,INR,Medium,37.67,Medium,Tier 2,active,false,2017-05-01,2024-02-05,73.86,stable,false
SUP-0057,India Industrial Works 057,India Industrial Works 057,IN,India,Chennai,Metals,2008,38,23162160.73,324353,"[""STL"", ""GLS""]","[""ISO 9001"", ""ISO 14001"", ""ISO 45001""]",81.83,97.42,87.23,78.07,72.89,61.81,50.7,1562,52,Net 30,multi-year,INR,Medium,41.64,Medium,Tier 3,active,false,2017-11-01,2024-06-15,87.23,stable,false
SUP-0058,India Global Industries 058,India Global Industries 058,IN,India,Ahmedabad,Packaging,1985,1819,395040599.51,680516,"[""PAP"", ""LIT"", ""STL""]","[""ISO 9001""]",69.23,86.34,91.28,80.69,75.71,69.64,18.2,3751,30,Net 45,multi-year,INR,Medium,49.11,Medium,Tier 2,active,false,2017-07-01,2024-08-09,91.28,stable,false
SUP-0059,India Integrated Supply 059,India Integrated Supply 059,IN,India,Chennai,Electronics,1985,206,214419036.17,530381,"[""SEM"", ""GLS"", ""CEM"", ""CTN""]","[""ISO 9001""]",90.1,84.98,86.37,72.79,77.32,80.03,12.8,979,39,Net 90,framework,INR,Medium,39.97,Medium,Tier 3,inactive,false,2017-09-01,2024-07-25,86.37,stable,false
SUP-0060,India Advanced Materials 060,India Advanced Materials 060,IN,India,Bengaluru,Electronics,1985,8174,440857087.57,303840,"[""SEM"", ""STL"", ""RBR"", ""SLC""]","[""LEED""]",85.95,99.37,80.36,63.51,68.93,71.75,27.4,1992,32,Net 60,framework,INR,Medium,41.5,Medium,Tier 1,active,false,2017-01-01,2024-03-16,80.36,stable,false
SUP-0061,India Precision Components 061,India Precision Components 061,IN,India,Mumbai,Battery,1992,2256,862121617.39,377706,"[""NIC"", ""STL"", ""TIM"", ""LIT"", ""PLA""]","[""IATF 16949""]",76.07,95.36,79.28,75.62,77.37,86.28,39.2,1852,42,Net 90,spot,INR,Medium,35.88,Medium,Tier 2,active,false,2017-08-01,2024-09-02,79.28,stable,false
SUP-0062,India Industrial Works 062,India Industrial Works 062,IN,India,Chennai,Electronics,1988,22199,1081866215.28,591274,"[""REE"", ""SLC"", ""LIT"", ""ALM""]","[""SA8000""]",92.32,98.51,96.08,68.53,63.22,61.81,45.3,51,34,Net 45,spot,INR,Low,32.42,Low,Tier 1,active,false,2017-08-01,2024-03-10,96.08,stable,false
SUP-0063,India Global Industries 063,India Global Industries 063,IN,India,Bengaluru,Polymers,1991,1906,643091649.05,228055,"[""RBR"", ""SEM"", ""CTN"", ""NIC"", ""STL""]","[""IATF 16949"", ""LEED""]",82.13,91.76,76.98,61.71,72.81,84.65,2.2,2809,8,Net 45,multi-year,INR,Low,34.45,Low,Tier 2,active,false,2017-01-01,2024-04-19,76.98,stable,false
SUP-0064,India Integrated Supply 064,India Integrated Supply 064,IN,India,Ahmedabad,Electronics,2008,8734,1037480055.14,814914,"[""REE"", ""NIC"", ""GLS""]","[""ISO 45001""]",92.17,100,92.57,72.29,83.09,75.46,13.3,4049,25,Net 45,multi-year,INR,Medium,38.37,Medium,Tier 1,active,false,2017-02-01,2024-10-26,92.57,stable,false
SUP-0065,India Advanced Materials 065,India Advanced Materials 065,IN,India,Chennai,Electronics,2000,207,501553253.46,396470,"[""SEM"", ""REE"", ""ALM"", ""LIT"", ""CEM""]","[""IATF 16949"", ""ISO 14001""]",73.43,79.37,79.61,79.37,60.87,76.94,40.2,2964,57,Net 60,spot,INR,Medium,40.89,Medium,Tier 3,active,false,2017-10-01,2024-02-23,79.61,stable,false
SUP-0066,United States Precision Components 066,United States Precision Components 066,US,United States,Chicago,Polymers,1977,181,213987422.85,286939,"[""RBR"", ""CEM"", ""ALM"", ""GLS""]","[""IATF 16949""]",89.6,96.17,77.72,76.29,86.4,100,21.1,2915,21,Net 90,spot,USD,Low,16.08,Low,Tier 3,active,false,2017-10-01,2024-12-16,77.72,stable,false
SUP-0067,United States Industrial Works 067,United States Industrial Works 067,US,United States,Chicago,Construction,1982,6353,665859338.21,1153498,"[""TIM"", ""STL"", ""PLA""]","[""IATF 16949"", ""SA8000"", ""ISO 14001""]",91.02,89.44,82.72,79.12,80.61,68.62,21.1,1071,36,Net 60,multi-year,USD,Low,20.38,Low,Tier 1,active,false,2017-01-01,2024-06-11,82.72,stable,false
SUP-0068,United States Global Industries 068,United States Global Industries 068,US,United States,San Jose,Electronics,2012,190,520660897.6,266253,"[""SEM"", ""GLS"", ""COP"", ""CTN"", ""ALM""]","[""ResponsibleSteel"", ""ISO 9001"", ""IATF 16949"", ""LEED""]",81.45,98.01,87.32,83.02,74.13,79.03,48.0,3659,57,Net 30,multi-year,USD,Low,28.87,Low,Tier 3,active,false,2017-10-01,2024-02-11,87.32,stable,false
SUP-0069,United States Integrated Supply 069,United States Integrated Supply 069,US,United States,Detroit,Electronics,2010,1556,412523252.52,269923,"[""SLC"", ""STL"", ""GLS""]","[""LEED"", ""ISO 45001"", ""IATF 16949"", ""SA8000""]",84.5,76.88,91.37,78.71,66.8,78.34,30.5,2626,26,Net 45,multi-year,USD,Low,19.67,Low,Tier 2,active,false,2017-07-01,2024-10-15,91.37,stable,false
