date,country_code,country,gdp_growth,gdp_growth_rate,inflation,inflation_rate,interest_rate,industrial_production_index,unemployment_rate,manufacturing_pmi,retail_sales_index,consumer_confidence,business_confidence,exchange_rate_usd,trade_balance_usd,government_debt_percent_gdp,credit_rating,stock_market_index,oil_price_usd,gold_price_usd
2015-01,PL,Poland,3.408,3.408,6.653,6.653,5.9,78.296,5.364,59.842,104.316,71.906,75.769,3.978846,61840634.67,74.414,A,1069.057,55.0,1200.0
2015-01,TR,Turkey,3.525,3.525,54.15,54.15,27.455,72.318,5.264,60.124,104.732,72.57,76.517,27.424585,43938744.66,100.923,BB,1075.704,55.0,1200.0
2015-01,ZA,South Africa,1.979,1.979,5.966,5.966,5.855,61.658,6.589,51.996,99.211,63.738,66.58,18.420729,30482967.01,116.288,BB,987.38,55.0,1200.0
2015-01,AU,Australia,3.549,3.549,3.78,3.78,4.91,82.698,5.244,60.745,104.818,72.708,76.672,1.501156,-9167440.39,108.056,AA,1077.085,55.0,1200.0
2015-01,CA,Canada,3.58,3.58,4.454,4.454,4.955,84.828,5.217,60.998,104.927,72.884,76.869,1.340597,64973795.35,91.859,AA,1078.836,55.0,1200.0
2015-02,IN,India,2.99,2.99,5.37,5.37,5.755,79.541,5.722,57.852,102.823,69.517,73.082,83.251417,65974072.62,49.927,AAA,1049.171,56.634,1212.871
2015-02,CN,China,2.614,2.614,2.291,2.291,4.27,95.983,6.045,56.819,101.478,67.364,70.66,7.186694,20826852.86,129.149,BBB,1027.642,56.634,1212.871
2015-02,US,United States,2.478,2.478,4.35,4.35,4.99,88.612,6.162,55.791,100.993,66.589,69.788,0.999674,12167413.13,58.485,BB,1019.894,56.634,1212.871
2015-02,DE,Germany,2.871,2.871,3.234,3.234,4.585,93.544,5.825,57.956,102.397,68.835,72.315,0.921162,26327081.19,59.588,BB,1042.354,56.634,1212.871
2015-02,JP,Japan,2.745,2.745,2.773,2.773,4.495,91.227,5.933,57.226,101.947,68.115,71.505,147.996668,43707241.28,43.943,BB,1035.153,56.634,1212.871
2015-02,VN,Vietnam,0.809,0.809,2.998,2.998,4.81,69.496,7.592,46.644,95.032,57.05,59.057,24682.805341,49243470.69,128.226,A,924.505,56.634,1212.871
2015-02,BR,Brazil,3.378,3.378,5.022,5.022,5.395,70.003,5.39,59.29,104.207,71.732,75.573,4.969157,41319129.22,96.397,AAA,1071.318,56.634,1212.871
2015-02,KR,South Korea,3.448,3.448,3.635,3.635,4.945,91.776,5.331,60.688,104.456,72.13,76.021,1314.060025,-8774372.17,129.62,BB,1075.297,56.634,1212.871
2015-02,MX,Mexico,3.599,3.599,4.936,4.936,5.44,76.589,5.201,60.697,104.998,72.997,76.996,17.086955,19158440.32,40.4,BB,1083.966,56.634,1212.871
2015-02,TH,Thailand,3.244,3.244,1.784,1.784,3.865,72.853,5.505,58.77,103.729,70.966,74.711,35.264055,32351058.41,97.594,AA,1063.656,56.634,1212.871
2015-02,PL,Poland,3.332,3.332,6.211,6.211,6.025,78.151,5.43,59.459,104.042,71.468,75.276,4.046774,20807368.48,98.338,AAA,1068.68,56.634,1212.871
2015-02,TR,Turkey,3.473,3.473,53.783,53.783,27.58,72.228,5.309,59.865,104.546,72.274,76.184,26.679811,10217292.39,64.094,A,1076.744,56.634,1212.871
2015-02,ZA,South Africa,1.842,1.842,6.214,6.214,5.98,61.445,6.707,51.311,98.722,62.956,65.7,18.427337,-4275269.86,75.811,AAA,983.557,56.634,1212.871
2015-02,AU,Australia,3.58,3.58,4.023,4.023,5.035,82.759,5.217,60.898,104.927,72.884,76.869,1.520915,-10454248.23,76.335,AA,1082.836,56.634,1212.871
2015-02,CA,Canada,3.596,3.596,4.014,4.014,5.08,84.863,5.203,61.082,104.987,72.98,76.977,1.359929,67653376.99,81.642,A,1083.8,56.634,1212.871
2015-03,IN,India,3.102,3.102,5.69,5.69,5.877,79.759,5.627,58.41,103.221,70.154,73.798,82.886283,13707663.28,59.036,AAA,1059.537,58.255,1225.632
2015-03,CN,China,2.745,2.745,2.043,2.043,4.392,96.295,5.933,57.476,101.947,68.115,71.505,7.131545,6025465.55,98.145,AAA,1039.153,58.255,1225.632
2015-03,US,United States,2.614,2.614,4.249,4.249,5.112,88.91,6.045,56.469,101.478,67.364,70.66,0.994722,-9401968.96,63.995,BB,1031.642,58.255,1225.632
2015-03,DE,Germany,2.99,2.99,3.049,3.049,4.707,93.818,5.722,58.552,102.823,69.517,73.082,0.91679,-17347974.21,91.265,A,1053.171,58.255,1225.632
2015-03,JP,Japan,2.871,2.871,3.044,3.044,4.617,91.51,5.825,57.856,102.397,68.835,72.315,148.004769,67760610.47,37.033,A,1046.354,58.255,1225.632
2015-03,VN,Vietnam,0.8,0.8,3.811,3.811,4.932,69.48,7.6,46.601,95.0,57.001,59.001,24324.41997,8061456.85,112.052,AAA,928.006,58.255,1225.632
2015-03,BR,Brazil,3.448,3.448,5.207,5.207,5.517,70.121,5.331,59.638,104.456,72.13,76.021,4.997217,14187488.58,63.99,BBB,1079.297,58.255,1225.632
2015-03,KR,South Korea,3.505,3.505,3.773,3.773,5.067,91.903,5.282,60.974,104.66,72.456,76.388,1334.285627,17894531.45,96.439,A,1082.563,58.255,1225.632
2015-03,MX,Mexico,3.588,3.588,5.433,5.433,5.562,76.568,5.21,60.642,104.958,72.933,76.925,16.989263,-8068957.76,96.301,BB,1087.333,58.255,1225.632
2015-03,TH,Thailand,3.146,3.146,1.34,1.34,3.987,72.679,5.589,58.278,103.377,70.404,74.079,35.491293,52946437.34,34.368,BB,1062.037,58.255,1225.632
2015-03,PL,Poland,3.244,3.244,5.751,5.751,6.147,77.984,5.505,59.02,103.729,70.966,74.711,3.957968,51111132.27,106.669,BB,1067.656,58.255,1225.632
2015-03,TR,Turkey,3.408,3.408,54.366,54.366,27.702,72.115,5.364,59.542,104.316,71.906,75.769,26.563096,-12253274.74,37.141,AA,1077.057,58.255,1225.632
2015-03,ZA,South Africa,1.709,1.709,6.723,6.723,6.102,61.239,6.821,50.645,98.246,62.194,64.843,18.497797,55551617.6,30.578,AAA,979.937,58.255,1225.632
2015-03,AU,Australia,3.596,3.596,3.844,3.844,5.157,82.793,5.203,60.982,104.987,72.98,76.977,1.53298,55819723.32,70.519,BB,1087.8,58.255,1225.632
2015-03,CA,Canada,3.599,3.599,4.114,4.114,5.202,84.869,5.201,61.097,104.998,72.997,76.996,1.355035,2323189.75,115.382,BB,1087.966,58.255,1225.632
2015-04,IN,India,3.204,3.204,6.235,6.235,5.996,79.958,5.539,58.921,103.587,70.739,74.456,81.397626,39253063.0,96.479,AAA,1069.388,59.848,1238.176
2015-04,CN,China,2.871,2.871,2.683,2.683,4.511,96.594,5.825,58.106,102.397,68.835,72.315,7.089131,-14195266.84,115.565,BB,1050.354,59.848,1238.176
2015-04,US,United States,2.745,2.745,3.387,3.387,5.231,89.199,5.933,57.126,101.947,68.115,71.505,0.999523,-14776959.6,50.742,A,1043.153,59.848,1238.176
2015-04,DE,Germany,3.102,3.102,3.314,3.314,4.826,94.074,5.627,59.11,103.221,70.154,73.798,0.914502,51557013.42,115.808,A,1063.537,59.848,1238.176
2015-04,JP,Japan,2.99,2.99,3.337,3.337,4.736,91.779,5.722,58.452,102.823,69.517,73.082,148.289884,51898363.18,69.214,A,1057.171,59.848,1238.176
2015-04,VN,Vietnam,0.805,0.805,4.293,4.293,5.051,69.49,7.595,46.627,95.019,57.031,59.035,24617.803651,45534361.41,50.979,BB,932.307,59.848,1238.176
2015-04,BR,Brazil,3.505,3.505,4.933,4.933,5.636,70.218,5.282,59.924,104.66,72.456,76.388,4.926496,35968088.64,27.69,AA,1086.563,59.848,1238.176
2015-04,KR,South Korea,3.549,3.549,3.873,3.873,5.186,92.001,5.244,61.195,104.818,72.708,76.672,1313.834242,976102.9,110.181,A,1089.085,59.848,1238.176
2015-04,MX,Mexico,3.563,3.563,5.49,5.49,5.681,76.522,5.231,60.517,104.869,72.791,76.765,17.241886,223685.69,75.281,BB,1089.908,59.848,1238.176
2015-04,TH,Thailand,3.038,3.038,1.507,1.507,4.106,72.487,5.682,57.739,102.992,69.788,73.386,35.654848,73456649.23,66.838,A,1059.878,59.848,1238.176
2015-04,PL,Poland,3.146,3.146,6.337,6.337,6.266,77.797,5.589,58.528,103.377,70.404,74.079,4.010495,68456496.65,88.429,A,1066.037,59.848,1238.176
2015-04,TR,Turkey,3.332,3.332,54.482,54.482,27.821,71.981,5.43,59.159,104.042,71.468,75.276,27.106091,15343482.2,61.316,BBB,1076.68,59.848,1238.176
2015-04,ZA,South Africa,1.58,1.58,6.289,6.289,6.221,61.04,6.931,50.002,97.787,61.46,64.017,18.372863,77216496.33,86.534,BB,976.598,59.848,1238.176
2015-04,AU,Australia,3.599,3.599,4.408,4.408,5.276,82.799,5.201,60.997,104.998,72.997,76.996,1.509774,70819531.96,68.304,A,1091.966,59.848,1238.176
2015-04,CA,Canada,3.588,3.588,4.56,4.56,5.321,84.846,5.21,61.042,104.958,72.933,76.925,1.356181,14027477.39,81.172,AAA,1091.333,59.848,1238.176
2015-05,IN,India,3.297,3.297,5.905,5.905,6.109,80.138,5.46,59.383,103.917,71.267,75.05,82.653035,8929574.37,97.423,BB,1078.666,61.402,1250.397
2015-05,CN,China,2.99,2.99,2.584,2.584,4.624,96.877,5.722,58.702,102.823,69.517,73.082,7.100581,-17326281.53,48.25,A,1061.171,61.402,1250.397
2015-05,US,United States,2.871,2.871,3.768,3.768,5.344,89.477,5.825,57.756,102.397,68.835,72.315,1.002544,32947453.4,61.8,AA,1054.354,61.402,1250.397
2015-05,DE,Germany,3.204,3.204,3.798,3.798,4.939,94.31,5.539,59.621,103.587,70.739,74.456,0.906698,54116913.16,78.637,A,1073.388,61.402,1250.397
2015-05,JP,Japan,3.102,3.102,3.162,3.162,4.849,92.029,5.627,59.01,103.221,70.154,73.798,148.283803,8394769.07,58.644,AA,1067.537,61.402,1250.397
2015-05,VN,Vietnam,0.825,0.825,4.035,4.035,5.164,69.524,7.579,46.723,95.088,57.14,59.158,24363.831645,-1367964.61,104.238,AAA,937.404,61.402,1250.397
2015-05,BR,Brazil,3.549,3.549,5.238,5.238,5.749,70.293,5.244,60.145,104.818,72.708,76.672,4.926806,76154622.4,128.447,BB,1093.085,61.402,1250.397
2015-05,KR,South Korea,3.58,3.58,4.361,4.361,5.299,92.07,5.217,61.348,104.927,72.884,76.869,1332.048458,43186318.56,69.408,AAA,1094.836,61.402,1250.397
2015-05,MX,Mexico,3.525,3.525,5.51,5.51,5.794,76.451,5.264,60.324,104.732,72.57,76.517,17.280808,29206452.54,128.59,AAA,1091.704,61.402,1250.397
2015-05,TH,Thailand,2.922,2.922,1.761,1.761,4.219,72.281,5.781,57.159,102.578,69.124,72.64,35.389935,70122631.42,117.227,BBB,1057.24,61.402,1250.397
2015-05,PL,Poland,3.038,3.038,6.572,6.572,6.379,77.592,5.682,57.989,102.992,69.788,73.386,3.999711,70254089.19,30.485,BBB,1063.878,61.402,1250.397
2015-05,TR,Turkey,3.244,3.244,54.136,54.136,27.934,71.827,5.505,58.72,103.729,70.966,74.711,26.958785,71019068.67,126.929,AA,1075.656,61.402,1250.397
2015-05,ZA,South Africa,1.458,1.458,6.409,6.409,6.334,60.85,7.036,49.391,97.351,60.761,63.231,18.310184,74953570.76,127.995,AA,973.613,61.402,1250.397
2015-05,AU,Australia,3.588,3.588,4.134,4.134,5.389,82.777,5.21,60.942,104.958,72.933,76.925,1.517142,-14782065.91,117.175,AAA,1095.333,61.402,1250.397
2015-05,CA,Canada,3.563,3.563,4.842,4.842,5.434,84.795,5.231,60.917,104.869,72.791,76.765,1.331469,-5113756.86,31.261,A,1093.908,61.402,1250.397
2015-06,IN,India,3.378,3.378,5.702,5.702,6.215,80.297,5.39,59.79,104.207,71.732,75.573,82.851592,18073396.91,117.522,BBB,1087.318,62.903,1262.193
2015-06,CN,China,3.102,3.102,2.49,2.49,4.73,97.142,5.627,59.26,103.221,70.154,73.798,7.025795,19701651.74,121.169,BB,1071.537,62.903,1262.193
2015-06,US,United States,2.99,2.99,4.318,4.318,5.45,89.739,5.722,58.352,102.823,69.517,73.082,0.9947,-14618421.58,27.34,BBB,1065.171,62.903,1262.193
2015-06,DE,Germany,3.297,3.297,3.444,3.444,5.045,94.522,5.46,60.083,103.917,71.267,75.05,0.920619,390788.65,114.265,BBB,1082.666,62.903,1262.193
2015-06,JP,Japan,3.204,3.204,3.573,3.573,4.955,92.26,5.539,59.521,103.587,70.739,74.456,148.804535,-72690.33,68.267,BB,1077.388,62.903,1262.193
2015-06,VN,Vietnam,0.858,0.858,4.026,4.026,5.27,69.584,7.551,46.888,95.205,57.329,59.37,24655.879887,21299931.87,121.418,A,943.286,62.903,1262.193
2015-06,BR,Brazil,3.58,3.58,5.644,5.644,5.855,70.345,5.217,60.298,104.927,72.884,76.869,4.944122,32751152.54,55.151,AA,1098.836,62.903,1262.193
2015-06,KR,South Korea,3.596,3.596,4.484,4.484,5.405,92.107,5.203,61.432,104.987,72.98,76.977,1320.855306,-4984505.53,32.916,BBB,1099.8,62.903,1262.193
2015-06,MX,Mexico,3.473,3.473,5.634,5.634,5.9,76.355,5.309,60.065,104.546,72.274,76.184,16.948226,12001625.02,79.398,A,1092.744,62.903,1262.193
2015-06,TH,Thailand,2.798,2.798,1.769,1.769,4.325,72.062,5.887,56.542,102.137,68.419,71.846,35.385182,-4332322.86,99.622,AAA,1054.19,62.903,1262.193
2015-06,PL,Poland,2.922,2.922,6.113,6.113,6.485,77.371,5.781,57.409,102.578,69.124,72.64,3.980149,55020179.0,78.219,A,1061.24,62.903,1262.193
2015-06,TR,Turkey,3.146,3.146,54.895,54.895,28.04,71.655,5.589,58.228,103.377,70.404,74.079,26.793935,55279844.38,45.586,A,1074.037,62.903,1262.193
2015-06,ZA,South Africa,1.343,1.343,6.891,6.891,6.44,60.672,7.134,48.817,96.941,60.105,62.493,18.422711,78060421.13,113.462,A,971.051,62.903,1262.193
2015-06,AU,Australia,3.563,3.563,4.485,4.485,5.495,82.727,5.231,60.817,104.869,72.791,76.765,1.516516,74900914.92,81.706,AA,1097.908,62.903,1262.193
2015-06,CA,Canada,3.525,3.525,4.9,4.9,5.54,84.716,5.264,60.724,104.732,72.57,76.517,1.328559,19677126.26,95.355,AAA,1095.704,62.903,1262.193
2015-07,IN,India,3.448,3.448,6.117,6.117,6.312,80.433,5.331,60.138,104.456,72.13,76.021,83.414711,-1746962.64,122.312,AAA,1095.297,64.339,1273.47
2015-07,CN,China,3.204,3.204,2.928,2.928,4.827,97.385,5.539,59.771,103.587,70.739,74.456,7.049053,49247050.02,117.404,AAA,1081.388,64.339,1273.47
2015-07,US,United States,3.102,3.102,5.052,5.052,5.547,89.984,5.627,58.91,103.221,70.154,73.798,0.98986,8165131.06,84.48,A,1075.537,64.339,1273.47
2015-07,DE,Germany,3.378,3.378,3.689,3.689,5.142,94.71,5.39,60.49,104.207,71.732,75.573,0.910782,16080976.3,41.794,A,1091.318,64.339,1273.47
2015-07,JP,Japan,3.297,3.297,3.611,3.611,5.052,92.467,5.46,59.983,103.917,71.267,75.05,147.850103,31239191.78,106.706,AA,1086.666,64.339,1273.47
2015-07,VN,Vietnam,0.904,0.904,4.147,4.147,5.367,69.667,7.511,47.119,95.371,57.593,59.668,24469.311946,-1177378.48,116.862,BBB,949.935,64.339,1273.47
2015-07,BR,Brazil,3.596,3.596,5.348,5.348,5.952,70.374,5.203,60.382,104.987,72.98,76.977,4.915284,64432003.38,77.455,AA,1103.8,64.339,1273.47
2015-07,KR,South Korea,3.599,3.599,4.621,4.621,5.502,92.114,5.201,61.447,104.998,72.997,76.996,1318.965072,60612917.96,91.697,BB,1103.966,64.339,1273.47
2015-07,MX,Mexico,3.408,3.408,5.741,5.741,5.997,76.236,5.364,59.742,104.316,71.906,75.769,16.962252,-19142326.8,46.546,AAA,1093.057,64.339,1273.47
2015-07,TH,Thailand,2.669,2.669,2.202,2.202,4.422,71.832,5.998,55.895,101.675,67.68,71.015,35.004177,15546718.57,82.442,AA,1050.799,64.339,1273.47
2015-07,PL,Poland,2.798,2.798,7.059,7.059,6.582,77.137,5.887,56.792,102.137,68.419,71.846,3.971874,65275406.14,119.777,BB,1058.19,64.339,1273.47
2015-07,TR,Turkey,3.038,3.038,54.203,54.203,28.137,71.466,5.682,57.689,102.992,69.788,73.386,26.820502,57795251.68,63.928,BB,1071.878,64.339,1273.47
2015-07,ZA,South Africa,1.237,1.237,6.897,6.897,6.537,60.508,7.225,48.286,96.561,59.498,61.81,18.138985,5716982.32,42.219,AA,968.979,64.339,1273.47
2015-07,AU,Australia,3.525,3.525,4.765,4.765,5.592,82.65,5.264,60.624,104.732,72.57,76.517,1.491421,834641.25,86.009,BB,1099.704,64.339,1273.47
2015-07,CA,Canada,3.473,3.473,4.535,4.535,5.637,84.61,5.309,60.465,104.546,72.274,76.184,1.347609,39326055.96,39.243,BB,1096.744,64.339,1273.47
2015-08,IN,India,3.505,3.505,6.236,6.236,6.398,80.544,5.282,60.424,104.66,72.456,76.388,82.275576,-10284320.12,98.308,AAA,1102.563,65.697,1284.136
2015-08,CN,China,3.297,3.297,2.834,2.834,4.913,97.605,5.46,60.233,103.917,71.267,75.05,7.04822,48798751.27,123.195,BBB,1090.666,65.697,1284.136
2015-08,US,United States,3.204,3.204,4.606,4.606,5.633,90.209,5.539,59.421,103.587,70.739,74.456,0.992294,62327326.67,29.391,AA,1085.388,65.697,1284.136
2015-08,DE,Germany,3.448,3.448,3.805,3.805,5.228,94.87,5.331,60.838,104.456,72.13,76.021,0.904254,71744117.84,88.019,AA,1099.297,65.697,1284.136
2015-08,JP,Japan,3.378,3.378,3.72,3.72,5.138,92.651,5.39,60.39,104.207,71.732,75.573,149.020413,9810920.16,117.816,A,1095.318,65.697,1284.136
2015-08,VN,Vietnam,0.963,0.963,3.925,3.925,5.453,69.774,7.46,47.416,95.583,57.932,60.049,24132.095569,37506972.13,33.252,AA,957.324,65.697,1284.136
2015-08,BR,Brazil,3.599,3.599,5.386,5.386,6.038,70.379,5.201,60.397,104.998,72.997,76.996,4.848284,29106891.16,80.124,AA,1107.966,65.697,1284.136
2015-08,KR,South Korea,3.588,3.588,4.181,4.181,5.588,92.089,5.21,61.392,104.958,72.933,76.925,1324.22384,17989586.47,98.767,AAA,1107.333,65.697,1284.136
2015-08,MX,Mexico,3.332,3.332,6.036,6.036,6.083,76.094,5.43,59.359,104.042,71.468,75.276,17.05832,-9961465.51,35.504,BB,1092.68,65.697,1284.136
2015-08,TH,Thailand,2.535,2.535,2.11,2.11,4.508,71.595,6.113,55.225,101.196,66.914,70.153,35.11274,44688090.75,28.254,BB,1047.14,65.697,1284.136
2015-08,PL,Poland,2.669,2.669,6.559,6.559,6.668,76.891,5.998,56.145,101.675,67.68,71.015,3.978736,67832447.58,59.434,BB,1054.799,65.697,1284.136
2015-08,TR,Turkey,2.922,2.922,54.758,54.758,28.223,71.263,5.781,57.109,102.578,69.124,72.64,27.202235,67332187.68,74.387,BB,1069.24,65.697,1284.136
2015-08,ZA,South Africa,1.14,1.14,6.941,6.941,6.623,60.358,7.308,47.802,96.216,58.946,61.189,18.010961,30645054.2,112.559,BB,967.456,65.697,1284.136
2015-08,AU,Australia,3.473,3.473,4.765,4.765,5.678,82.546,5.309,60.365,104.546,72.274,76.184,1.502968,77984083.62,59.869,BB,1100.744,65.697,1284.136
2015-08,CA,Canada,3.408,3.408,4.517,4.517,5.723,84.477,5.364,60.142,104.316,71.906,75.769,1.332724,62153038.74,83.25,A,1097.057,65.697,1284.136
2015-09,IN,India,3.549,3.549,6.273,6.273,6.471,80.631,5.244,60.645,104.818,72.708,76.672,81.6255,78118893.35,70.062,AA,1109.085,66.967,1294.11
2015-09,CN,China,3.378,3.378,3.077,3.077,4.986,97.798,5.39,60.64,104.207,71.732,75.573,7.0131,35994655.78,26.562,AA,1099.318,66.967,1294.11
2015-09,US,United States,3.297,3.297,5.166,5.166,5.706,90.413,5.46,59.883,103.917,71.267,75.05,0.97631,41315791.41,88.838,AAA,1094.666,66.967,1294.11
2015-09,DE,Germany,3.505,3.505,3.513,3.513,5.301,95.001,5.282,61.124,104.66,72.456,76.388,0.921627,65065268.14,41.643,AAA,1106.563,66.967,1294.11
2015-09,JP,Japan,3.448,3.448,4.053,4.053,5.211,92.807,5.331,60.738,104.456,72.13,76.021,147.869576,-18674755.39,88.359,BB,1103.297,66.967,1294.11
2015-09,VN,Vietnam,1.035,1.035,3.793,3.793,5.526,69.903,7.399,47.774,95.839,58.342,60.51,23938.353849,38971597.62,113.57,BB,965.419,66.967,1294.11
2015-09,BR,Brazil,3.588,3.588,5.516,5.516,6.111,70.36,5.21,60.342,104.958,72.933,76.925,4.900284,28996276.01,41.269,AAA,1111.333,66.967,1294.11
2015-09,KR,South Korea,3.563,3.563,4.228,4.228,5.661,92.034,5.231,61.267,104.869,72.791,76.765,1313.070692,77083998.8,100.454,AA,1109.908,66.967,1294.11
2015-09,MX,Mexico,3.244,3.244,5.838,5.838,6.156,75.931,5.505,58.92,103.729,70.966,74.711,17.008012,1739406.5,64.347,BB,1091.656,66.967,1294.11
2015-09,TH,Thailand,2.398,2.398,1.934,1.934,4.581,71.351,6.231,54.538,100.706,66.129,69.27,34.805404,-1795581.85,36.308,BB,1043.29,66.967,1294.11
2015-09,PL,Poland,2.535,2.535,6.599,6.599,6.741,76.636,6.113,55.475,101.196,66.914,70.153,4.018981,46097930.38,57.89,AAA,1051.14,66.967,1294.11
2015-09,TR,Turkey,2.798,2.798,55.239,55.239,28.296,71.047,5.887,56.492,102.137,68.419,71.846,26.346227,57568731.99,61.313,AAA,1066.19,66.967,1294.11
2015-09,ZA,South Africa,1.054,1.054,6.97,6.97,6.696,60.224,7.382,47.372,95.909,58.454,60.636,18.240912,28384133.7,129.955,BBB,966.538,66.967,1294.11
2015-09,AU,Australia,3.408,3.408,4.558,4.558,5.751,82.417,5.364,60.042,104.316,71.906,75.769,1.492357,11436650.69,53.589,A,1101.057,66.967,1294.11
2015-09,CA,Canada,3.332,3.332,4.867,4.867,5.796,84.32,5.43,59.759,104.042,71.468,75.276,1.325398,-4501979.11,68.223,BBB,1096.68,66.967,1294.11
2015-10,IN,India,3.58,3.58,5.828,5.828,6.532,80.69,5.217,60.798,104.927,72.884,76.869,81.724626,1037893.41,106.728,AA,1114.836,68.138,1303.318
2015-10,CN,China,3.448,3.448,3.257,3.257,5.047,97.963,5.331,60.988,104.456,72.13,76.021,7.032495,37825580.39,115.515,A,1107.297,68.138,1303.318
2015-10,US,United States,3.378,3.378,4.583,4.583,5.767,90.592,5.39,60.29,104.207,71.732,75.573,0.988365,56568638.42,33.805,AAA,1103.318,68.138,1303.318
2015-10,DE,Germany,3.549,3.549,3.494,3.494,5.362,95.103,5.244,61.345,104.818,72.708,76.672,0.907526,-10976585.19,68.988,BBB,1113.085,68.138,1303.318
2015-10,JP,Japan,3.505,3.505,3.614,3.614,5.272,92.936,5.282,61.024,104.66,72.456,76.388,145.586571,-16751413.64,107.13,A,1110.563,68.138,1303.318
2015-10,VN,Vietnam,1.118,1.118,3.963,3.963,5.587,70.053,7.327,48.191,96.136,58.818,61.045,24086.800383,33103657.32,104.86,A,974.179,68.138,1303.318
2015-10,BR,Brazil,3.563,3.563,5.772,5.772,6.172,70.318,5.231,60.217,104.869,72.791,76.765,4.80369,40150340.43,30.005,BB,1113.908,68.138,1303.318
2015-10,KR,South Korea,3.525,3.525,4.751,4.751,5.722,91.948,5.264,61.074,104.732,72.57,76.517,1310.567476,33712279.16,33.794,BBB,1111.704,68.138,1303.318
2015-10,MX,Mexico,3.146,3.146,6.159,6.159,6.217,75.749,5.589,58.428,103.377,70.404,74.079,16.978179,63355320.44,95.04,AA,1090.037,68.138,1303.318
2015-10,TH,Thailand,2.258,2.258,2.127,2.127,4.642,71.103,6.35,53.841,100.208,65.333,68.374,35.383961,72395102.77,83.853,BBB,1039.326,68.138,1303.318
2015-10,PL,Poland,2.398,2.398,7.391,7.391,6.802,76.375,6.231,54.788,100.706,66.129,69.27,3.948833,78463495.11,96.884,A,1047.29,68.138,1303.318
2015-10,TR,Turkey,2.669,2.669,54.722,54.722,28.357,70.821,5.998,55.845,101.675,67.68,71.015,26.755985,50089702.26,116.051,A,1062.799,68.138,1303.318
2015-10,ZA,South Africa,0.98,0.98,7.23,7.23,6.757,60.109,7.446,46.999,95.642,58.027,60.156,18.070353,64505947.79,89.178,A,966.274,68.138,1303.318
2015-10,AU,Australia,3.332,3.332,5.131,5.131,5.812,82.264,5.43,59.659,104.042,71.468,75.276,1.486342,-5617053.69,93.257,BBB,1100.68,68.138,1303.318
2015-10,CA,Canada,3.244,3.244,4.894,4.894,5.857,84.14,5.505,59.32,103.729,70.966,74.711,1.309831,8408674.95,78.277,AA,1095.656,68.138,1303.318
2015-11,IN,India,3.596,3.596,6.477,6.477,6.579,80.723,5.203,60.882,104.987,72.98,76.977,82.111713,61095170.79,37.39,BB,1119.8,69.201,1311.695
2015-11,CN,China,3.505,3.505,2.647,2.647,5.094,98.099,5.282,61.274,104.66,72.456,76.388,7.019343,47252597.3,72.33,BB,1114.563,69.201,1311.695
2015-11,US,United States,3.448,3.448,4.93,4.93,5.814,90.745,5.331,60.638,104.456,72.13,76.021,0.976373,-15360355.46,72.311,AA,1111.297,69.201,1311.695
2015-11,DE,Germany,3.58,3.58,3.976,3.976,5.409,95.173,5.217,61.498,104.927,72.884,76.869,0.908408,18481015.16,111.524,BB,1118.836,69.201,1311.695
2015-11,JP,Japan,3.549,3.549,3.682,3.682,5.319,93.035,5.244,61.245,104.818,72.708,76.672,146.018523,-11142167.75,43.166,A,1117.085,69.201,1311.695
