item_id,item_name,commodity_code,category,country_code,warehouse_location,on_hand,reorder_point,lead_time_days,unit_cost,stockout_risk,last_updated
INV-CN-CTN,Cotton,CTN,Textiles,CN,CN-WH-4,37700,13029,18,1500,Low,2024-12-31
INV-CN-SLC,Silicon,SLC,Electronics,CN,CN-WH-2,4166,17320,9,2200,High,2024-12-31
INV-CN-ALM,Aluminum,ALM,Metals,CN,CN-WH-3,47231,12782,64,1900,Low,2024-12-31
INV-CN-LIT,Lithium,LIT,Battery,CN,CN-WH-4,35222,17088,34,15000,Low,2024-12-31
INV-CN-NIC,Nickel,NIC,Battery,CN,CN-WH-1,15568,14775,28,14000,Medium,2024-12-31
INV-CN-REE,Rare Earth,REE,Electronics,CN,CN-WH-4,24204,2813,7,45000,Low,2024-12-31
INV-CN-SEM,Semiconductors,SEM,Electronics,CN,CN-WH-3,23714,16927,41,5.5,Medium,2024-12-31
INV-CN-RBR,Rubber,RBR,Polymers,CN,CN-WH-4,10612,4308,56,1400,Low,2024-12-31
INV-CN-TIM,Timber,TIM,Construction,CN,CN-WH-1,43468,13217,24,350,Low,2024-12-31
INV-CN-CEM,Cement,CEM,Construction,CN,CN-WH-2,34675,14437,32,120,Low,2024-12-31
INV-CN-GLS,Glass,GLS,Construction,CN,CN-WH-2,46288,12101,62,800,Low,2024-12-31
INV-CN-PAP,Paper,PAP,Packaging,CN,CN-WH-3,19456,15739,64,650,Medium,2024-12-31
INV-US-STL,Steel,STL,Metals,US,US-WH-2,11244,2429,28,450,Low,2024-12-31
INV-US-COP,Copper,COP,Metals,US,US-WH-1,49620,3854,24,5800,Low,2024-12-31
INV-US-PLA,Plastic,PLA,Polymers,US,US-WH-1,39704,9044,55,1100,Low,2024-12-31
INV-US-CTN,Cotton,CTN,Textiles,US,US-WH-1,14911,5992,14,1500,Low,2024-12-31
INV-US-SLC,Silicon,SLC,Electronics,US,US-WH-2,49350,7662,18,2200,Low,2024-12-31
INV-US-ALM,Aluminum,ALM,Metals,US,US-WH-1,14210,3800,24,1900,Low,2024-12-31
INV-US-LIT,Lithium,LIT,Battery,US,US-WH-1,24773,4417,29,15000,Low,2024-12-31
INV-US-NIC,Nickel,NIC,Battery,US,US-WH-4,4776,2144,57,14000,Low,2024-12-31
INV-US-REE,Rare Earth,REE,Electronics,US,US-WH-2,44351,10443,24,45000,Low,2024-12-31
INV-US-SEM,Semiconductors,SEM,Electronics,US,US-WH-1,38662,9682,12,5.5,Low,2024-12-31
INV-US-RBR,Rubber,RBR,Polymers,US,US-WH-3,27185,14338,44,1400,Low,2024-12-31
INV-US-TIM,Timber,TIM,Construction,US,US-WH-3,17627,11546,58,350,Low,2024-12-31
INV-US-CEM,Cement,CEM,Construction,US,US-WH-4,45416,4124,39,120,Low,2024-12-31
INV-US-GLS,Glass,GLS,Construction,US,US-WH-1,20335,9903,22,800,Low,2024-12-31
INV-US-PAP,Paper,PAP,Packaging,US,US-WH-1,34251,12490,16,650,Low,2024-12-31
INV-DE-STL,Steel,STL,Metals,DE,DE-WH-4,3374,17300,27,450,High,2024-12-31
INV-DE-COP,Copper,COP,Metals,DE,DE-WH-4,32143,14199,16,5800,Low,2024-12-31
INV-DE-PLA,Plastic,PLA,Polymers,DE,DE-WH-1,46609,7854,27,1100,Low,2024-12-31
INV-DE-CTN,Cotton,CTN,Textiles,DE,DE-WH-1,20327,14174,25,1500,Medium,2024-12-31
INV-DE-SLC,Silicon,SLC,Electronics,DE,DE-WH-3,24810,10428,39,2200,Low,2024-12-31
INV-DE-ALM,Aluminum,ALM,Metals,DE,DE-WH-2,13748,12225,42,1900,Medium,2024-12-31
INV-DE-LIT,Lithium,LIT,Battery,DE,DE-WH-2,14538,13700,9,15000,Medium,2024-12-31
INV-DE-NIC,Nickel,NIC,Battery,DE,DE-WH-2,42557,16425,14,14000,Low,2024-12-31
INV-DE-REE,Rare Earth,REE,Electronics,DE,DE-WH-3,34436,3403,63,45000,Low,2024-12-31
INV-DE-SEM,Semiconductors,SEM,Electronics,DE,DE-WH-2,3480,15033,10,5.5,High,2024-12-31
INV-DE-RBR,Rubber,RBR,Polymers,DE,DE-WH-4,691,9498,63,1400,High,2024-12-31
INV-DE-TIM,Timber,TIM,Construction,DE,DE-WH-3,4820,12730,26,350,High,2024-12-31
INV-DE-CEM,Cement,CEM,Construction,DE,DE-WH-1,46389,13145,17,120,Low,2024-12-31
INV-DE-GLS,Glass,GLS,Construction,DE,DE-WH-3,32078,7539,29,800,Low,2024-12-31
INV-DE-PAP,Paper,PAP,Packaging,DE,DE-WH-1,49222,4510,34,650,Low,2024-12-31
INV-JP-STL,Steel,STL,Metals,JP,JP-WH-2,3368,16328,38,450,High,2024-12-31
INV-JP-COP,Copper,COP,Metals,JP,JP-WH-4,33948,13378,37,5800,Low,2024-12-31
INV-JP-PLA,Plastic,PLA,Polymers,JP,JP-WH-1,27471,13731,32,1100,Low,2024-12-31
INV-JP-CTN,Cotton,CTN,Textiles,JP,JP-WH-1,23727,15382,65,1500,Low,2024-12-31
INV-JP-SLC,Silicon,SLC,Electronics,JP,JP-WH-1,14016,4303,22,2200,Low,2024-12-31
INV-JP-ALM,Aluminum,ALM,Metals,JP,JP-WH-4,47787,13761,15,1900,Low,2024-12-31
INV-JP-LIT,Lithium,LIT,Battery,JP,JP-WH-1,36127,8727,10,15000,Low,2024-12-31
INV-JP-NIC,Nickel,NIC,Battery,JP,JP-WH-2,49129,2142,65,14000,Low,2024-12-31
INV-JP-REE,Rare Earth,REE,Electronics,JP,JP-WH-1,48453,4491,15,45000,Low,2024-12-31
INV-JP-SEM,Semiconductors,SEM,Electronics,JP,JP-WH-3,43267,6084,8,5.5,Low,2024-12-31
INV-JP-RBR,Rubber,RBR,Polymers,JP,JP-WH-2,40503,5288,13,1400,Low,2024-12-31
INV-JP-TIM,Timber,TIM,Construction,JP,JP-WH-3,10739,15345,17,350,High,2024-12-31
INV-JP-CEM,Cement,CEM,Construction,JP,JP-WH-1,10165,2029,15,120,Low,2024-12-31
INV-JP-GLS,Glass,GLS,Construction,JP,JP-WH-3,12917,17612,21,800,High,2024-12-31
INV-JP-PAP,Paper,PAP,Packaging,JP,JP-WH-4,22043,8236,55,650,Low,2024-12-31
INV-VN-STL,Steel,STL,Metals,VN,VN-WH-1,22504,7268,32,450,Low,2024-12-31
INV-VN-COP,Copper,COP,Metals,VN,VN-WH-4,46484,12658,26,5800,Low,2024-12-31
INV-VN-PLA,Plastic,PLA,Polymers,VN,VN-WH-4,14792,13141,42,1100,Medium,2024-12-31
INV-VN-CTN,Cotton,CTN,Textiles,VN,VN-WH-4,45920,3355,25,1500,Low,2024-12-31
INV-VN-SLC,Silicon,SLC,Electronics,VN,VN-WH-3,28210,14075,22,2200,Low,2024-12-31
INV-VN-ALM,Aluminum,ALM,Metals,VN,VN-WH-2,10241,13240,36,1900,High,2024-12-31
INV-VN-LIT,Lithium,LIT,Battery,VN,VN-WH-3,31491,13115,20,15000,Low,2024-12-31
INV-VN-NIC,Nickel,NIC,Battery,VN,VN-WH-1,2403,5184,20,14000,High,2024-12-31
INV-VN-REE,Rare Earth,REE,Electronics,VN,VN-WH-4,27097,12590,10,45000,Low,2024-12-31
INV-VN-SEM,Semiconductors,SEM,Electronics,VN,VN-WH-2,14527,17444,12,5.5,High,2024-12-31
INV-VN-RBR,Rubber,RBR,Polymers,VN,VN-WH-2,22285,7525,18,1400,Low,2024-12-31
INV-VN-TIM,Timber,TIM,Construction,VN,VN-WH-1,22137,11925,50,350,Low,2024-12-31
INV-VN-CEM,Cement,CEM,Construction,VN,VN-WH-2,6340,10713,37,120,High,2024-12-31
INV-VN-GLS,Glass,GLS,Construction,VN,VN-WH-3,16954,15555,56,800,Medium,2024-12-31
INV-VN-PAP,Paper,PAP,Packaging,VN,VN-WH-2,21940,8639,37,650,Low,2024-12-31
INV-BR-STL,Steel,STL,Metals,BR,BR-WH-3,1903,4638,39,450,High,2024-12-31
INV-BR-COP,Copper,COP,Metals,BR,BR-WH-4,40638,11754,23,5800,Low,2024-12-31
INV-BR-PLA,Plastic,PLA,Polymers,BR,BR-WH-2,20201,11401,20,1100,Low,2024-12-31
INV-BR-CTN,Cotton,CTN,Textiles,BR,BR-WH-3,4614,14331,43,1500,High,2024-12-31
INV-BR-SLC,Silicon,SLC,Electronics,BR,BR-WH-3,4631,3675,14,2200,Medium,2024-12-31
INV-BR-ALM,Aluminum,ALM,Metals,BR,BR-WH-3,28,14562,44,1900,High,2024-12-31
INV-BR-LIT,Lithium,LIT,Battery,BR,BR-WH-4,4223,9086,7,15000,High,2024-12-31
INV-BR-NIC,Nickel,NIC,Battery,BR,BR-WH-1,2261,13898,46,14000,High,2024-12-31
INV-BR-REE,Rare Earth,REE,Electronics,BR,BR-WH-4,37343,12542,22,45000,Low,2024-12-31
INV-BR-SEM,Semiconductors,SEM,Electronics,BR,BR-WH-3,17594,9460,44,5.5,Low,2024-12-31
INV-BR-RBR,Rubber,RBR,Polymers,BR,BR-WH-2,44163,14707,30,1400,Low,2024-12-31
INV-BR-TIM,Timber,TIM,Construction,BR,BR-WH-2,9113,10556,39,350,High,2024-12-31
INV-BR-CEM,Cement,CEM,Construction,BR,BR-WH-2,38817,10674,53,120,Low,2024-12-31
INV-BR-GLS,Glass,GLS,Construction,BR,BR-WH-4,3438,17634,35,800,High,2024-12-31
INV-BR-PAP,Paper,PAP,Packaging,BR,BR-WH-2,23245,3915,14,650,Low,2024-12-31
INV-KR-STL,Steel,STL,Metals,KR,KR-WH-2,22931,16581,60,450,Medium,2024-12-31
INV-KR-COP,Copper,COP,Metals,KR,KR-WH-4,40662,7029,37,5800,Low,2024-12-31
INV-KR-PLA,Plastic,PLA,Polymers,KR,KR-WH-1,2858,7255,43,1100,High,2024-12-31
INV-KR-CTN,Cotton,CTN,Textiles,KR,KR-WH-3,4204,6359,53,1500,High,2024-12-31
INV-KR-SLC,Silicon,SLC,Electronics,KR,KR-WH-1,43068,14532,61,2200,Low,2024-12-31
INV-KR-ALM,Aluminum,ALM,Metals,KR,KR-WH-2,26234,15306,46,1900,Low,2024-12-31
INV-KR-LIT,Lithium,LIT,Battery,KR,KR-WH-2,39971,7223,42,15000,Low,2024-12-31
INV-KR-NIC,Nickel,NIC,Battery,KR,KR-WH-1,45665,12753,33,14000,Low,2024-12-31
INV-KR-REE,Rare Earth,REE,Electronics,KR,KR-WH-3,48162,13361,23,45000,Low,2024-12-31
INV-KR-SEM,Semiconductors,SEM,Electronics,KR,KR-WH-2,45537,9200,47,5.5,Low,2024-12-31
INV-KR-RBR,Rubber,RBR,Polymers,KR,KR-WH-3,18473,4334,14,1400,Low,2024-12-31
INV-KR-TIM,Timber,TIM,Construction,KR,KR-WH-4,12172,11261,36,350,Medium,2024-12-31
INV-KR-CEM,Cement,CEM,Construction,KR,KR-WH-3,42737,16113,14,120,Low,2024-12-31
INV-KR-GLS,Glass,GLS,Construction,KR,KR-WH-3,45101,17730,39,800,Low,2024-12-31
INV-KR-PAP,Paper,PAP,Packaging,KR,KR-WH-2,17032,6256,21,650,Low,2024-12-31
INV-MX-STL,Steel,STL,Metals,MX,MX-WH-4,29639,6756,51,450,Low,2024-12-31
INV-MX-COP,Copper,COP,Metals,MX,MX-WH-2,8902,10741,48,5800,High,2024-12-31
INV-MX-PLA,Plastic,PLA,Polymers,MX,MX-WH-3,11438,3040,12,1100,Low,2024-12-31
INV-MX-CTN,Cotton,CTN,Textiles,MX,MX-WH-1,7689,7243,7,1500,Medium,2024-12-31
INV-MX-SLC,Silicon,SLC,Electronics,MX,MX-WH-3,44430,4583,24,2200,Low,2024-12-31
INV-MX-ALM,Aluminum,ALM,Metals,MX,MX-WH-1,40166,15909,51,1900,Low,2024-12-31
INV-MX-LIT,Lithium,LIT,Battery,MX,MX-WH-4,12576,3285,30,15000,Low,2024-12-31
INV-MX-NIC,Nickel,NIC,Battery,MX,MX-WH-3,6669,16680,44,14000,High,2024-12-31
INV-MX-REE,Rare Earth,REE,Electronics,MX,MX-WH-4,5181,8518,8,45000,High,2024-12-31
INV-MX-SEM,Semiconductors,SEM,Electronics,MX,MX-WH-1,10808,17951,8,5.5,High,2024-12-31
INV-MX-RBR,Rubber,RBR,Polymers,MX,MX-WH-3,17498,2879,25,1400,Low,2024-12-31
INV-MX-TIM,Timber,TIM,Construction,MX,MX-WH-4,20646,15221,46,350,Medium,2024-12-31
INV-MX-CEM,Cement,CEM,Construction,MX,MX-WH-1,31003,3954,59,120,Low,2024-12-31
INV-MX-GLS,Glass,GLS,Construction,MX,MX-WH-3,26705,13132,47,800,Low,2024-12-31
INV-MX-PAP,Paper,PAP,Packaging,MX,MX-WH-4,39468,13776,57,650,Low,2024-12-31
INV-TH-STL,Steel,STL,Metals,TH,TH-WH-4,27304,11585,32,450,Low,2024-12-31
INV-TH-COP,Copper,COP,Metals,TH,TH-WH-1,17852,9480,34,5800,Low,2024-12-31
INV-TH-PLA,Plastic,PLA,Polymers,TH,TH-WH-2,40228,15457,13,1100,Low,2024-12-31
INV-TH-CTN,Cotton,CTN,Textiles,TH,TH-WH-3,43721,2460,17,1500,Low,2024-12-31
INV-TH-SLC,Silicon,SLC,Electronics,TH,TH-WH-2,49808,13985,50,2200,Low,2024-12-31
INV-TH-ALM,Aluminum,ALM,Metals,TH,TH-WH-1,45501,3380,21,1900,Low,2024-12-31
INV-TH-LIT,Lithium,LIT,Battery,TH,TH-WH-3,30891,5312,51,15000,Low,2024-12-31
INV-TH-NIC,Nickel,NIC,Battery,TH,TH-WH-1,41232,12311,53,14000,Low,2024-12-31
INV-TH-REE,Rare Earth,REE,Electronics,TH,TH-WH-4,37140,7646,26,45000,Low,2024-12-31
INV-TH-SEM,Semiconductors,SEM,Electronics,TH,TH-WH-2,37978,15639,32,5.5,Low,2024-12-31
INV-TH-RBR,Rubber,RBR,Polymers,TH,TH-WH-2,41215,15142,53,1400,Low,2024-12-31
INV-TH-TIM,Timber,TIM,Construction,TH,TH-WH-4,28216,14398,8,350,Low,2024-12-31
INV-TH-CEM,Cement,CEM,Construction,TH,TH-WH-2,8492,9955,32,120,High,2024-12-31
INV-TH-GLS,Glass,GLS,Construction,TH,TH-WH-3,19046,13573,37,800,Medium,2024-12-31
INV-TH-PAP,Paper,PAP,Packaging,TH,TH-WH-4,43995,12275,60,650,Low,2024-12-31
INV-PL-STL,Steel,STL,Metals,PL,PL-WH-1,49335,8254,55,450,Low,2024-12-31
INV-PL-COP,Copper,COP,Metals,PL,PL-WH-1,7540,11235,13,5800,High,2024-12-31
INV-PL-PLA,Plastic,PLA,Polymers,PL,PL-WH-1,43405,17546,53,1100,Low,2024-12-31
INV-PL-CTN,Cotton,CTN,Textiles,PL,PL-WH-2,7656,15102,48,1500,High,2024-12-31
INV-PL-SLC,Silicon,SLC,Electronics,PL,PL-WH-3,46426,10718,17,2200,Low,2024-12-31
INV-PL-ALM,Aluminum,ALM,Metals,PL,PL-WH-3,14933,4957,37,1900,Low,2024-12-31
INV-PL-LIT,Lithium,LIT,Battery,PL,PL-WH-3,9205,13749,18,15000,High,2024-12-31
INV-PL-NIC,Nickel,NIC,Battery,PL,PL-WH-3,6031,5615,49,14000,Medium,2024-12-31
INV-PL-REE,Rare Earth,REE,Electronics,PL,PL-WH-3,31165,9935,19,45000,Low,2024-12-31
INV-PL-SEM,Semiconductors,SEM,Electronics,PL,PL-WH-2,20667,12898,61,5.5,Low,2024-12-31
INV-PL-RBR,Rubber,RBR,Polymers,PL,PL-WH-3,26348,9388,7,1400,Low,2024-12-31
INV-PL-TIM,Timber,TIM,Construction,PL,PL-WH-1,33852,2825,50,350,Low,2024-12-31
INV-PL-CEM,Cement,CEM,Construction,PL,PL-WH-2,3769,11278,7,120,High,2024-12-31
INV-PL-GLS,Glass,GLS,Construction,PL,PL-WH-3,10041,3468,48,800,Low,2024-12-31
INV-PL-PAP,Paper,PAP,Packaging,PL,PL-WH-4,23936,12394,47,650,Low,2024-12-31
INV-TR-STL,Steel,STL,Metals,TR,TR-WH-2,12642,3474,12,450,Low,2024-12-31
INV-TR-COP,Copper,COP,Metals,TR,TR-WH-4,15893,17809,61,5800,High,2024-12-31
INV-TR-PLA,Plastic,PLA,Polymers,TR,TR-WH-1,2139,5469,62,1100,High,2024-12-31
INV-TR-CTN,Cotton,CTN,Textiles,TR,TR-WH-4,17328,7962,51,1500,Low,2024-12-31
INV-TR-SLC,Silicon,SLC,Electronics,TR,TR-WH-4,19926,12657,63,2200,Low,2024-12-31
INV-TR-ALM,Aluminum,ALM,Metals,TR,TR-WH-1,2634,7759,15,1900,High,2024-12-31
INV-TR-LIT,Lithium,LIT,Battery,TR,TR-WH-1,8934,16608,7,15000,High,2024-12-31
INV-TR-NIC,Nickel,NIC,Battery,TR,TR-WH-3,48433,9217,49,14000,Low,2024-12-31
INV-TR-REE,Rare Earth,REE,Electronics,TR,TR-WH-4,35864,13889,59,45000,Low,2024-12-31
INV-TR-SEM,Semiconductors,SEM,Electronics,TR,TR-WH-1,15072,14688,7,5.5,Medium,2024-12-31
INV-TR-RBR,Rubber,RBR,Polymers,TR,TR-WH-2,29964,17193,8,1400,Low,2024-12-31
INV-TR-TIM,Timber,TIM,Construction,TR,TR-WH-1,34648,7662,20,350,Low,2024-12-31
INV-TR-CEM,Cement,CEM,Construction,TR,TR-WH-1,1384,5690,24,120,High,2024-12-31
INV-TR-GLS,Glass,GLS,Construction,TR,TR-WH-2,20922,4119,16,800,Low,2024-12-31
INV-TR-PAP,Paper,PAP,Packaging,TR,TR-WH-4,16630,17891,37,650,High,2024-12-31
INV-ZA-STL,Steel,STL,Metals,ZA,ZA-WH-2,26718,16455,46,450,Low,2024-12-31
INV-ZA-COP,Copper,COP,Metals,ZA,ZA-WH-1,960,14108,55,5800,High,2024-12-31
INV-ZA-PLA,Plastic,PLA,Polymers,ZA,ZA-WH-2,25660,14716,37,1100,Low,2024-12-31
INV-ZA-CTN,Cotton,CTN,Textiles,ZA,ZA-WH-2,35162,3489,11,1500,Low,2024-12-31
INV-ZA-SLC,Silicon,SLC,Electronics,ZA,ZA-WH-2,27211,9733,13,2200,Low,2024-12-31
INV-ZA-ALM,Aluminum,ALM,Metals,ZA,ZA-WH-4,5466,6323,52,1900,High,2024-12-31
INV-ZA-LIT,Lithium,LIT,Battery,ZA,ZA-WH-4,47235,17898,25,15000,Low,2024-12-31
INV-ZA-NIC,Nickel,NIC,Battery,ZA,ZA-WH-3,40815,17461,13,14000,Low,2024-12-31
INV-ZA-REE,Rare Earth,REE,Electronics,ZA,ZA-WH-1,49501,7216,62,45000,Low,2024-12-31
INV-ZA-SEM,Semiconductors,SEM,Electronics,ZA,ZA-WH-3,3189,5530,12,5.5,High,2024-12-31
INV-ZA-RBR,Rubber,RBR,Polymers,ZA,ZA-WH-2,36954,10466,10,1400,Low,2024-12-31
INV-ZA-TIM,Timber,TIM,Construction,ZA,ZA-WH-2,5433,13767,32,350,High,2024-12-31
INV-ZA-CEM,Cement,CEM,Construction,ZA,ZA-WH-4,6744,11954,54,120,High,2024-12-31
INV-ZA-GLS,Glass,GLS,Construction,ZA,ZA-WH-1,20297,2669,46,800,Low,2024-12-31
INV-ZA-PAP,Paper,PAP,Packaging,ZA,ZA-WH-3,45616,12620,13,650,Low,2024-12-31
INV-AU-STL,Steel,STL,Metals,AU,AU-WH-1,45856,14466,12,450,Low,2024-12-31
INV-AU-COP,Copper,COP,Metals,AU,AU-WH-4,19891,10355,55,5800,Low,2024-12-31
INV-AU-PLA,Plastic,PLA,Polymers,AU,AU-WH-1,16478,6003,13,1100,Low,2024-12-31
INV-AU-CTN,Cotton,CTN,Textiles,AU,AU-WH-1,2078,10614,57,1500,High,2024-12-31
INV-AU-SLC,Silicon,SLC,Electronics,AU,AU-WH-3,7928,5020,36,2200,Low,2024-12-31
INV-AU-ALM,Aluminum,ALM,Metals,AU,AU-WH-3,41626,3199,21,1900,Low,2024-12-31
INV-AU-LIT,Lithium,LIT,Battery,AU,AU-WH-3,19101,11384,39,15000,Low,2024-12-31
INV-AU-NIC,Nickel,NIC,Battery,AU,AU-WH-4,24071,15087,27,14000,Low,2024-12-31
INV-AU-REE,Rare Earth,REE,Electronics,AU,AU-WH-2,30223,6036,41,45000,Low,2024-12-31
INV-AU-SEM,Semiconductors,SEM,Electronics,AU,AU-WH-2,49008,7383,50,5.5,Low,2024-12-31
INV-AU-RBR,Rubber,RBR,Polymers,AU,AU-WH-2,17257,2702,26,1400,Low,2024-12-31
INV-AU-TIM,Timber,TIM,Construction,AU,AU-WH-2,35030,7465,39,350,Low,2024-12-31
INV-AU-CEM,Cement,CEM,Construction,AU,AU-WH-3,33842,8803,36,120,Low,2024-12-31
INV-AU-GLS,Glass,GLS,Construction,AU,AU-WH-2,416,5270,15,800,High,2024-12-31
INV-AU-PAP,Paper,PAP,Packaging,AU,AU-WH-2,33304,5753,26,650,Low,2024-12-31
INV-CA-STL,Steel,STL,Metals,CA,CA-WH-4,4626,16721,60,450,High,2024-12-31
INV-CA-COP,Copper,COP,Metals,CA,CA-WH-4,33552,8546,45,5800,Low,2024-12-31
INV-CA-PLA,Plastic,PLA,Polymers,CA,CA-WH-1,6089,8363,29,1100,High,2024-12-31
INV-CA-CTN,Cotton,CTN,Textiles,CA,CA-WH-2,15660,3387,45,1500,Low,2024-12-31
INV-CA-SLC,Silicon,SLC,Electronics,CA,CA-WH-2,2578,15092,21,2200,High,2024-12-31
INV-CA-ALM,Aluminum,ALM,Metals,CA,CA-WH-2,15282,16293,9,1900,High,2024-12-31
INV-CA-LIT,Lithium,LIT,Battery,CA,CA-WH-3,24599,14451,10,15000,Low,2024-12-31
INV-CA-NIC,Nickel,NIC,Battery,CA,CA-WH-4,44373,8590,37,14000,Low,2024-12-31
INV-CA-REE,Rare Earth,REE,Electronics,CA,CA-WH-4,6820,16251,30,45000,High,2024-12-31
INV-CA-SEM,Semiconductors,SEM,Electronics,CA,CA-WH-4,19949,13141,53,5.5,Low,2024-12-31
INV-CA-RBR,Rubber,RBR,Polymers,CA,CA-WH-4,40925,8491,19,1400,Low,2024-12-31
INV-CA-TIM,Timber,TIM,Construction,CA,CA-WH-4,25502,5772,24,350,Low,2024-12-31
INV-CA-CEM,Cement,CEM,Construction,CA,CA-WH-4,28706,6749,44,120,Low,2024-12-31
INV-CA-GLS,Glass,GLS,Construction,CA,CA-WH-4,44656,2220,27,800,Low,2024-12-31
INV-CA-PAP,Paper,PAP,Packaging,CA,CA-WH-4,35353,7684,64,650,Low,2024-12-31
