date,commodity_code,country_code,region,commodity,historical_demand_units,forecast_demand_units,actual_demand_units,demand_units,demand_variance_percent,seasonal_index,trend_component,cyclical_component,irregular_component,demand_type,customer_segment_breakdown,is_anomaly
2015-01,CEM,IN,Asia,Cement,16192,16094,13921,13921,-14.03,1,1.0,0.0,-0.1403,baseline,"{""enterprise"": 5847, ""mid_market"": 4594, ""small_business"": 2506, ""startup"": 974}",false
2015-01,GLS,IN,Asia,Glass,27206,28381,22521,22521,-17.22,1,1.0,0.0,-0.1722,baseline,"{""enterprise"": 9459, ""mid_market"": 7432, ""small_business"": 4054, ""startup"": 1576}",false
2015-01,PAP,IN,Asia,Paper,45771,46518,42396,42396,-7.374,1,1.0,0.0,-0.0737,baseline,"{""enterprise"": 17806, ""mid_market"": 13991, ""small_business"": 7631, ""startup"": 2968}",false
2015-01,STL,CN,Asia,Steel,40518,41166,41007,41007,1.206,1,1.0,0.0,0.0121,baseline,"{""enterprise"": 17223, ""mid_market"": 13532, ""small_business"": 7381, ""startup"": 2871}",false
2015-01,COP,CN,Asia,Copper,33753,33329,30923,30923,-8.384,1,1.0,0.0,-0.0838,baseline,"{""enterprise"": 12988, ""mid_market"": 10205, ""small_business"": 5566, ""startup"": 2165}",false
2015-01,PLA,CN,Asia,Plastic,36164,36541,31234,31234,-13.632,1,1.0,0.0,-0.1363,baseline,"{""enterprise"": 13118, ""mid_market"": 10307, ""small_business"": 5622, ""startup"": 2186}",false
2015-01,CTN,CN,Asia,Cotton,55059,55729,52221,52221,-5.155,1,1.0,0.0,-0.0516,baseline,"{""enterprise"": 21933, ""mid_market"": 17233, ""small_business"": 9400, ""startup"": 3655}",false
2015-01,SLC,CN,Asia,Silicon,34030,34534,32778,32778,-3.679,1,1.0,0.0,-0.0368,baseline,"{""enterprise"": 13767, ""mid_market"": 10817, ""small_business"": 5900, ""startup"": 2295}",false
2015-01,ALM,CN,Asia,Aluminum,48775,50935,43114,43114,-11.607,1,1.0,0.0,-0.1161,baseline,"{""enterprise"": 18108, ""mid_market"": 14228, ""small_business"": 7761, ""startup"": 3018}",false
2015-01,LIT,CN,Asia,Lithium,22504,22843,24752,24752,9.989,1,1.0,0.0,0.0999,baseline,"{""enterprise"": 10396, ""mid_market"": 8168, ""small_business"": 4455, ""startup"": 1733}",false
2015-01,NIC,CN,Asia,Nickel,55045,54887,54795,54795,-0.455,1,1.0,0.0,-0.0045,baseline,"{""enterprise"": 23014, ""mid_market"": 18083, ""small_business"": 9863, ""startup"": 3836}",false
2015-01,REE,CN,Asia,Rare Earth,40121,40075,42159,42159,5.081,1,1.0,0.0,0.0508,baseline,"{""enterprise"": 17707, ""mid_market"": 13913, ""small_business"": 7589, ""startup"": 2951}",false
2015-01,SEM,CN,Asia,Semiconductors,46046,46636,43201,43201,-6.179,1,1.0,0.0,-0.0618,baseline,"{""enterprise"": 18144, ""mid_market"": 14256, ""small_business"": 7776, ""startup"": 3024}",false
2015-01,RBR,CN,Asia,Rubber,57667,55950,63152,63152,9.511,1,1.0,0.0,0.0951,baseline,"{""enterprise"": 26524, ""mid_market"": 20840, ""small_business"": 11367, ""startup"": 4421}",false
2015-01,TIM,CN,Asia,Timber,43659,44705,33789,33789,-22.606,1,1.0,0.0,-0.2261,baseline,"{""enterprise"": 14192, ""mid_market"": 11151, ""small_business"": 6082, ""startup"": 2365}",false
2015-01,CEM,CN,Asia,Cement,18257,17645,16957,16957,-7.121,1,1.0,0.0,-0.0712,baseline,"{""enterprise"": 7122, ""mid_market"": 5596, ""small_business"": 3052, ""startup"": 1187}",false
2015-01,GLS,CN,Asia,Glass,30674,30839,31298,31298,2.035,1,1.0,0.0,0.0204,baseline,"{""enterprise"": 13145, ""mid_market"": 10329, ""small_business"": 5634, ""startup"": 2191}",false
2015-01,PAP,CN,Asia,Paper,51605,49565,52226,52226,1.204,1,1.0,0.0,0.012,baseline,"{""enterprise"": 21935, ""mid_market"": 17235, ""small_business"": 9401, ""startup"": 3656}",false
2015-01,STL,US,North America,Steel,53518,53360,52467,52467,-1.963,1,1.0,0.0,-0.0196,baseline,"{""enterprise"": 22037, ""mid_market"": 17314, ""small_business"": 9444, ""startup"": 3673}",false
2015-01,COP,US,North America,Copper,44582,45551,43901,43901,-1.528,1,1.0,0.0,-0.0153,baseline,"{""enterprise"": 18439, ""mid_market"": 14488, ""small_business"": 7902, ""startup"": 3073}",false
2015-01,PLA,US,North America,Plastic,47767,47316,47515,47515,-0.528,1,1.0,0.0,-0.0053,baseline,"{""enterprise"": 19956, ""mid_market"": 15680, ""small_business"": 8553, ""startup"": 3326}",false
2015-01,CTN,US,North America,Cotton,72724,67420,71333,71333,-1.914,1,1.0,0.0,-0.0191,baseline,"{""enterprise"": 29960, ""mid_market"": 23540, ""small_business"": 12840, ""startup"": 4993}",false
2015-01,SLC,US,North America,Silicon,44948,47939,42846,42846,-4.678,1,1.0,0.0,-0.0468,baseline,"{""enterprise"": 17995, ""mid_market"": 14139, ""small_business"": 7712, ""startup"": 2999}",false
2015-01,ALM,US,North America,Aluminum,64425,62439,68888,68888,6.928,1,1.0,0.0,0.0693,baseline,"{""enterprise"": 28933, ""mid_market"": 22733, ""small_business"": 12400, ""startup"": 4822}",false
2015-01,LIT,US,North America,Lithium,29725,29575,26387,26387,-11.229,1,1.0,0.0,-0.1123,baseline,"{""enterprise"": 11083, ""mid_market"": 8708, ""small_business"": 4750, ""startup"": 1847}",false
2015-01,NIC,US,North America,Nickel,72706,70964,74417,74417,2.353,1,1.0,0.0,0.0235,baseline,"{""enterprise"": 31255, ""mid_market"": 24558, ""small_business"": 13395, ""startup"": 5209}",false
2015-01,REE,US,North America,Rare Earth,52993,53134,55374,55374,4.493,1,1.0,0.0,0.0449,baseline,"{""enterprise"": 23257, ""mid_market"": 18274, ""small_business"": 9967, ""startup"": 3876}",false
2015-01,SEM,US,North America,Semiconductors,60819,58364,71147,71147,16.981,1,1.0,0.0,0.1698,baseline,"{""enterprise"": 29882, ""mid_market"": 23479, ""small_business"": 12807, ""startup"": 4980}",false
2015-01,RBR,US,North America,Rubber,76169,75228,77925,77925,2.305,1,1.0,0.0,0.023,baseline,"{""enterprise"": 32729, ""mid_market"": 25715, ""small_business"": 14027, ""startup"": 5455}",false
2015-01,TIM,US,North America,Timber,57666,58723,55641,55641,-3.512,1,1.0,0.0,-0.0351,baseline,"{""enterprise"": 23369, ""mid_market"": 18362, ""small_business"": 10015, ""startup"": 3895}",false
2015-01,CEM,US,North America,Cement,24114,24213,20025,20025,-16.957,1,1.0,0.0,-0.1696,baseline,"{""enterprise"": 8411, ""mid_market"": 6608, ""small_business"": 3605, ""startup"": 1402}",false
2015-01,GLS,US,North America,Glass,40515,40767,39180,39180,-3.296,1,1.0,0.0,-0.033,baseline,"{""enterprise"": 16456, ""mid_market"": 12929, ""small_business"": 7052, ""startup"": 2743}",false
2015-01,PAP,US,North America,Paper,68162,68724,62096,62096,-8.899,1,1.0,0.0,-0.089,baseline,"{""enterprise"": 26081, ""mid_market"": 20492, ""small_business"": 11177, ""startup"": 4347}",false
2015-01,STL,DE,Europe,Steel,51902,53815,55156,55156,6.27,1,1.0,0.0,0.0627,baseline,"{""enterprise"": 23166, ""mid_market"": 18202, ""small_business"": 9928, ""startup"": 3861}",false
2015-01,COP,DE,Europe,Copper,43236,43763,45981,45981,6.348,1,1.0,0.0,0.0635,baseline,"{""enterprise"": 19312, ""mid_market"": 15174, ""small_business"": 8277, ""startup"": 3219}",false
2015-01,PLA,DE,Europe,Plastic,46325,47421,50094,50094,8.137,1,1.0,0.0,0.0814,baseline,"{""enterprise"": 21040, ""mid_market"": 16531, ""small_business"": 9017, ""startup"": 3507}",false
2015-01,CTN,DE,Europe,Cotton,70529,69756,75731,75731,7.377,1,1.0,0.0,0.0738,baseline,"{""enterprise"": 31807, ""mid_market"": 24991, ""small_business"": 13632, ""startup"": 5301}",false
2015-01,SLC,DE,Europe,Silicon,43591,44296,42138,42138,-3.335,1,1.0,0.0,-0.0333,baseline,"{""enterprise"": 17698, ""mid_market"": 13906, ""small_business"": 7585, ""startup"": 2950}",false
2015-01,ALM,DE,Europe,Aluminum,62479,61031,58687,58687,-6.07,1,1.0,0.0,-0.0607,baseline,"{""enterprise"": 24649, ""mid_market"": 19367, ""small_business"": 10564, ""startup"": 4108}",false
2015-01,LIT,DE,Europe,Lithium,28827,29217,26799,26799,-7.036,1,1.0,0.0,-0.0704,baseline,"{""enterprise"": 11256, ""mid_market"": 8844, ""small_business"": 4824, ""startup"": 1876}",false
2015-01,NIC,DE,Europe,Nickel,70511,70257,77735,77735,10.246,1,1.0,0.0,0.1025,baseline,"{""enterprise"": 32649, ""mid_market"": 25653, ""small_business"": 13992, ""startup"": 5442}",false
2015-01,REE,DE,Europe,Rare Earth,51393,52379,48163,48163,-6.285,1,1.0,0.0,-0.0629,baseline,"{""enterprise"": 20229, ""mid_market"": 15894, ""small_business"": 8669, ""startup"": 3371}",false
2015-01,SEM,DE,Europe,Semiconductors,58983,57845,54248,54248,-8.027,1,1.0,0.0,-0.0803,baseline,"{""enterprise"": 22784, ""mid_market"": 17902, ""small_business"": 9765, ""startup"": 3797}",false
2015-01,RBR,DE,Europe,Rubber,73869,75616,79436,79436,7.536,1,1.0,0.0,0.0754,baseline,"{""enterprise"": 33363, ""mid_market"": 26214, ""small_business"": 14298, ""startup"": 5561}",false
2015-01,TIM,DE,Europe,Timber,55925,55067,60170,60170,7.59,1,1.0,0.0,0.0759,baseline,"{""enterprise"": 25272, ""mid_market"": 19856, ""small_business"": 10831, ""startup"": 4212}",false
2015-01,CEM,DE,Europe,Cement,23386,23679,23984,23984,2.558,1,1.0,0.0,0.0256,baseline,"{""enterprise"": 10074, ""mid_market"": 7915, ""small_business"": 4317, ""startup"": 1679}",false
2015-01,GLS,DE,Europe,Glass,39292,37502,38706,38706,-1.49,1,1.0,0.0,-0.0149,baseline,"{""enterprise"": 16257, ""mid_market"": 12773, ""small_business"": 6967, ""startup"": 2709}",false
2015-01,PAP,DE,Europe,Paper,66104,67235,58648,58648,-11.279,1,1.0,0.0,-0.1128,baseline,"{""enterprise"": 24632, ""mid_market"": 19354, ""small_business"": 10557, ""startup"": 4105}",false
2015-01,STL,JP,Asia,Steel,50609,50437,48096,48096,-4.966,1,1.0,0.0,-0.0497,baseline,"{""enterprise"": 20201, ""mid_market"": 15872, ""small_business"": 8657, ""startup"": 3367}",false
2015-01,COP,JP,Asia,Copper,42159,43349,45981,45981,9.065,1,1.0,0.0,0.0907,baseline,"{""enterprise"": 19312, ""mid_market"": 15174, ""small_business"": 8277, ""startup"": 3219}",false
2015-01,PLA,JP,Asia,Plastic,45171,46039,37577,37577,-16.812,1,1.0,0.0,-0.1681,baseline,"{""enterprise"": 15782, ""mid_market"": 12400, ""small_business"": 6764, ""startup"": 2630}",false
2015-01,CTN,JP,Asia,Cotton,68772,67901,69461,69461,1.002,1,1.0,0.0,0.01,baseline,"{""enterprise"": 29174, ""mid_market"": 22922, ""small_business"": 12503, ""startup"": 4862}",false
2015-01,SLC,JP,Asia,Silicon,42505,41797,37602,37602,-11.536,1,1.0,0.0,-0.1154,baseline,"{""enterprise"": 15793, ""mid_market"": 12409, ""small_business"": 6768, ""startup"": 2632}",false
2015-01,ALM,JP,Asia,Aluminum,60923,62706,61240,61240,0.521,1,1.0,0.0,0.0052,baseline,"{""enterprise"": 25721, ""mid_market"": 20210, ""small_business"": 11023, ""startup"": 4287}",false
2015-01,LIT,JP,Asia,Lithium,28109,28861,26418,26418,-6.016,1,1.0,0.0,-0.0602,baseline,"{""enterprise"": 11096, ""mid_market"": 8718, ""small_business"": 4755, ""startup"": 1849}",false
2015-01,NIC,JP,Asia,Nickel,68755,67858,70954,70954,3.198,1,1.0,0.0,0.032,baseline,"{""enterprise"": 29801, ""mid_market"": 23415, ""small_business"": 12772, ""startup"": 4967}",false
2015-01,REE,JP,Asia,Rare Earth,50113,51487,55746,55746,11.24,1,1.0,0.0,0.1124,baseline,"{""enterprise"": 23413, ""mid_market"": 18396, ""small_business"": 10034, ""startup"": 3902}",false
2015-01,SEM,JP,Asia,Semiconductors,57514,56648,63838,63838,10.995,1,1.0,0.0,0.1099,baseline,"{""enterprise"": 26812, ""mid_market"": 21067, ""small_business"": 11491, ""startup"": 4469}",false
2015-01,RBR,JP,Asia,Rubber,72029,71525,67989,67989,-5.609,1,1.0,0.0,-0.0561,baseline,"{""enterprise"": 28556, ""mid_market"": 22436, ""small_business"": 12238, ""startup"": 4759}",false
2015-01,TIM,JP,Asia,Timber,54532,56244,52358,52358,-3.987,1,1.0,0.0,-0.0399,baseline,"{""enterprise"": 21991, ""mid_market"": 17278, ""small_business"": 9425, ""startup"": 3665}",false
2015-01,CEM,JP,Asia,Cement,22804,23873,23912,23912,4.861,1,1.0,0.0,0.0486,baseline,"{""enterprise"": 10043, ""mid_market"": 7891, ""small_business"": 4304, ""startup"": 1674}",false
2015-01,GLS,JP,Asia,Glass,38313,37722,38973,38973,1.721,1,1.0,0.0,0.0172,baseline,"{""enterprise"": 16369, ""mid_market"": 12861, ""small_business"": 7015, ""startup"": 2728}",false
2015-01,PAP,JP,Asia,Paper,64458,68273,60861,60861,-5.581,1,1.0,0.0,-0.0558,baseline,"{""enterprise"": 25562, ""mid_market"": 20084, ""small_business"": 10955, ""startup"": 4260}",false
2015-01,STL,VN,Asia,Steel,36041,35586,43564,43564,20.875,1,1.0,0.0,0.2088,baseline,"{""enterprise"": 18297, ""mid_market"": 14376, ""small_business"": 7842, ""startup"": 3050}",false
2015-01,COP,VN,Asia,Copper,30023,29511,33676,33676,12.167,1,1.0,0.0,0.1217,baseline,"{""enterprise"": 14144, ""mid_market"": 11113, ""small_business"": 6062, ""startup"": 2357}",false
2015-01,PLA,VN,Asia,Plastic,32167,33375,34597,34597,7.552,1,1.0,0.0,0.0755,baseline,"{""enterprise"": 14531, ""mid_market"": 11417, ""small_business"": 6227, ""startup"": 2422}",false
2015-01,CTN,VN,Asia,Cotton,48975,49838,41489,41489,-15.284,1,1.0,0.0,-0.1528,baseline,"{""enterprise"": 17426, ""mid_market"": 13692, ""small_business"": 7468, ""startup"": 2904}",false
2015-01,SLC,VN,Asia,Silicon,30269,30939,24665,24665,-18.516,1,1.0,0.0,-0.1852,baseline,"{""enterprise"": 10359, ""mid_market"": 8139, ""small_business"": 4440, ""startup"": 1727}",false
2015-01,ALM,VN,Asia,Aluminum,43385,43308,43268,43268,-0.271,1,1.0,0.0,-0.0027,baseline,"{""enterprise"": 18173, ""mid_market"": 14279, ""small_business"": 7788, ""startup"": 3029}",false
2015-01,LIT,VN,Asia,Lithium,20017,20135,21349,21349,6.654,1,1.0,0.0,0.0665,baseline,"{""enterprise"": 8967, ""mid_market"": 7045, ""small_business"": 3843, ""startup"": 1494}",false
2015-01,NIC,VN,Asia,Nickel,48962,48429,46105,46105,-5.836,1,1.0,0.0,-0.0584,baseline,"{""enterprise"": 19364, ""mid_market"": 15215, ""small_business"": 8299, ""startup"": 3227}",false
2015-01,REE,VN,Asia,Rare Earth,35687,35148,31252,31252,-12.426,1,1.0,0.0,-0.1243,baseline,"{""enterprise"": 13126, ""mid_market"": 10313, ""small_business"": 5626, ""startup"": 2188}",false
2015-01,SEM,VN,Asia,Semiconductors,40957,41270,38270,38270,-6.563,1,1.0,0.0,-0.0656,baseline,"{""enterprise"": 16073, ""mid_market"": 12629, ""small_business"": 6889, ""startup"": 2679}",false
2015-01,RBR,VN,Asia,Rubber,51294,51170,53170,53170,3.658,1,1.0,0.0,0.0366,baseline,"{""enterprise"": 22332, ""mid_market"": 17546, ""small_business"": 9571, ""startup"": 3722}",false
2015-01,TIM,VN,Asia,Timber,38834,41206,38170,38170,-1.71,1,1.0,0.0,-0.0171,baseline,"{""enterprise"": 16032, ""mid_market"": 12596, ""small_business"": 6871, ""startup"": 2672}",false
2015-01,CEM,VN,Asia,Cement,16239,15688,17704,17704,9.018,1,1.0,0.0,0.0902,baseline,"{""enterprise"": 7436, ""mid_market"": 5842, ""small_business"": 3187, ""startup"": 1239}",false
2015-01,GLS,VN,Asia,Glass,27284,27570,26149,26149,-4.16,1,1.0,0.0,-0.0416,baseline,"{""enterprise"": 10983, ""mid_market"": 8629, ""small_business"": 4707, ""startup"": 1830}",false
2015-01,PAP,VN,Asia,Paper,45902,45286,44384,44384,-3.308,1,1.0,0.0,-0.0331,baseline,"{""enterprise"": 18641, ""mid_market"": 14647, ""small_business"": 7989, ""startup"": 3107}",false
2015-01,STL,BR,South America,Steel,38109,38464,34423,34423,-9.672,1,1.0,0.0,-0.0967,baseline,"{""enterprise"": 14458, ""mid_market"": 11360, ""small_business"": 6196, ""startup"": 2410}",false
2015-01,COP,BR,South America,Copper,31746,31479,33951,33951,6.947,1,1.0,0.0,0.0695,baseline,"{""enterprise"": 14260, ""mid_market"": 11204, ""small_business"": 6111, ""startup"": 2377}",false
2015-01,PLA,BR,South America,Plastic,34014,36203,31248,31248,-8.13,1,1.0,0.0,-0.0813,baseline,"{""enterprise"": 13124, ""mid_market"": 10312, ""small_business"": 5625, ""startup"": 2187}",false
2015-01,CTN,BR,South America,Cotton,51785,49641,52281,52281,0.958,1,1.0,0.0,0.0096,baseline,"{""enterprise"": 21958, ""mid_market"": 17253, ""small_business"": 9411, ""startup"": 3660}",false
2015-01,SLC,BR,South America,Silicon,32007,31971,35053,35053,9.518,1,1.0,0.0,0.0952,baseline,"{""enterprise"": 14722, ""mid_market"": 11568, ""small_business"": 6310, ""startup"": 2454}",false
2015-01,ALM,BR,South America,Aluminum,45875,47181,47973,47973,4.573,1,1.0,0.0,0.0457,baseline,"{""enterprise"": 20149, ""mid_market"": 15831, ""small_business"": 8635, ""startup"": 3358}",false
2015-01,LIT,BR,South America,Lithium,21166,20190,21506,21506,1.605,1,1.0,0.0,0.016,baseline,"{""enterprise"": 9033, ""mid_market"": 7097, ""small_business"": 3871, ""startup"": 1505}",false
2015-01,NIC,BR,South America,Nickel,51772,52027,47776,47776,-7.719,1,1.0,0.0,-0.0772,baseline,"{""enterprise"": 20066, ""mid_market"": 15766, ""small_business"": 8600, ""startup"": 3344}",false
2015-01,REE,BR,South America,Rare Earth,37735,37269,32019,32019,-15.147,1,1.0,0.0,-0.1515,baseline,"{""enterprise"": 13448, ""mid_market"": 10567, ""small_business"": 5764, ""startup"": 2241}",false
2015-01,SEM,BR,South America,Semiconductors,43308,44226,41914,41914,-3.218,1,1.0,0.0,-0.0322,baseline,"{""enterprise"": 17604, ""mid_market"": 13832, ""small_business"": 7545, ""startup"": 2934}",false
2015-01,RBR,BR,South America,Rubber,54238,50670,57625,57625,6.245,1,1.0,0.0,0.0625,baseline,"{""enterprise"": 24203, ""mid_market"": 19017, ""small_business"": 10373, ""startup"": 4034}",false
2015-01,TIM,BR,South America,Timber,41063,40796,36687,36687,-10.655,1,1.0,0.0,-0.1066,baseline,"{""enterprise"": 15409, ""mid_market"": 12107, ""small_business"": 6604, ""startup"": 2568}",false
2015-01,CEM,BR,South America,Cement,17171,17223,15904,15904,-7.379,1,1.0,0.0,-0.0738,baseline,"{""enterprise"": 6680, ""mid_market"": 5248, ""small_business"": 2863, ""startup"": 1113}",false
2015-01,GLS,BR,South America,Glass,28850,27998,30568,30568,5.954,1,1.0,0.0,0.0595,baseline,"{""enterprise"": 12839, ""mid_market"": 10087, ""small_business"": 5502, ""startup"": 2140}",false
2015-01,PAP,BR,South America,Paper,48537,50350,48218,48218,-0.656,1,1.0,0.0,-0.0066,baseline,"{""enterprise"": 20252, ""mid_market"": 15912, ""small_business"": 8679, ""startup"": 3375}",false
2015-01,STL,KR,Asia,Steel,49034,49606,51559,51559,5.149,1,1.0,0.0,0.0515,baseline,"{""enterprise"": 21655, ""mid_market"": 17015, ""small_business"": 9281, ""startup"": 3609}",false
2015-01,COP,KR,Asia,Copper,40847,40313,44812,44812,9.707,1,1.0,0.0,0.0971,baseline,"{""enterprise"": 18821, ""mid_market"": 14788, ""small_business"": 8066, ""startup"": 3137}",false
2015-01,PLA,KR,Asia,Plastic,43765,42646,43294,43294,-1.075,1,1.0,0.0,-0.0108,baseline,"{""enterprise"": 18184, ""mid_market"": 14287, ""small_business"": 7793, ""startup"": 3031}",false
2015-01,CTN,KR,Asia,Cotton,66631,66929,65316,65316,-1.974,1,1.0,0.0,-0.0197,baseline,"{""enterprise"": 27433, ""mid_market"": 21554, ""small_business"": 11757, ""startup"": 4572}",false
2015-01,SLC,KR,Asia,Silicon,41182,43128,44597,44597,8.291,1,1.0,0.0,0.0829,baseline,"{""enterprise"": 18731, ""mid_market"": 14717, ""small_business"": 8027, ""startup"": 3122}",false
2015-01,ALM,KR,Asia,Aluminum,59027,60905,48535,48535,-17.773,1,1.0,0.0,-0.1777,baseline,"{""enterprise"": 20385, ""mid_market"": 16017, ""small_business"": 8736, ""startup"": 3398}",false
2015-01,LIT,KR,Asia,Lithium,27234,27711,25288,25288,-7.146,1,1.0,0.0,-0.0715,baseline,"{""enterprise"": 10621, ""mid_market"": 8345, ""small_business"": 4552, ""startup"": 1770}",false
2015-01,NIC,KR,Asia,Nickel,66614,66620,66853,66853,0.359,1,1.0,0.0,0.0036,baseline,"{""enterprise"": 28079, ""mid_market"": 22062, ""small_business"": 12034, ""startup"": 4680}",false
2015-01,REE,KR,Asia,Rare Earth,48553,47625,47478,47478,-2.214,1,1.0,0.0,-0.0221,baseline,"{""enterprise"": 19941, ""mid_market"": 15668, ""small_business"": 8546, ""startup"": 3323}",false
2015-01,SEM,KR,Asia,Semiconductors,55724,53932,55067,55067,-1.178,1,1.0,0.0,-0.0118,baseline,"{""enterprise"": 23128, ""mid_market"": 18172, ""small_business"": 9912, ""startup"": 3855}",false
2015-01,RBR,KR,Asia,Rubber,69787,70992,68636,68636,-1.65,1,1.0,0.0,-0.0165,baseline,"{""enterprise"": 28827, ""mid_market"": 22650, ""small_business"": 12354, ""startup"": 4805}",false
2015-01,TIM,KR,Asia,Timber,52835,51824,52058,52058,-1.471,1,1.0,0.0,-0.0147,baseline,"{""enterprise"": 21864, ""mid_market"": 17179, ""small_business"": 9370, ""startup"": 3644}",false
2015-01,CEM,KR,Asia,Cement,22094,21535,22250,22250,0.709,1,1.0,0.0,0.0071,baseline,"{""enterprise"": 9345, ""mid_market"": 7343, ""small_business"": 4005, ""startup"": 1558}",false
2015-01,GLS,KR,Asia,Glass,37121,38230,43795,43795,17.98,1,1.0,0.0,0.1798,baseline,"{""enterprise"": 18394, ""mid_market"": 14452, ""small_business"": 7883, ""startup"": 3066}",false
2015-01,PAP,KR,Asia,Paper,62451,62628,60087,60087,-3.786,1,1.0,0.0,-0.0379,baseline,"{""enterprise"": 25237, ""mid_market"": 19829, ""small_business"": 10816, ""startup"": 4206}",false
2015-01,STL,MX,North America,Steel,39848,40978,33845,33845,-15.065,1,1.0,0.0,-0.1506,baseline,"{""enterprise"": 14215, ""mid_market"": 11169, ""small_business"": 6092, ""startup"": 2369}",false
2015-01,COP,MX,North America,Copper,33194,31920,28144,28144,-15.215,1,1.0,0.0,-0.1522,baseline,"{""enterprise"": 11821, ""mid_market"": 9288, ""small_business"": 5066, ""startup"": 1970}",false
2015-01,PLA,MX,North America,Plastic,35565,35424,34364,34364,-3.379,1,1.0,0.0,-0.0338,baseline,"{""enterprise"": 14433, ""mid_market"": 11340, ""small_business"": 6186, ""startup"": 2405}",false
2015-01,CTN,MX,North America,Cotton,54148,53775,56307,56307,3.987,1,1.0,0.0,0.0399,baseline,"{""enterprise"": 23649, ""mid_market"": 18581, ""small_business"": 10135, ""startup"": 3941}",false
2015-01,SLC,MX,North America,Silicon,33467,32579,38278,38278,14.376,1,1.0,0.0,0.1438,baseline,"{""enterprise"": 16077, ""mid_market"": 12632, ""small_business"": 6890, ""startup"": 2679}",false
2015-01,ALM,MX,North America,Aluminum,47968,46515,47216,47216,-1.568,1,1.0,0.0,-0.0157,baseline,"{""enterprise"": 19831, ""mid_market"": 15581, ""small_business"": 8499, ""startup"": 3305}",false
2015-01,LIT,MX,North America,Lithium,22132,22190,21227,21227,-4.087,1,1.0,0.0,-0.0409,baseline,"{""enterprise"": 8916, ""mid_market"": 7005, ""small_business"": 3821, ""startup"": 1486}",false
2015-01,NIC,MX,North America,Nickel,54134,53072,53590,53590,-1.006,1,1.0,0.0,-0.0101,baseline,"{""enterprise"": 22508, ""mid_market"": 17685, ""small_business"": 9646, ""startup"": 3751}",false
2015-01,REE,MX,North America,Rare Earth,39457,39166,40747,40747,3.269,1,1.0,0.0,0.0327,baseline,"{""enterprise"": 17114, ""mid_market"": 13447, ""small_business"": 7334, ""startup"": 2852}",false
2015-01,SEM,MX,North America,Semiconductors,45284,46656,44571,44571,-1.575,1,1.0,0.0,-0.0157,baseline,"{""enterprise"": 18720, ""mid_market"": 14709, ""small_business"": 8023, ""startup"": 3120}",false
