log_id,timestamp,user_id,user_role,action_type,entity_type,entity_id,field_changed,old_value,new_value,ip_address,user_agent,session_id,result,error_message,duration_ms
LOG-0000053,2016-12-19T04:54:00Z,USR-0056,admin,LOGIN,purchase_order,PO-140310,,,,10.19.70.43,Edge/Windows,SES-018244,success,,29
LOG-0000054,2016-05-30T09:33:00Z,USR-0031,analyst,VIEW,purchase_order,PO-146995,,,,10.160.241.177,Safari/macOS,SES-022778,success,,2261
LOG-0000055,2022-03-06T18:17:00Z,USR-0023,procurement_manager,UPDATE,purchase_order,PO-110760,payment_terms,pending,,10.174.188.103,Safari/macOS,SES-006635,success,,927
LOG-0000056,2016-04-29T03:25:00Z,USR-0072,procurement_manager,VIEW,purchase_order,PO-116332,,,,10.26.187.208,Edge/Windows,SES-009415,success,,223
LOG-0000057,2024-10-18T15:42:00Z,USR-0012,viewer,VIEW,purchase_order,PO-126019,,,,10.169.36.53,Chrome/macOS,SES-004379,success,,1583
LOG-0000058,2022-11-28T00:22:00Z,USR-0002,admin,VIEW,purchase_order,PO-131863,,,,10.167.169.71,Chrome/macOS,SES-002261,success,,73
LOG-0000059,2018-11-06T20:59:00Z,USR-0017,analyst,SUBMIT,purchase_order,PO-148089,,,,10.194.42.94,Edge/Windows,SES-023234,success,,1071
LOG-0000060,2024-02-08T05:02:00Z,USR-0067,admin,UPDATE,purchase_order,PO-111749,total_usd,pending,,10.212.219.251,Safari/macOS,SES-010442,success,,731
LOG-0000061,2022-03-24T20:44:00Z,USR-0031,admin,SUBMIT,purchase_order,PO-103785,,,,10.98.69.252,Chrome/macOS,SES-008472,success,,1119
LOG-0000062,2024-05-20T10:48:00Z,USR-0023,procurement_manager,UPDATE,purchase_order,PO-141889,payment_terms,pending,,10.33.13.55,Chrome/macOS,SES-010136,success,,604
LOG-0000063,2017-01-17T12:22:00Z,USR-0029,viewer,LOGOUT,purchase_order,PO-149017,,,,10.217.197.212,Safari/macOS,SES-010182,success,,1911
LOG-0000064,2021-08-28T04:06:00Z,USR-0079,viewer,EXPORT,purchase_order,PO-104671,,,,10.105.176.175,API-client/2.1,SES-022105,success,,731
LOG-0000065,2018-06-22T06:02:00Z,USR-0045,analyst,CREATE,purchase_order,PO-137885,,,,10.101.78.139,API-client/2.1,SES-007913,success,,1456
LOG-0000066,2016-06-07T08:11:00Z,USR-0032,procurement_manager,UPDATE,purchase_order,PO-136325,total_usd,pending,,10.184.10.221,API-client/2.1,SES-003166,success,,1907
LOG-0000067,2018-11-21T21:02:00Z,USR-0034,procurement_manager,CREATE,purchase_order,PO-148090,,,,10.54.193.2,Safari/macOS,SES-021358,success,,628
LOG-0000068,2024-11-10T02:57:00Z,USR-0063,procurement_manager,CREATE,purchase_order,PO-106867,,,,10.51.207.169,Chrome/macOS,SES-005187,success,,1186
LOG-0000069,2016-01-31T19:43:00Z,USR-0018,admin,VIEW,purchase_order,PO-132177,,,,10.217.27.35,Edge/Windows,SES-013502,success,,1409
LOG-0000070,2024-08-04T00:45:00Z,USR-0055,viewer,CREATE,purchase_order,PO-112435,,,,10.101.182.14,Chrome/macOS,SES-016519,success,,411
LOG-0000071,2022-02-07T21:15:00Z,USR-0016,analyst,CREATE,purchase_order,PO-146143,,,,10.217.103.93,Chrome/macOS,SES-007228,success,,2148
LOG-0000072,2016-02-23T00:11:00Z,USR-0003,viewer,VIEW,purchase_order,PO-104367,,,,10.8.235.66,API-client/2.1,SES-023752,success,,640
LOG-0000073,2019-12-16T19:18:00Z,USR-0040,admin,CREATE,purchase_order,PO-126294,,,,10.208.23.244,Edge/Windows,SES-002162,success,,1297
LOG-0000074,2022-10-03T17:25:00Z,USR-0010,admin,LOGOUT,purchase_order,PO-101824,,,,10.119.148.45,Safari/macOS,SES-018997,success,,1809
LOG-0000075,2023-01-20T07:34:00Z,USR-0077,analyst,UPDATE,purchase_order,PO-149126,payment_terms,pending,,10.201.52.136,Safari/macOS,SES-004567,success,,980
LOG-0000076,2015-11-17T18:46:00Z,USR-0008,admin,EXPORT,purchase_order,PO-119772,,,,10.157.97.136,Safari/macOS,SES-011318,success,,1425
LOG-0000077,2016-01-12T11:22:00Z,USR-0023,analyst,SUBMIT,purchase_order,PO-131407,,,,10.82.172.83,Chrome/macOS,SES-012194,success,,495
LOG-0000078,2021-08-05T19:43:00Z,USR-0077,admin,UPDATE,purchase_order,PO-141384,payment_terms,pending,,10.103.99.246,Edge/Windows,SES-021615,success,,1531
LOG-0000079,2016-06-06T19:52:00Z,USR-0012,viewer,LOGIN,purchase_order,PO-109719,,,,10.88.67.128,API-client/2.1,SES-000625,success,,198
LOG-0000080,2020-04-05T13:22:00Z,USR-0075,analyst,VIEW,purchase_order,PO-125653,,,,10.137.63.238,API-client/2.1,SES-004728,success,,2388
LOG-0000081,2022-04-06T18:06:00Z,USR-0054,analyst,CREATE,purchase_order,PO-130384,,,,10.110.66.140,Safari/macOS,SES-001020,success,,955
LOG-0000082,2024-05-11T19:36:00Z,USR-0049,viewer,VIEW,purchase_order,PO-106364,,,,10.195.152.52,API-client/2.1,SES-020541,success,,1662
LOG-0000083,2023-05-10T02:12:00Z,USR-0061,viewer,VIEW,purchase_order,PO-133251,,,,10.27.172.208,API-client/2.1,SES-007660,success,,2370
LOG-0000084,2024-10-12T09:56:00Z,USR-0006,procurement_manager,LOGIN,purchase_order,PO-149121,,,,10.45.225.151,Edge/Windows,SES-021678,success,,320
LOG-0000085,2020-11-03T15:44:00Z,USR-0038,viewer,CREATE,purchase_order,PO-118781,,,,10.25.93.232,Chrome/macOS,SES-006118,success,,948
LOG-0000086,2015-11-03T14:45:00Z,USR-0025,viewer,VIEW,purchase_order,PO-144254,,,,10.47.96.238,API-client/2.1,SES-022561,success,,1225
LOG-0000087,2020-04-30T14:00:00Z,USR-0085,viewer,DELETE,purchase_order,PO-139090,,,,10.187.107.183,API-client/2.1,SES-003724,success,,1901
LOG-0000088,2021-12-17T08:08:00Z,USR-0048,analyst,CREATE,purchase_order,PO-147543,,,,10.148.157.140,Safari/macOS,SES-007806,success,,1369
LOG-0000089,2022-11-03T19:47:00Z,USR-0079,analyst,VIEW,purchase_order,PO-121792,,,,10.10.208.6,Safari/macOS,SES-012075,success,,288
LOG-0000090,2017-07-15T17:48:00Z,USR-0058,analyst,LOGIN,purchase_order,PO-111316,,,,10.121.196.77,API-client/2.1,SES-008274,success,,2206
LOG-0000091,2019-11-17T13:36:00Z,USR-0083,analyst,CANCEL,purchase_order,PO-115067,,,,10.166.104.86,Safari/macOS,SES-008093,success,,1169
LOG-0000092,2016-09-29T23:46:00Z,USR-0023,viewer,UPDATE,purchase_order,PO-123163,payment_terms,pending,,10.205.234.175,Edge/Windows,SES-008280,success,,1646
LOG-0000093,2015-01-18T19:34:00Z,USR-0065,procurement_manager,VIEW,purchase_order,PO-100297,,,,10.212.50.135,API-client/2.1,SES-017502,success,,756
LOG-0000094,2016-01-23T14:49:00Z,USR-0035,viewer,VIEW,purchase_order,PO-110580,,,,10.117.131.246,Edge/Windows,SES-004733,success,,1315
LOG-0000095,2019-08-18T07:39:00Z,USR-0025,procurement_manager,APPROVE,purchase_order,PO-124331,risk_score,,approved,10.152.245.226,Edge/Windows,SES-008136,success,,1549
LOG-0000096,2024-12-28T04:12:00Z,USR-0031,analyst,VIEW,purchase_order,PO-103825,,,,10.102.100.16,Chrome/macOS,SES-017505,failure,permission denied,958
LOG-0000097,2020-07-07T12:47:00Z,USR-0076,admin,VIEW,purchase_order,PO-134541,,,,10.151.205.212,Safari/macOS,SES-021303,success,,2337
LOG-0000098,2016-05-01T03:02:00Z,USR-0063,analyst,LOGIN,purchase_order,PO-116176,,,,10.137.185.61,API-client/2.1,SES-006192,success,,687
LOG-0000099,2021-07-15T15:54:00Z,USR-0059,admin,VIEW,purchase_order,PO-114523,,,,10.118.115.35,Edge/Windows,SES-002260,success,,769
LOG-0000100,2021-04-16T19:43:00Z,USR-0075,admin,CREATE,purchase_order,PO-123528,,,,10.94.174.51,Edge/Windows,SES-012313,success,,2053
LOG-0000101,2022-06-13T10:33:00Z,USR-0029,analyst,VIEW,purchase_order,PO-144610,,,,10.165.70.48,API-client/2.1,SES-013613,success,,91
LOG-0000102,2020-01-18T15:18:00Z,USR-0033,admin,VIEW,purchase_order,PO-121729,,,,10.103.155.226,Safari/macOS,SES-019378,success,,2209
LOG-0000103,2024-06-18T18:14:00Z,USR-0013,viewer,VIEW,purchase_order,PO-143165,,,,10.91.117.1,API-client/2.1,SES-005950,success,,1402
LOG-0000104,2019-04-02T10:36:00Z,USR-0075,analyst,VIEW,purchase_order,PO-121351,,,,10.182.100.187,Edge/Windows,SES-007227,success,,1477
LOG-0000105,2020-04-03T06:24:00Z,USR-0067,procurement_manager,EXPORT,purchase_order,PO-102582,,,,10.220.103.199,Safari/macOS,SES-012868,success,,1985
LOG-0000106,2020-02-11T08:31:00Z,USR-0047,admin,UPDATE,purchase_order,PO-100079,risk_score,pending,,10.130.244.175,Edge/Windows,SES-004380,success,,531
LOG-0000107,2023-05-29T11:01:00Z,USR-0008,procurement_manager,UPDATE,purchase_order,PO-149747,status,pending,,10.179.183.90,Chrome/macOS,SES-006332,success,,1379
LOG-0000108,2020-06-18T15:22:00Z,USR-0015,viewer,LOGIN,purchase_order,PO-149792,,,,10.141.97.184,Edge/Windows,SES-023599,success,,2081
LOG-0000109,2019-07-05T23:03:00Z,USR-0068,admin,CREATE,purchase_order,PO-101420,,,,10.47.7.224,API-client/2.1,SES-008185,success,,502
LOG-0000110,2021-03-16T09:39:00Z,USR-0026,admin,UPDATE,purchase_order,PO-110242,risk_score,pending,,10.1.21.152,Safari/macOS,SES-015058,success,,244
LOG-0000111,2016-10-16T07:00:00Z,USR-0031,procurement_manager,APPROVE,purchase_order,PO-104870,total_usd,,approved,10.200.142.28,Chrome/macOS,SES-011860,success,,2139
LOG-0000112,2022-10-23T20:09:00Z,USR-0012,procurement_manager,VIEW,purchase_order,PO-112826,,,,10.35.6.44,Safari/macOS,SES-006127,success,,2250
LOG-0000113,2022-01-23T18:19:00Z,USR-0051,procurement_manager,VIEW,purchase_order,PO-114914,,,,10.83.162.46,Chrome/macOS,SES-008094,success,,1603
LOG-0000114,2015-08-10T16:33:00Z,USR-0024,admin,APPROVE,purchase_order,PO-134350,status,,approved,10.120.96.209,Safari/macOS,SES-015722,success,,1227
LOG-0000115,2016-08-03T02:34:00Z,USR-0078,analyst,CREATE,purchase_order,PO-107213,,,,10.141.234.89,API-client/2.1,SES-019801,success,,1044
LOG-0000116,2023-12-19T10:04:00Z,USR-0014,admin,UPDATE,purchase_order,PO-137261,risk_score,pending,,10.26.70.95,Chrome/macOS,SES-020579,success,,1565
LOG-0000117,2020-11-22T09:23:00Z,USR-0063,viewer,VIEW,purchase_order,PO-106826,,,,10.156.80.47,Chrome/macOS,SES-016821,success,,1829
LOG-0000118,2019-09-08T07:03:00Z,USR-0084,analyst,CANCEL,purchase_order,PO-127837,,,,10.29.126.196,API-client/2.1,SES-001101,success,,1254
LOG-0000119,2018-04-15T00:24:00Z,USR-0033,viewer,VIEW,purchase_order,PO-105498,,,,10.3.142.156,Edge/Windows,SES-020106,success,,665
LOG-0000120,2015-07-09T12:38:00Z,USR-0023,analyst,CREATE,purchase_order,PO-115647,,,,10.113.84.129,Edge/Windows,SES-010227,success,,2059
LOG-0000121,2024-06-01T05:15:00Z,USR-0055,admin,APPROVE,purchase_order,PO-121306,status,,approved,10.62.184.250,Safari/macOS,SES-000794,success,,1806
LOG-0000122,2018-05-26T15:59:00Z,USR-0059,viewer,UPDATE,purchase_order,PO-137213,risk_score,pending,,10.49.162.182,API-client/2.1,SES-012104,success,,530
LOG-0000123,2022-06-27T23:06:00Z,USR-0055,admin,VIEW,customer,CUS-0031,,,,10.204.126.58,Chrome/macOS,SES-002512,success,,2318
LOG-0000124,2017-05-07T08:35:00Z,USR-0057,procurement_manager,VIEW,purchase_order,PO-104003,,,,10.216.169.51,Safari/macOS,SES-019101,success,,1689
LOG-0000125,2022-01-26T19:36:00Z,USR-0046,analyst,EXPORT,purchase_order,PO-143879,,,,10.163.17.145,Safari/macOS,SES-011505,success,,124
LOG-0000126,2021-02-05T03:16:00Z,USR-0042,viewer,UPDATE,purchase_order,PO-147421,payment_terms,pending,,10.199.125.26,API-client/2.1,SES-018392,success,,354
LOG-0000127,2019-10-21T10:35:00Z,USR-0009,procurement_manager,UPDATE,purchase_order,PO-121021,total_usd,pending,,10.137.220.227,Safari/macOS,SES-001819,success,,1900
LOG-0000128,2016-09-15T17:53:00Z,USR-0028,analyst,UPDATE,purchase_order,PO-102660,status,pending,,10.184.200.34,Chrome/macOS,SES-003997,success,,1071
LOG-0000129,2022-12-02T07:47:00Z,USR-0007,procurement_manager,CREATE,purchase_order,PO-116415,,,,10.154.51.219,API-client/2.1,SES-023482,success,,784
LOG-0000130,2024-04-26T05:19:00Z,USR-0082,procurement_manager,REJECT,purchase_order,PO-129906,status,,,10.34.22.163,API-client/2.1,SES-000387,success,,2325
LOG-0000131,2024-11-08T05:55:00Z,USR-0068,procurement_manager,VIEW,purchase_order,PO-133008,,,,10.77.217.239,API-client/2.1,SES-022493,success,,664
LOG-0000132,2017-09-03T03:41:00Z,USR-0082,viewer,CREATE,purchase_order,PO-135693,,,,10.113.198.13,Chrome/macOS,SES-011640,success,,154
LOG-0000133,2020-12-29T15:20:00Z,USR-0021,analyst,VIEW,purchase_order,PO-123044,,,,10.13.50.115,Chrome/macOS,SES-012052,success,,989
LOG-0000134,2024-08-18T11:05:00Z,USR-0029,procurement_manager,CREATE,purchase_order,PO-134573,,,,10.2.175.74,Safari/macOS,SES-006955,success,,974
LOG-0000135,2016-04-06T10:27:00Z,USR-0070,procurement_manager,UPDATE,purchase_order,PO-112016,payment_terms,pending,,10.141.207.31,API-client/2.1,SES-017849,success,,1946
LOG-0000136,2024-10-10T03:05:00Z,USR-0003,procurement_manager,VIEW,purchase_order,PO-149600,,,,10.114.205.174,Safari/macOS,SES-000870,success,,854
LOG-0000137,2020-04-28T15:26:00Z,USR-0009,viewer,UPDATE,purchase_order,PO-141907,payment_terms,pending,,10.90.10.56,Edge/Windows,SES-022013,success,,1893
LOG-0000138,2020-07-05T13:28:00Z,USR-0047,procurement_manager,LOGIN,purchase_order,PO-127548,,,,10.28.31.62,Safari/macOS,SES-013967,success,,1770
LOG-0000139,2020-04-17T17:28:00Z,USR-0023,procurement_manager,SUBMIT,purchase_order,PO-128758,,,,10.22.218.236,Chrome/macOS,SES-001952,success,,1241
LOG-0000140,2024-09-21T08:28:00Z,USR-0068,analyst,UPDATE,purchase_order,PO-125937,status,pending,,10.120.136.51,Chrome/macOS,SES-003293,success,,830
LOG-0000141,2017-07-30T00:17:00Z,USR-0048,admin,VIEW,purchase_order,PO-102496,,,,10.161.179.144,Edge/Windows,SES-001131,success,,1992
LOG-0000142,2016-07-30T21:21:00Z,USR-0008,viewer,VIEW,purchase_order,PO-126695,,,,10.201.150.239,API-client/2.1,SES-006840,success,,1106
LOG-0000143,2021-04-06T12:07:00Z,USR-0021,admin,UPDATE,purchase_order,PO-140480,status,pending,,10.117.115.178,Chrome/macOS,SES-002335,success,,1841
LOG-0000144,2019-05-24T09:01:00Z,USR-0057,procurement_manager,LOGIN,purchase_order,PO-110930,,,,10.81.59.226,Safari/macOS,SES-005280,success,,1062
LOG-0000145,2024-03-14T06:16:00Z,USR-0007,admin,VIEW,purchase_order,PO-115235,,,,10.157.50.110,Edge/Windows,SES-021850,success,,2345
LOG-0000146,2015-09-25T02:13:00Z,USR-0020,viewer,UPDATE,purchase_order,PO-118408,risk_score,pending,,10.7.65.80,Chrome/macOS,SES-023162,success,,771
LOG-0000147,2017-03-02T20:17:00Z,USR-0038,analyst,VIEW,purchase_order,PO-110300,,,,10.81.250.174,Chrome/macOS,SES-016768,success,,2289
LOG-0000148,2023-11-24T09:09:00Z,USR-0015,admin,VIEW,purchase_order,PO-126319,,,,10.182.33.67,API-client/2.1,SES-005393,success,,2055
LOG-0000149,2024-02-08T06:05:00Z,USR-0044,admin,CREATE,purchase_order,PO-117562,,,,10.66.34.215,API-client/2.1,SES-004324,success,,1909
LOG-0000150,2021-09-25T23:46:00Z,USR-0068,analyst,VIEW,purchase_order,PO-124743,,,,10.112.49.51,Edge/Windows,SES-003359,success,,421
LOG-0000151,2016-05-30T22:23:00Z,USR-0044,admin,UPDATE,purchase_order,PO-111014,risk_score,pending,,10.75.121.76,Safari/macOS,SES-022190,success,,471
LOG-0000152,2015-09-18T08:46:00Z,USR-0050,viewer,SUBMIT,purchase_order,PO-101478,,,,10.54.172.116,Edge/Windows,SES-010727,success,,813
LOG-0000153,2017-06-23T04:03:00Z,USR-0064,viewer,UPDATE,purchase_order,PO-142725,total_usd,pending,,10.71.89.241,Chrome/macOS,SES-000467,success,,26
LOG-0000154,2018-03-16T00:11:00Z,USR-0004,admin,UPDATE,purchase_order,PO-133420,total_usd,pending,,10.9.2.95,API-client/2.1,SES-014271,success,,1063
LOG-0000155,2023-04-06T04:21:00Z,USR-0044,admin,APPROVE,purchase_order,PO-138355,risk_score,,approved,10.191.175.10,Edge/Windows,SES-023975,success,,1139
LOG-0000156,2016-02-10T06:08:00Z,USR-0014,viewer,VIEW,purchase_order,PO-100410,,,,10.160.122.223,Edge/Windows,SES-001607,success,,2117
LOG-0000157,2023-03-30T13:33:00Z,USR-0075,viewer,UPDATE,purchase_order,PO-117263,status,pending,,10.67.171.203,Safari/macOS,SES-024977,success,,1439
LOG-0000158,2018-02-21T06:06:00Z,USR-0047,viewer,SUBMIT,purchase_order,PO-135966,,,,10.164.60.135,API-client/2.1,SES-018450,success,,1340
LOG-0000159,2019-03-12T16:01:00Z,USR-0025,analyst,CREATE,purchase_order,PO-124161,,,,10.95.92.185,Safari/macOS,SES-012505,success,,600
LOG-0000160,2019-01-23T06:41:00Z,USR-0060,analyst,CREATE,purchase_order,PO-143046,,,,10.175.91.38,Chrome/macOS,SES-002474,success,,654
LOG-0000161,2024-01-12T17:38:00Z,USR-0065,analyst,UPDATE,supplier,SUP-0176,payment_terms,pending,,10.101.212.34,API-client/2.1,SES-000832,success,,538
LOG-0000162,2017-09-18T23:56:00Z,USR-0063,analyst,LOGIN,purchase_order,PO-133550,,,,10.53.93.198,Edge/Windows,SES-023897,success,,1436
LOG-0000163,2022-01-03T15:10:00Z,USR-0062,admin,CREATE,purchase_order,PO-143176,,,,10.214.178.215,Chrome/macOS,SES-024734,success,,1766
LOG-0000164,2022-05-06T17:40:00Z,USR-0050,admin,VIEW,purchase_order,PO-112760,,,,10.175.30.83,API-client/2.1,SES-016294,success,,1392
LOG-0000165,2015-07-28T01:06:00Z,USR-0034,analyst,UPDATE,purchase_order,PO-148247,status,pending,,10.186.214.25,Chrome/macOS,SES-005383,success,,243
LOG-0000166,2021-09-11T00:34:00Z,USR-0044,viewer,EXPORT,purchase_order,PO-110546,,,,10.206.241.158,Safari/macOS,SES-022914,success,,1723
