date,supplier_id,country_code,quality_score,delivery_score,cost_score,sustainability_score,overall_score,response_time_hours,on_time_delivery_rate,on_time_delivery,order_accuracy,fill_rate,defect_rate_ppm,defect_rate_pct,response_rate,dispute_count,escalation_count,avg_resolution_days,orders_count,revenue_generated,kpi_compliance,audit_score,incidents_count
2015-01,SUP-0016,CN,96.96,84.71,87.23,80.07,87.24,17.3,84.71,84.71,98.38,84.79,11815,1.182,90.69,0,0,7.23,24,858810.32,86.86,100,0
2015-01,SUP-0017,CN,90.82,95.47,73.41,79.5,84.8,41.3,95.47,95.47,93.55,90.31,11197,1.12,78.34,0,0,2.6,21,1330137.7,83.1,90.27,0
2015-01,SUP-0018,CN,88.21,95.52,83.49,65.46,83.17,36.3,95.52,95.52,83.75,93.09,12628,1.263,83.44,0,0,11.7,63,1937449.23,83.29,92.93,0
2015-01,SUP-0019,CN,93.74,85.61,71.84,55.89,76.77,9.4,85.61,85.61,93.23,86.98,9510,0.951,95.89,0,0,3.55,75,1819878.5,78.42,100,0
2015-01,SUP-0020,CN,100,89.13,56.18,87.29,83.15,18.9,89.13,89.13,98.38,89.31,3578,0.358,86.82,0,0,4.7,44,1759037.41,81.54,100,0
2015-01,SUP-0021,CN,84.96,83.62,87.98,78.89,83.87,3.4,83.62,83.62,84.87,84.94,20671,2.067,96.64,0,0,12.7,21,724483.34,85.79,87.87,0
2015-01,SUP-0022,CN,96.28,86.19,91.97,70.73,86.29,22.9,86.19,86.19,98.06,82.64,8357,0.836,82.5,0,0,6.63,32,1427035.63,84.37,92.3,0
2015-01,SUP-0023,CN,84.54,94.33,79.95,80.23,84.76,46.0,94.33,94.33,82.58,90.96,13768,1.377,80.31,0,0,12.32,71,1512257.31,80.99,87.01,0
2015-01,SUP-0024,CN,76.12,75.91,71.7,69.57,73.33,44.5,75.91,75.91,79.3,75.2,20530,2.053,73.93,0,0,3.01,19,1986309.72,79.27,76.26,0
2015-01,SUP-0025,CN,77.47,83.42,74.39,62.76,74.51,12.4,83.42,83.42,79.49,86.35,26433,2.643,95.05,0,0,11.75,39,1314041.4,73.81,78.53,0
2015-01,SUP-0026,CN,86.18,96.91,73.33,77.13,83.39,30.8,96.91,96.91,84.66,95.54,16032,1.603,83.42,1,0,2.61,23,1573958.22,87.15,90.2,0
2015-01,SUP-0027,CN,83.13,87.33,62.75,100,83.3,14.4,87.33,87.33,79.76,85.48,17599,1.76,92.26,0,0,13.93,36,1191571.49,82.23,86.64,0
2015-01,SUP-0028,CN,96.61,91.0,72.41,72.66,83.17,53.2,91.0,91.0,95.97,89.01,10204,1.02,71.48,0,0,10.19,8,866582.54,83.14,94.49,0
2015-01,SUP-0029,CN,95.09,70.58,83.01,66.58,78.82,11.4,70.58,70.58,94.13,67.56,8154,0.815,92.1,0,1,8.26,38,1401441.2,76.84,90.3,0
2015-01,SUP-0030,CN,92.4,98.2,79.83,54.33,81.19,17.0,98.2,98.2,90.67,96.02,9276,0.928,88.63,1,0,4.0,36,750460.7,82.05,99.47,0
2015-01,SUP-0031,CN,86.71,68.06,74.91,68.75,74.61,24.9,68.06,68.06,84.63,65.99,14118,1.412,87.82,0,0,12.44,14,1548252.34,77.67,82.83,0
2015-01,SUP-0032,CN,90.32,75.51,86.09,54.08,76.5,22.8,75.51,75.51,89.51,74.88,16934,1.693,88.3,0,0,10.08,72,358334.95,77.12,87.95,0
2015-01,SUP-0033,CN,90.22,86.68,82.75,69.29,82.23,30.6,86.68,86.68,90.02,83.71,8802,0.88,83.11,1,0,13.43,58,560202.98,82.79,92.08,1
2015-01,SUP-0034,CN,83.41,81.78,82.55,86.78,83.63,31.8,81.78,81.78,85.28,79.51,20960,2.096,79.93,0,0,5.93,49,1131319.74,84.25,82.76,0
2015-01,SUP-0035,CN,97.55,86.53,70.92,73.76,82.19,16.6,86.53,86.53,100,84.07,4971,0.497,91.0,1,0,5.53,73,618223.18,85.44,100,0
2015-01,SUP-0036,IN,92.24,87.52,76.44,72.96,82.29,27.6,87.52,87.52,92.65,88.39,15744,1.574,87.31,0,1,4.62,53,790231.52,78.98,96.77,0
2015-01,SUP-0037,IN,89.56,95.8,83.94,63.27,83.14,35.3,95.8,95.8,91.56,94.81,11481,1.148,80.75,0,0,3.77,58,964224.95,89.58,80.37,0
2015-01,SUP-0038,IN,93.79,93.89,62.74,72.95,80.85,10.8,93.89,93.89,93.81,94.61,12640,1.264,94.17,0,0,4.96,79,839194.66,75.73,88.74,1
2015-01,SUP-0039,IN,100,83.94,62.68,78.37,81.25,2.6,83.94,83.94,100,85.91,9208,0.921,100,0,0,3.34,36,1370528.81,79.08,100,0
2015-01,SUP-0040,IN,99.26,86.2,74.02,86.06,86.39,30.0,86.2,86.2,97.03,86.2,6412,0.641,78.09,0,0,7.62,6,1252127.27,85.87,100,0
2015-01,SUP-0041,IN,88.78,81.88,81.13,67.3,79.78,4.2,81.88,81.88,89.3,85.56,17067,1.707,100,0,0,13.81,6,761821.84,81.33,96.8,0
2015-01,SUP-0042,IN,90.98,93.88,88.23,75.51,87.15,24.6,93.88,93.88,90.87,94.07,16017,1.602,88.39,0,0,4.27,43,684229.73,89.12,87.09,0
2015-01,SUP-0043,IN,87.58,77.44,77.27,55.79,74.52,30.0,77.44,77.44,90.6,77.35,10594,1.059,83.93,2,0,1.44,25,272503.92,74.33,93.08,0
2015-01,SUP-0044,IN,94.82,86.06,65.81,81.2,81.97,9.4,86.06,86.06,97.01,84.26,9037,0.904,96.94,0,0,8.78,43,1972207.85,82.61,97.93,0
2015-01,SUP-0045,IN,94.8,60.14,63.7,82.25,75.22,48.4,60.14,60.14,92.9,61.09,5591,0.559,75.82,0,0,6.22,5,1433765.89,73.8,87.41,0
2015-01,SUP-0046,IN,90.3,79.4,84.13,71.55,81.34,12.3,79.4,79.4,92.05,80.15,16516,1.652,91.81,0,0,5.86,71,125147.67,77.92,91.82,0
2015-01,SUP-0047,IN,85.36,76.9,79.22,83.47,81.24,23.3,76.9,76.9,83.78,77.74,18773,1.877,84.63,0,0,5.76,15,1199082.38,78.72,82.83,0
2015-01,SUP-0048,IN,83.21,83.46,70.52,66.02,75.8,20.4,83.46,83.46,85.3,81.78,18334,1.833,89.11,1,0,8.35,11,951398.26,78.19,82.4,0
2015-01,SUP-0049,IN,85.31,78.81,75.59,71.53,77.81,13.1,78.81,78.81,82.75,81.18,14795,1.479,97.58,0,0,5.36,6,173804.52,75.34,92.9,0
2015-01,SUP-0050,IN,84.46,81.61,84.6,72.59,80.82,35.8,81.61,81.61,82.47,77.51,22898,2.29,86.55,1,0,3.68,39,1242527.36,79.78,86.85,0
2015-01,SUP-0051,IN,100,83.95,67.17,78.73,82.46,10.1,83.95,83.95,100,79.01,9429,0.943,96.35,0,0,6.43,23,903514.1,82.29,99.54,0
2015-01,SUP-0052,IN,93.17,73.18,73.65,77.18,79.3,15.0,73.18,73.18,91.28,74.23,12309,1.231,89.96,0,0,11.74,25,890068.95,81.5,91.01,0
2015-01,SUP-0053,IN,90.79,94.57,78.13,67.61,82.77,23.6,94.57,94.57,92.59,92.2,7773,0.777,89.78,0,0,2.36,22,458650.5,81.59,88.56,0
2015-01,SUP-0054,IN,85.28,83.91,75.8,73.44,79.61,7.8,83.91,83.91,84.19,83.23,12930,1.293,96.15,0,0,11.1,69,1224918.94,81.76,80.15,0
2015-01,SUP-0055,IN,89.85,75.36,85.59,80.2,82.75,5.0,75.36,75.36,92.24,74.97,17842,1.784,96.4,0,0,12.29,73,427137.4,80.38,84.75,0
2015-01,SUP-0056,IN,94.29,72.97,62.71,64.86,73.71,14.6,72.97,72.97,94.25,76.35,8727,0.873,93.16,1,0,10.44,19,1489346.45,74.7,86.4,1
2015-01,SUP-0057,IN,98.61,81.74,77.06,79.79,84.3,50.7,81.74,81.74,100,79.59,4010,0.401,75.58,0,1,7.91,64,1267759.05,83.83,97.11,0
2015-01,SUP-0058,IN,87.36,86.06,80.28,75.64,82.34,18.2,86.06,86.06,86.49,83.58,13039,1.304,93.1,0,1,7.97,40,1478152.4,83.38,81.65,0
2015-01,SUP-0059,IN,84.12,85.99,74.51,74.95,79.89,12.8,85.99,85.99,84.65,85.19,20621,2.062,94.49,1,0,2.92,44,405654.77,79.08,85.23,0
2015-01,SUP-0060,IN,100,73.98,62.87,70.28,76.78,27.4,73.98,73.98,95.94,70.98,9766,0.977,87.9,1,0,8.64,57,679170.32,70.87,99.79,0
2015-01,SUP-0061,IN,98.5,77.26,76.72,79.58,83.01,39.2,77.26,77.26,93.76,75.77,5246,0.525,82.47,1,0,13.17,19,1666536.2,83.77,99.8,0
2015-01,SUP-0062,IN,95.68,98.12,68.73,58.51,80.26,45.3,98.12,98.12,96.3,98.32,8998,0.9,74.52,2,0,7.64,18,1459196.35,77.03,100,0
2015-01,SUP-0063,IN,93.45,77.04,58.51,71.47,75.12,2.2,77.04,77.04,94.61,77.72,15254,1.525,96.32,0,0,9.33,63,940527.78,73.74,91.42,0
2015-01,SUP-0064,IN,99.63,93.96,74.03,83.58,87.8,13.3,93.96,93.96,97.38,92.39,9422,0.942,93.88,0,0,5.86,14,632086.81,86.63,100,0
2015-01,SUP-0065,IN,80.57,79.48,82.84,56.67,74.89,40.2,79.48,79.48,79.29,82.99,24578,2.458,77.05,0,0,13.12,70,1882592.66,74.54,69.73,0
2015-01,SUP-0066,US,95.0,79.93,75.93,86.81,84.42,21.1,79.93,79.93,94.36,83.53,4570,0.457,88.79,0,0,1.26,78,361606.68,83.87,99.94,1
2015-01,SUP-0067,US,89.74,84.64,79.72,80.82,83.73,21.1,84.64,84.64,88.02,87.91,18285,1.829,90.73,1,0,5.89,51,297477.38,83.0,88.59,0
2015-01,SUP-0068,US,94.71,82.19,82.41,72.77,83.02,48.0,82.19,82.19,96.23,82.3,8281,0.828,76.15,1,0,1.01,14,426358.31,82.78,95.12,1
2015-01,SUP-0069,US,73.83,92.27,79.87,64.01,77.5,30.5,92.27,92.27,72.21,89.13,28362,2.836,81.81,0,0,10.2,46,1898841.26,75.87,75.2,2
2015-01,SUP-0070,US,81.32,74.56,78.61,80.25,78.69,7.1,74.56,74.56,87.47,74.32,21913,2.191,95.03,0,0,10.6,73,1671705.31,76.79,89.4,0
2015-01,SUP-0071,US,89.02,84.88,77.31,69.66,80.22,36.2,84.88,84.88,86.88,86.9,10101,1.01,83.56,0,0,10.8,63,1526285.56,73.49,86.95,0
2015-01,SUP-0072,US,90.41,90.74,79.81,64.32,81.32,6.4,90.74,90.74,88.29,89.13,16497,1.65,95.25,1,0,9.25,71,642316.52,84.3,87.14,0
2015-01,SUP-0073,US,82.6,85.2,89.97,75.75,83.38,3.8,85.2,85.2,81.63,86.33,19761,1.976,96.63,0,0,1.1,76,977265.45,86.97,87.78,0
2015-01,SUP-0074,US,87.47,94.11,80.48,70.69,83.19,23.7,94.11,94.11,89.35,93.8,14571,1.457,88.78,0,0,12.25,25,1274099.9,85.64,90.26,0
2015-01,SUP-0075,US,100,91.31,69.1,83.41,85.96,16.8,91.31,91.31,97.04,91.87,4684,0.468,91.47,0,0,4.63,30,411724.95,83.78,93.55,0
2015-01,SUP-0076,US,95.76,89.33,84.01,88.09,89.3,3.6,89.33,89.33,95.88,92.21,7670,0.767,96.05,2,0,4.73,41,997829.62,88.18,87.68,0
2015-01,SUP-0077,US,93.37,83.38,66.63,67.89,77.82,34.4,83.38,83.38,92.09,84.67,8717,0.872,79.39,1,1,13.04,69,1646540.17,73.68,94.07,1
2015-01,SUP-0078,US,82.93,69.36,93.07,68.35,78.43,37.9,69.36,69.36,83.21,68.64,20138,2.014,81.95,0,0,8.74,12,422240.49,77.47,85.66,0
2015-01,SUP-0079,US,82.55,73.59,84.55,67.49,77.05,61.4,73.59,73.59,84.86,73.95,16246,1.625,69.31,0,0,2.3,6,457507.98,74.95,80.72,0
2015-01,SUP-0080,US,86.59,97.47,78.08,88.85,87.75,42.3,97.47,97.47,86.75,98.24,12111,1.211,78.53,0,0,1.65,53,1545540.29,83.03,86.58,1
2015-01,SUP-0081,US,90.42,91.41,68.5,67.82,79.54,40.6,91.41,91.41,94.19,90.39,9905,0.99,80.21,1,0,8.73,33,1533737.72,75.68,94.04,0
2015-01,SUP-0082,US,97.36,99.27,66.03,66.9,82.39,9.0,99.27,99.27,98.01,100,12015,1.201,98.12,1,0,11.63,11,1926645.22,83.05,100,0
2015-01,SUP-0083,US,88.03,87.06,83.35,68.33,81.69,44.3,87.06,87.06,86.07,85.23,16737,1.674,76.34,3,0,2.23,51,1808277.94,78.8,85.91,0
2015-01,SUP-0084,US,96.24,76.84,75.01,58.97,76.76,49.3,76.84,76.84,94.19,77.31,4749,0.475,74.82,0,0,1.35,42,167245.17,77.39,91.24,0
2015-01,SUP-0085,US,83.39,77.42,78.32,71.6,77.68,30.8,77.42,77.42,86.17,74.5,16969,1.697,86.18,0,0,2.86,30,1906788.84,78.93,82.07,1
2015-01,SUP-0086,US,87.98,94.59,79.72,50.01,78.07,46.4,94.59,94.59,88.47,94.98,19240,1.924,75.2,0,1,1.66,46,190170.73,84.35,94.39,0
2015-01,SUP-0087,US,93.97,90.69,70.49,73.56,82.18,33.7,90.69,90.69,99.64,90.51,7081,0.708,85.18,0,0,11.43,47,1768407.33,80.93,91.88,0
2015-01,SUP-0088,US,92.64,90.52,82.53,71.1,84.2,16.2,90.52,90.52,92.83,92.86,11237,1.124,93.49,1,0,5.25,13,918103.93,79.55,85.74,0
2015-01,SUP-0089,US,100,88.27,62.92,73.91,81.28,21.4,88.27,88.27,100,85.47,1875,0.188,86.4,0,0,9.35,40,1411477.73,79.12,100,0
2015-01,SUP-0090,US,83.02,71.65,66.62,81.25,75.63,7.6,71.65,71.65,82.78,71.83,17273,1.727,96.24,0,0,8.27,79,54716.92,83.28,83.18,0
2015-01,SUP-0091,DE,82.01,86.42,82.51,68.25,79.79,33.2,86.42,86.42,82.1,90.16,21211,2.121,81.82,0,1,3.2,44,643078.87,77.66,81.37,1
2015-01,SUP-0092,DE,82.97,71.95,83.87,76.49,78.82,59.5,71.95,71.95,82.63,74.73,22126,2.213,72.97,3,0,3.28,67,1750425.17,78.62,76.91,0
2015-01,SUP-0093,DE,96.25,75.82,80.59,71.46,81.03,61.1,75.82,75.82,97.17,75.11,8213,0.821,68.65,0,0,1.82,27,337969.76,81.21,96.74,0
2015-01,SUP-0094,DE,80.67,92.61,77.75,83.98,83.75,14.2,92.61,92.61,81.31,92.58,23158,2.316,87.24,0,0,12.96,40,1777039.23,82.29,87.17,0
2015-01,SUP-0095,DE,87.62,80.61,78.82,91.21,84.56,8.1,80.61,80.61,84.27,82.93,12043,1.204,95.42,0,0,3.99,58,618625.41,80.13,86.29,0
2015-01,SUP-0096,DE,82.11,83.29,80.3,84.6,82.58,13.6,83.29,83.29,82.4,82.1,18559,1.856,95.16,1,0,12.55,65,1953976.35,85.07,83.79,1
2015-01,SUP-0097,DE,74.95,77.4,76.65,98.95,81.99,42.6,77.4,77.4,73.74,75.13,26654,2.665,78.93,0,1,4.48,34,698204.77,86.77,80.61,0
2015-01,SUP-0098,DE,83.53,83.7,73.18,63.0,75.86,36.4,83.7,83.7,87.16,87.0,14887,1.489,81.44,0,0,13.62,49,545154.4,80.49,86.35,0
2015-01,SUP-0099,DE,76.36,91.57,72.77,90.61,82.83,16.0,91.57,91.57,76.14,96.15,22415,2.241,89.46,0,0,10.12,74,1538056.07,79.47,81.28,0
2015-01,SUP-0100,DE,100,88.42,67.02,70.04,81.37,33.4,88.42,88.42,99.25,88.91,1102,0.11,83.16,2,0,9.31,8,199206.67,83.07,100,0
2015-01,SUP-0101,DE,89.73,73.82,78.43,100,85.5,27.5,73.82,73.82,87.49,75.95,14738,1.474,89.28,0,0,10.22,46,143879.12,84.15,90.51,0
2015-01,SUP-0102,DE,92.59,84.03,87.49,63.49,81.9,38.8,84.03,84.03,91.95,83.37,16012,1.601,81.39,2,0,12.32,36,39716.15,77.19,99.36,1
2015-01,SUP-0103,DE,87.14,90.73,78.12,70.69,81.67,7.4,90.73,90.73,86.33,90.96,13424,1.342,96.27,0,0,4.06,29,1105369.0,82.29,83.18,0
2015-01,SUP-0104,DE,85.57,77.19,64.64,79.7,76.77,43.3,77.19,77.19,82.35,79.09,15660,1.566,79.98,0,0,3.42,29,754304.7,74.72,77.3,0
2015-01,SUP-0105,DE,94.86,91.59,66.84,77.12,82.6,18.1,91.59,91.59,94.89,92.3,13685,1.368,93.45,0,0,6.26,54,1998708.12,82.69,87.94,0
2015-01,SUP-0106,DE,87.85,82.02,73.03,82.75,81.41,25.4,82.02,82.02,88.79,84.21,16489,1.649,88.18,2,0,11.16,66,440399.96,81.97,88.59,0
2015-01,SUP-0107,DE,98.15,90.63,76.46,69.17,83.6,30.7,90.63,90.63,97.8,91.38,9350,0.935,87.1,1,0,12.74,33,391130.71,80.2,93.1,0
2015-01,SUP-0108,DE,96.21,84.7,83.69,85.19,87.45,32.6,84.7,84.7,93.52,88.69,4227,0.423,80.47,0,0,4.78,66,100645.27,83.32,96.93,0
2015-01,SUP-0109,JP,95.55,89.28,85.7,87.75,89.57,7.9,89.28,89.28,93.71,90.27,11764,1.176,97.5,0,0,11.17,33,1720583.48,93.78,93.14,0
2015-01,SUP-0110,JP,97.11,86.42,88.36,78.46,87.59,,86.42,86.42,96.83,83.69,10118,1.012,90.82,0,0,13.1,10,1325377.65,89.96,100,0
2015-01,SUP-0111,JP,100,95.74,65.28,69.91,82.73,8.6,95.74,95.74,97.15,96.37,7946,0.795,96.59,0,0,2.3,43,1891768.33,83.24,93.77,0
2015-01,SUP-0112,JP,98.78,100,83.11,70.53,88.11,3.7,100,100,97.37,100,9482,0.948,95.3,2,0,9.94,46,1451912.85,91.24,100,0
2015-01,SUP-0113,JP,92.57,80.7,88.78,85.41,86.87,5.3,80.7,80.7,98.04,80.61,15725,1.573,95.51,0,0,10.81,24,1772127.39,83.36,100,0
2015-01,SUP-0114,JP,100,80.18,73.45,77.84,82.87,46.3,80.18,80.18,98.32,80.36,4755,0.476,76.36,0,2,8.03,29,694243.04,82.28,96.57,0
2015-01,SUP-0115,JP,93.75,89.63,77.66,97.74,89.69,42.4,89.63,89.63,97.81,88.84,12407,1.241,80.4,3,0,10.81,57,503820.35,90.95,92.67,0
2015-01,SUP-0116,JP,86.75,90.15,72.96,66.27,79.03,29.0,90.15,90.15,87.55,93.4,13873,1.387,89.12,2,1,2.69,77,1657718.95,78.13,88.01,0
2015-01,SUP-0117,JP,95.39,97.81,55.87,66.56,78.91,18.7,97.81,97.81,94.47,98.11,12966,1.297,91.87,1,0,7.98,36,1677641.13,81.92,90.86,1
2015-01,SUP-0118,JP,87.27,80.67,83.35,80.62,82.98,37.4,80.67,80.67,84.1,76.27,20443,2.044,82.91,0,1,6.09,59,1872498.59,84.09,95.81,0
2015-01,SUP-0119,JP,92.26,87.6,82.65,71.03,83.38,10.0,87.6,87.6,93.9,90.67,11955,1.196,93.48,0,0,7.85,37,246506.26,81.24,90.04,0
2015-01,SUP-0120,JP,89.88,90.17,79.24,70.67,82.49,31.9,90.17,90.17,89.71,90.71,13232,1.323,82.09,0,0,13.88,11,272839.99,81.41,88.58,0
2015-01,SUP-0121,JP,94.86,98.35,72.8,64.73,82.69,14.4,98.35,98.35,94.85,100,8034,0.803,92.14,0,0,12.25,32,1524071.45,79.73,96.18,1
2015-01,SUP-0122,JP,93.13,92.09,67.46,77.82,82.63,19.2,92.09,92.09,93.92,95.0,6099,0.61,89.1,0,0,11.76,21,565559.05,79.78,100,0
2015-01,SUP-0123,JP,94.06,78.16,66.14,68.97,76.83,36.3,78.16,78.16,94.48,78.52,12511,1.251,80.1,0,0,13.86,29,923937.25,77.31,84.32,0
2015-01,SUP-0124,VN,82.86,81.75,76.17,57.11,74.47,15.7,81.75,81.75,79.87,83.78,14907,1.491,91.34,1,0,11.79,72,617234.18,75.66,85.04,0
2015-01,SUP-0125,VN,81.57,85.97,82.69,87.95,84.55,47.9,85.97,85.97,79.26,88.13,23703,2.37,76.68,1,1,9.22,64,810300.9,79.0,79.65,0
2015-01,SUP-0126,VN,89.38,88.88,70.03,70.58,79.71,19.9,88.88,88.88,92.65,88.36,15355,1.536,93.43,0,1,9.88,6,1826074.49,76.22,90.42,0
2015-01,SUP-0127,VN,81.04,77.44,78.87,79.5,79.21,5.4,77.44,77.44,77.49,79.38,21312,2.131,95.96,0,0,11.63,63,1606057.4,78.66,72.01,0
2015-01,SUP-0128,VN,91.59,75.83,79.49,73.67,80.15,13.5,75.83,75.83,91.29,76.09,12629,1.263,93.05,0,0,8.71,41,316542.29,86.22,88.5,0
2015-01,SUP-0129,VN,82.26,84.02,77.58,57.29,75.29,29.1,84.02,84.02,82.49,86.53,18719,1.872,85.3,0,0,10.01,14,1870194.04,74.64,86.86,0
2015-01,SUP-0130,VN,88.57,100,74.14,94.25,89.24,37.9,100,100,85.02,100,13383,1.338,81.61,0,1,10.59,31,755537.31,88.43,89.26,0
2015-01,SUP-0131,VN,93.92,87.67,76.29,79.94,84.45,39.0,87.67,87.67,94.34,84.53,8981,0.898,83.29,1,0,9.74,31,848140.88,85.98,89.16,0
2015-01,SUP-0132,VN,88.38,95.87,82.16,71.65,84.52,37.1,95.87,95.87,92.13,97.61,14651,1.465,80.5,0,0,11.59,65,1018616.08,86.57,89.7,0
2015-01,SUP-0133,VN,86.99,97.1,80.69,74.13,84.73,36.4,97.1,97.1,83.38,98.15,13502,1.35,83.07,0,0,6.88,76,1197185.95,87.92,81.73,0
2015-01,SUP-0134,VN,86.08,88.12,65.17,59.87,74.81,18.9,88.12,88.12,88.1,88.61,18905,1.89,90.53,0,0,8.15,17,114637.45,72.59,91.41,0
2015-01,SUP-0135,VN,89.74,74.87,80.2,81.85,81.67,26.5,74.87,74.87,88.34,74.85,16069,1.607,84.85,0,0,6.58,68,102601.08,77.8,93.14,0
2015-01,SUP-0136,VN,83.8,87.8,65.31,71.36,77.07,27.4,87.8,87.8,84.4,87.83,14452,1.445,82.17,0,0,8.34,73,1404020.4,77.55,90.27,0
2015-01,SUP-0137,VN,91.75,81.88,84.55,57.97,79.04,17.2,81.88,81.88,93.51,79.58,6951,0.695,92.13,0,0,10.17,57,704306.34,74.47,89.51,1
2015-01,SUP-0138,VN,98.9,76.9,70.37,56.84,75.75,42.2,76.9,76.9,97.12,73.49,6743,0.674,81.17,0,0,11.22,25,1930314.98,75.84,100,1
2015-01,SUP-0139,KR,83.82,86.37,78.82,58.46,76.87,18.1,86.37,86.37,85.13,86.87,18538,1.854,90.63,0,0,7.49,53,1570341.08,78.83,87.17,0
2015-01,SUP-0140,KR,91.12,86.67,72.53,69.17,79.87,22.4,86.67,86.67,88.43,91.09,16909,1.691,87.87,0,1,2.79,67,279636.43,81.18,88.3,0
2015-01,SUP-0141,KR,91.42,93.23,75.67,53.48,78.45,39.0,93.23,93.23,90.0,90.15,10766,1.077,79.73,0,0,1.92,11,1220126.65,82.13,90.31,2
2015-01,SUP-0142,KR,96.3,79.8,72.47,78.58,81.78,3.2,79.8,79.8,94.45,78.18,10837,1.084,96.95,0,0,7.1,27,1643733.33,81.17,98.22,1
2015-01,SUP-0143,KR,89.46,100,84.66,84.6,89.68,32.9,100,100,90.1,100,9003,0.9,82.12,1,1,2.24,52,1642051.17,90.67,89.31,0
2015-01,SUP-0144,KR,96.21,81.3,59.45,95.18,83.03,30.2,81.3,81.3,95.09,81.19,8376,0.838,87.25,0,0,13.68,29,34765.41,83.2,94.67,0
2015-01,SUP-0145,KR,97.99,100,88.78,82.19,92.24,5.4,100,100,99.28,100,10917,1.092,97.94,2,0,1.03,21,1057387.37,90.47,99.5,0
2015-01,SUP-0146,KR,89.46,85.65,70.03,87.93,83.27,46.2,85.65,85.65,87.84,84.03,16543,1.654,78.93,0,0,9.95,8,250883.44,79.04,91.58,0
2015-01,SUP-0147,KR,90.16,79.31,85.59,84.33,84.85,30.0,79.31,79.31,90.08,76.78,15809,1.581,85.51,0,0,5.9,21,1659260.09,84.94,80.49,0
2015-01,SUP-0148,KR,100,92.45,91.25,68.0,87.93,39.4,92.45,92.45,99.64,93.17,6109,0.611,72.1,2,1,9.23,78,1973001.76,93.14,98.37,0
2015-01,SUP-0149,KR,93.59,84.45,67.12,87.49,83.16,10.1,84.45,84.45,94.04,81.87,14683,1.468,94.78,0,0,5.43,30,143935.92,79.35,95.93,0
2015-01,SUP-0150,KR,85.13,75.41,95.91,79.01,83.86,25.6,75.41,75.41,87.79,74.01,20168,2.017,88.11,0,0,2.9,39,1958871.56,84.38,83.68,1
2015-01,SUP-0151,BR,81.28,90.13,76.01,67.47,78.72,25.5,90.13,90.13,82.17,91.44,18494,1.849,87.0,0,0,8.81,49,502479.07,78.1,82.44,0
