order_id,date,order_date,customer_id,supplier_id,commodity_code,commodity,country_code,country,quantity,unit_price_usd,total_usd,currency_code,exchange_rate,expected_delivery_date,actual_delivery_date,lead_time_days,delay_days,status,payment_status,quality_inspection_result,returned_quantity,return_reason,shipment_mode,incoterms,port_of_origin,port_of_destination,priority_level,discount_percent,tax_amount,insurance_amount,tracking_number,carrier_name,notes,payment_terms,is_delayed,is_anomaly
PO-100010,2015-05-01,2015-05-01,CUS-0229,SUP-0105,ALM,Aluminum,DE,Germany,50673,2063.539,104565709.96,EUR,0.911546,2015-07-08,2015-08-15,68,38,delayed,Paid,passed,0,,Sea,FCA,DE-PORT-4,DEST-03,critical,0.72,11107572.49,957738.93,TRK-10000010,DB Schenker,force majeure review,Net 60,true,true
PO-100011,2015-11-20,2015-11-20,CUS-0207,SUP-0152,COP,Copper,BR,Brazil,108276,5039.1038,545614001.75,BRL,4.91994,2016-03-23,2016-05-06,124,44,delayed,Paid,passed,0,,Sea,DDP,BR-PORT-1,DEST-03,critical,4.68,71919281.9,5594906.4,TRK-10000011,Maersk,force majeure review,Net 45,true,false
PO-100012,2015-02-27,2015-02-27,CUS-0245,SUP-0193,CEM,Cement,ZA,South Africa,106631,98.9882,10555209.26,ZAR,18.65978,2015-06-02,2015-07-21,95,49,delayed,Paid,failed,0,,Sea,DAP,ZA-PORT-1,DEST-01,critical,0.7,435704.22,148954.94,TRK-10000012,Kuehne+Nagel,force majeure review,Net 30,true,false
PO-100013,2015-07-07,2015-07-07,CUS-0228,SUP-0061,SLC,Silicon,IN,India,112142,1901.78,213269413.58,INR,81.669449,2015-09-25,2015-11-11,80,47,delayed,Paid,passed,0,,Sea,FCA,IN-PORT-3,DEST-06,critical,8.23,31034945.38,1038397.96,TRK-10000013,FedEx,force majeure review,Net 90,true,true
PO-100014,2015-12-28,2015-12-28,CUS-0013,SUP-0001,ALM,Aluminum,CN,China,71910,1701.0622,122323383.89,CNY,6.944809,2016-03-25,2016-04-30,88,36,delayed,Paid,passed,0,,Road,DDP,CN-PORT-4,DEST-07,critical,3.58,7520035.85,618693.75,TRK-10000014,FedEx,force majeure review,Net 30,true,false
PO-100015,2015-07-01,2015-07-01,CUS-0269,SUP-0030,LIT,Lithium,CN,China,104748,11732.2256,1228927168.14,CNY,6.998582,2015-08-11,2015-08-13,41,2,delivered,Paid,passed,0,,Sea,FOB,CN-PORT-1,DEST-09,critical,7.03,78074288.54,11664679.32,TRK-10000015,Kuehne+Nagel,force majeure review,Net 60,false,false
PO-100016,2015-05-31,2015-05-31,CUS-0248,SUP-0061,STL,Steel,IN,India,103434,379.4685,39249948.94,INR,82.478129,2015-07-05,2015-07-06,35,1,delivered,Paid,failed,0,,Air,EXW,IN-PORT-3,DEST-12,critical,8.99,4180359.14,541426.71,TRK-10000016,Kuehne+Nagel,force majeure review,Net 90,false,false
PO-100017,2015-11-27,2015-11-27,CUS-0010,SUP-0130,COP,Copper,VN,Vietnam,106272,5325.6045,565962638.51,VND,24075.976485,2016-01-27,2016-01-27,61,0,delivered,Paid,passed,0,,Sea,DDP,VN-PORT-1,DEST-10,critical,11.17,74826487.99,3438185.56,TRK-10000017,DHL,force majeure review,Net 90,false,false
PO-100018,2015-07-24,2015-07-24,CUS-0278,SUP-0069,STL,Steel,US,United States,101244,543.3266,55008553.36,USD,0.989505,2015-08-23,2015-08-21,30,0,delivered,Paid,passed,0,,Sea,FOB,US-PORT-2,DEST-02,critical,4.6,2748994.87,433500.52,TRK-10000018,FedEx,force majeure review,Net 45,false,false
PO-100019,2015-03-17,2015-03-17,CUS-0115,SUP-0020,GLS,Glass,CN,China,91272,593.1351,54136627.69,CNY,7.018979,2015-04-18,2015-04-20,32,2,delivered,Paid,passed,0,,Sea,EXW,CN-PORT-2,DEST-04,critical,3.3,1743739.4,1065467.64,TRK-10000019,Maersk,force majeure review,Net 30,false,false
PO-100020,2015-05-25,2015-05-25,CUS-0012,SUP-0116,PLA,Plastic,JP,Japan,85589,1215.7059,104051051.05,JPY,147.557126,2015-07-07,2015-07-09,43,2,delivered,Pending,passed,0,,Sea,EXW,JP-PORT-2,DEST-10,critical,10.61,2686156.81,1207376.85,TRK-10000020,Maersk,force majeure review,Net 60,false,false
PO-100021,2015-03-01,2015-03-01,CUS-0044,SUP-0131,PLA,Plastic,VN,Vietnam,82680,914.8889,75643016.87,VND,24402.700464,2015-04-09,,39,0,cancelled,Paid,passed,0,,Sea,DAP,VN-PORT-3,DEST-07,critical,5.72,5099717.73,1498484.35,,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100022,2015-09-20,2015-09-20,CUS-0057,SUP-0159,LIT,Lithium,BR,Brazil,56786,11684.861,663536517.12,BRL,4.870607,2015-11-24,2015-11-21,65,0,delivered,Paid,passed,0,,Sea,FOB,BR-PORT-3,DEST-04,critical,0.54,106415052.5,3970495.25,TRK-10000022,DHL,force majeure review,Net 45,false,false
PO-100023,2015-12-12,2015-12-12,CUS-0296,SUP-0014,COP,Copper,CN,China,65326,4963.9355,324274050.44,CNY,6.980463,2016-01-04,2016-01-02,23,0,delivered,Paid,passed,0,,Sea,FCA,CN-PORT-3,DEST-12,critical,8.61,50688920.6,2638111.72,TRK-10000023,DHL,force majeure review,Net 45,false,false
PO-100024,2015-09-11,2015-09-11,CUS-0230,SUP-0204,TIM,Timber,CA,Canada,91466,378.5955,34628613.4,CAD,1.353557,2015-11-09,2015-11-09,59,0,delivered,Paid,passed,0,,Sea,EXW,CA-PORT-1,DEST-07,critical,6.86,3612071.74,605794.27,TRK-10000024,Maersk,force majeure review,Net 45,false,false
PO-100025,2015-02-23,2015-02-23,CUS-0023,SUP-0121,NIC,Nickel,JP,Japan,99604,14251.6345,1419519806.31,JPY,148.948354,2015-03-17,2015-03-19,22,2,delivered,Paid,passed,0,,Sea,EXW,JP-PORT-4,DEST-08,normal,1.43,79066629.33,20296878.48,TRK-10000025,Kuehne+Nagel,force majeure review,Net 30,false,false
PO-100026,2015-10-09,2015-10-09,CUS-0239,SUP-0047,PLA,Plastic,IN,India,95502,890.8602,85078934.33,INR,82.134813,2015-11-30,2015-12-02,52,2,delivered,Paid,passed,0,,Sea,CIF,IN-PORT-4,DEST-07,high,10.21,5568690.44,359038.39,TRK-10000026,DB Schenker,force majeure review,Net 90,false,false
PO-100027,2015-07-30,2015-07-30,CUS-0123,SUP-0173,LIT,Lithium,TH,Thailand,118176,11935.501,1410489768.02,THB,34.700132,2015-09-29,2015-09-29,61,0,delivered,Paid,passed,0,,Rail,FOB,TH-PORT-1,DEST-01,low,4.19,153942116.85,6363196.16,TRK-10000027,Kuehne+Nagel,force majeure review,Net 60,false,false
PO-100028,2015-05-16,2015-05-16,CUS-0173,SUP-0167,SLC,Silicon,MX,Mexico,119035,1899.6565,226125616.33,MXN,17.246449,2015-06-15,2015-06-18,30,3,delivered,Paid,passed,0,,Rail,FCA,MX-PORT-4,DEST-04,low,6.78,11108964.64,2857487.09,TRK-10000028,Kuehne+Nagel,force majeure review,Net 60,false,false
PO-100029,2015-05-09,2015-05-09,CUS-0250,SUP-0123,SLC,Silicon,JP,Japan,60798,2377.1959,144528756.15,JPY,149.522302,2015-06-24,2015-06-23,46,0,delivered,Paid,passed,0,,Air,DDP,JP-PORT-4,DEST-02,normal,4.1,1568266.95,852804.3,TRK-10000029,FedEx,force majeure review,Net 30,false,false
PO-100030,2015-09-01,2015-09-01,CUS-0071,SUP-0186,CEM,Cement,PL,Poland,104073,111.6528,11620045.04,PLN,3.964043,2015-09-14,2015-09-15,13,1,delivered,Paid,passed,0,,Sea,FCA,PL-PORT-3,DEST-08,normal,7.87,406164.86,187773.53,TRK-10000030,Maersk,force majeure review,Net 30,false,false
PO-100031,2015-07-19,2015-07-19,CUS-0011,SUP-0081,COP,Copper,US,United States,76522,6176.6109,472646618.07,USD,0.988791,2015-09-18,2015-09-20,61,2,delivered,Paid,passed,0,,Air,FOB,US-PORT-1,DEST-02,normal,3.05,40960464.96,6686696.52,TRK-10000031,Maersk,force majeure review,Net 45,false,false
PO-100032,2015-01-15,2015-01-15,CUS-0134,SUP-0135,COP,Copper,VN,Vietnam,60343,4821.4789,290942499.88,VND,24459.66653,2015-02-20,2015-02-21,36,1,delivered,Paid,passed,0,,Sea,CIF,VN-PORT-3,DEST-05,low,2.28,24649759.0,2580575.81,TRK-10000032,FedEx,force majeure review,Net 45,false,false
PO-100033,2015-06-04,2015-06-04,CUS-0095,SUP-0074,COP,Copper,US,United States,104288,7015.8659,731670621.87,USD,0.985799,2015-06-30,2015-06-27,26,0,delivered,Paid,passed,0,,Road,CIF,US-PORT-4,DEST-10,normal,4.32,71644801.52,5468311.49,TRK-10000033,FedEx,force majeure review,Net 90,false,false
PO-100034,2015-12-21,2015-12-21,CUS-0154,SUP-0112,SLC,Silicon,JP,Japan,97325,2770.2272,269612360.12,JPY,146.336987,2016-01-18,2016-01-20,28,2,delivered,Paid,passed,0,,Sea,DAP,JP-PORT-4,DEST-04,low,11.36,6962441.42,4535392.32,TRK-10000034,DHL,force majeure review,Net 60,false,false
PO-100035,2015-05-07,2015-05-07,CUS-0282,SUP-0039,SEM,Semiconductors,IN,India,69725,4.1696,290728.57,INR,82.924415,2015-07-08,2015-07-10,62,2,delivered,Refunded,passed,0,,Sea,DAP,IN-PORT-4,DEST-08,low,10.79,35123.26,5404.45,TRK-10000035,DHL,force majeure review,Net 60,false,false
PO-100036,2015-08-31,2015-08-31,CUS-0085,SUP-0164,COP,Copper,MX,Mexico,71559,5224.446,373856132.77,MXN,16.765995,2015-09-27,2015-09-25,27,0,delivered,Paid,passed,0,,Rail,DDP,MX-PORT-1,DEST-11,normal,5.54,13338544.25,4877148.43,TRK-10000036,DB Schenker,force majeure review,Net 90,false,false
PO-100037,2015-10-30,2015-10-30,CUS-0312,SUP-0013,ALM,Aluminum,CN,China,111219,1585.3122,176316834.72,CNY,7.026032,2015-11-30,2015-12-01,31,1,delivered,Overdue,passed,0,,Road,EXW,CN-PORT-1,DEST-06,low,11.55,16818572.14,1522884.18,TRK-10000037,FedEx,force majeure review,Net 60,false,false
PO-100038,2015-01-11,2015-01-11,CUS-0146,SUP-0180,PLA,Plastic,PL,Poland,65136,1012.2969,65936967.99,PLN,4.011546,2015-01-27,2015-01-27,16,0,delivered,Paid,passed,0,,Sea,DAP,PL-PORT-1,DEST-12,normal,8.35,3790031.9,727965.04,TRK-10000038,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100039,2015-08-20,2015-08-20,CUS-0266,SUP-0019,RBR,Rubber,CN,China,116077,1142.6029,132629914.82,CNY,6.882741,2015-10-03,,44,0,cancelled,Paid,passed,0,,Sea,CIF,CN-PORT-3,DEST-09,normal,10.75,11493570.8,1223051.31,,FedEx,force majeure review,Net 60,false,false
PO-100040,2015-08-28,2015-08-28,CUS-0295,SUP-0071,ALM,Aluminum,US,United States,54012,2101.995,113532955.65,USD,0.982382,2015-09-09,2015-09-09,12,0,returned,Pending,failed,10322,quality defect,Sea,FOB,US-PORT-3,DEST-12,normal,7.17,3859329.24,1712369.19,TRK-10000040,Kuehne+Nagel,force majeure review,Net 60,false,false
PO-100041,2015-03-21,2015-03-21,CUS-0222,SUP-0191,STL,Steel,TR,Turkey,61187,399.6331,24452353.53,TRY,26.802143,2015-05-05,2015-05-09,45,4,delayed,Paid,passed,0,,Sea,FOB,TR-PORT-2,DEST-12,normal,4.84,1522034.79,79237.21,TRK-10000041,DHL,force majeure review,Net 90,true,false
PO-100042,2015-04-01,2015-04-01,CUS-0097,SUP-0043,RBR,Rubber,IN,India,85634,1203.1317,103028978.62,INR,83.898807,2015-04-16,2015-04-19,15,3,delivered,Paid,passed,0,,Sea,FOB,IN-PORT-4,DEST-01,normal,9.46,15202253.33,1563782.19,TRK-10000042,Maersk,force majeure review,Net 60,false,false
PO-100043,2015-06-14,2015-06-14,CUS-0199,SUP-0189,PLA,Plastic,TR,Turkey,95704,923.6704,88398950.91,TRY,26.454287,2015-07-30,2015-07-30,46,0,delivered,Paid,passed,0,,Road,DAP,TR-PORT-3,DEST-05,normal,3.57,8649851.81,637682.46,TRK-10000043,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100044,2015-12-17,2015-12-17,CUS-0171,SUP-0180,PLA,Plastic,PL,Poland,87402,969.3895,84726579.82,PLN,3.853123,2016-01-12,2016-01-10,26,0,delivered,Paid,passed,0,,Sea,FCA,PL-PORT-3,DEST-03,low,10.84,5030964.02,202813.74,TRK-10000044,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100045,2015-02-26,2015-02-26,CUS-0199,SUP-0111,LIT,Lithium,JP,Japan,58499,15216.7445,890164337.02,JPY,150.516415,2015-03-15,2015-03-16,17,1,delivered,Paid,passed,0,,Air,FOB,JP-PORT-4,DEST-02,normal,7.8,134343166.57,8032288.17,TRK-10000045,DHL,force majeure review,Net 30,false,false
PO-100046,2015-01-09,2015-01-09,CUS-0157,SUP-0158,CTN,Cotton,BR,Brazil,77816,1307.5589,101749000.99,BRL,5.018002,2015-01-23,2015-01-21,14,0,delivered,Paid,passed,0,,Sea,EXW,BR-PORT-4,DEST-04,low,2.34,15923835.31,1508411.07,TRK-10000046,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100047,2015-10-11,2015-10-11,CUS-0215,SUP-0023,ALM,Aluminum,CN,China,57753,1622.4214,93699702.09,CNY,6.900857,2015-11-14,2015-11-14,34,0,delivered,Paid,passed,0,,Rail,EXW,CN-PORT-2,DEST-04,normal,3.99,13044161.88,1607662.85,TRK-10000047,DB Schenker,force majeure review,Net 45,false,false
PO-100048,2015-04-04,2015-04-04,CUS-0120,SUP-0139,COP,Copper,KR,South Korea,81364,5771.1134,469560868.26,KRW,1334.88502,2015-06-01,2015-06-03,58,2,delivered,Paid,passed,0,,Sea,CIF,KR-PORT-4,DEST-05,normal,7.25,58027953.82,3320363.97,TRK-10000048,DB Schenker,force majeure review,Net 90,false,false
PO-100049,2015-08-13,2015-08-13,CUS-0055,SUP-0192,CTN,Cotton,TR,Turkey,102229,1363.201,139358674.67,TRY,26.945237,2015-10-12,2015-10-11,60,0,delivered,Paid,passed,0,,Road,DAP,TR-PORT-2,DEST-06,low,10.1,22803527.12,1640840.75,TRK-10000049,FedEx,force majeure review,Net 45,false,false
PO-100050,2015-09-11,2015-09-11,CUS-0238,SUP-0073,COP,Copper,US,United States,4088,7187.3762,29381993.86,USD,0.992085,2015-09-30,2015-10-02,19,2,delivered,Paid,passed,0,,Sea,FOB,US-PORT-1,DEST-04,normal,7.19,3307203.74,299945.84,TRK-10000050,Maersk,force majeure review,Net 90,false,false
PO-100051,2015-03-30,2015-03-30,CUS-0066,SUP-0166,PLA,Plastic,MX,Mexico,15728,966.9512,15208208.3,MXN,17.084798,2015-04-14,,15,0,cancelled,Paid,passed,0,,Sea,DDP,MX-PORT-1,DEST-01,low,3.53,889931.71,116098.73,,DB Schenker,force majeure review,Net 30,false,false
PO-100052,2015-08-27,2015-08-27,CUS-0099,SUP-0070,STL,Steel,US,United States,8626,500.2829,4315440.59,USD,0.982936,2015-10-25,2015-10-28,59,3,delivered,Paid,passed,0,,Sea,FCA,US-PORT-4,DEST-08,low,8.81,554605.68,38893.49,TRK-10000052,FedEx,force majeure review,Net 30,false,false
PO-100053,2015-02-05,2015-02-05,CUS-0107,SUP-0117,PLA,Plastic,JP,Japan,29173,1184.0748,34543014.66,JPY,151.808832,2015-02-18,2015-02-17,13,0,delivered,Paid,passed,0,,Air,DAP,JP-PORT-1,DEST-01,normal,4.28,5707656.83,325621.52,TRK-10000053,DHL,force majeure review,Net 60,false,false
PO-100054,2015-02-23,2015-02-23,CUS-0028,SUP-0141,PLA,Plastic,KR,South Korea,2863,1165.2115,3336000.5,KRW,1333.673618,2015-03-20,2015-03-17,25,0,delivered,Refunded,passed,0,,Rail,FCA,KR-PORT-3,DEST-12,normal,8.67,446445.55,53763.49,TRK-10000054,FedEx,force majeure review,Net 45,false,false
PO-100055,2015-08-10,2015-08-10,CUS-0043,SUP-0146,PLA,Plastic,KR,South Korea,2315,1132.0057,2620593.26,KRW,1318.238628,2015-10-01,2015-10-03,52,2,delivered,Paid,passed,0,,Sea,FOB,KR-PORT-2,DEST-01,normal,2.2,74783.71,17077.14,TRK-10000055,DB Schenker,force majeure review,Net 90,false,false
PO-100056,2015-02-01,2015-02-01,CUS-0233,SUP-0147,GLS,Glass,KR,South Korea,20122,804.0736,16179568.08,KRW,1328.395018,2015-03-29,2015-03-28,56,0,delivered,Paid,passed,0,,Multimodal,FOB,KR-PORT-1,DEST-06,low,5.77,1515455.04,187267.11,TRK-10000056,DB Schenker,force majeure review,Net 45,false,false
PO-100057,2015-02-20,2015-02-20,CUS-0237,SUP-0134,SEM,Semiconductors,VN,Vietnam,9373,4.1987,39354.12,VND,24329.854566,2015-04-13,2015-04-13,52,0,delivered,Paid,passed,0,,Sea,DDP,VN-PORT-2,DEST-06,high,3.51,1805.71,302.12,TRK-10000057,FedEx,force majeure review,Net 90,false,false
PO-100058,2015-07-25,2015-07-25,CUS-0174,SUP-0014,COP,Copper,CN,China,1853,4522.0627,8379382.19,CNY,7.004366,2015-08-19,2015-08-22,25,3,delivered,Overdue,passed,0,,Sea,FCA,CN-PORT-3,DEST-01,normal,9.59,1200326.06,148270.74,TRK-10000058,FedEx,force majeure review,Net 45,false,false
PO-100059,2015-04-13,2015-04-13,CUS-0305,SUP-0091,CTN,Cotton,DE,Germany,7035,1579.7291,11113394.21,EUR,0.918542,2015-04-25,2015-04-25,12,0,delivered,Overdue,passed,0,,Air,FOB,DE-PORT-3,DEST-02,normal,10.16,812281.59,210351.32,TRK-10000059,Kuehne+Nagel,force majeure review,Net 90,false,false
PO-100060,2015-06-21,2015-06-21,CUS-0206,SUP-0084,SLC,Silicon,US,United States,7592,2354.4986,17875353.19,USD,1.007274,2015-07-21,2015-07-21,30,0,delivered,Paid,passed,0,,Sea,CIF,US-PORT-2,DEST-10,normal,11.99,251728.78,256332.84,TRK-10000060,FedEx,force majeure review,Net 30,false,false
PO-100061,2015-02-18,2015-02-18,CUS-0109,SUP-0132,LIT,Lithium,VN,Vietnam,7952,10012.5927,79620137.06,VND,24442.536901,2015-02-28,2015-02-26,10,0,delivered,Paid,passed,0,,Sea,FCA,VN-PORT-2,DEST-01,normal,1.39,7166073.17,211513.47,TRK-10000061,FedEx,force majeure review,Net 90,false,false
PO-100062,2015-06-26,2015-06-26,CUS-0088,SUP-0099,REE,Rare Earth,DE,Germany,35455,42573.3129,1509436809.47,EUR,0.922444,2015-08-27,2015-08-29,62,2,delivered,Paid,passed,0,,Sea,FOB,DE-PORT-4,DEST-08,normal,11.89,209570887.63,16726023.19,TRK-10000062,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100063,2015-03-20,2015-03-20,CUS-0009,SUP-0049,LIT,Lithium,IN,India,1880,10858.9008,20414733.58,INR,82.415661,2015-03-23,2015-03-23,3,0,delivered,Paid,passed,0,,Rail,DAP,IN-PORT-2,DEST-03,low,9.09,1820682.86,223117.88,TRK-10000063,DHL,force majeure review,Net 60,false,false
PO-100064,2015-08-09,2015-08-09,CUS-0059,SUP-0140,STL,Steel,KR,South Korea,18368,498.7691,9161391.68,KRW,1316.011837,2015-08-12,2015-08-14,3,2,delivered,Pending,passed,0,,Rail,DDP,KR-PORT-1,DEST-09,low,8.25,213405.81,116718.63,TRK-10000064,Kuehne+Nagel,force majeure review,Net 30,false,false
PO-100065,2015-02-07,2015-02-07,CUS-0307,SUP-0023,ALM,Aluminum,CN,China,5955,1729.6785,10300235.31,CNY,7.052045,2015-03-11,2015-03-12,32,1,delivered,Paid,passed,0,,Sea,FCA,CN-PORT-3,DEST-03,normal,5.85,416487.13,75895.4,TRK-10000065,Kuehne+Nagel,force majeure review,Net 45,false,false
PO-100066,2015-03-24,2015-03-24,CUS-0086,SUP-0153,STL,Steel,BR,Brazil,10609,370.147,3926889.89,BRL,4.973576,2015-05-08,2015-05-06,45,0,delivered,Pending,passed,0,,Sea,DDP,BR-PORT-1,DEST-09,low,10.4,493409.47,16449.01,TRK-10000066,Kuehne+Nagel,force majeure review,Net 30,false,false
PO-100067,2015-09-05,2015-09-05,CUS-0197,SUP-0102,PAP,Paper,DE,Germany,4601,755.3049,3475157.76,EUR,0.903752,2015-09-14,2015-09-14,9,0,delivered,Pending,passed,0,,Sea,FCA,DE-PORT-2,DEST-09,normal,1.33,416211.56,39659.2,TRK-10000067,FedEx,force majeure review,Net 90,false,false
PO-100068,2015-06-27,2015-06-27,CUS-0284,SUP-0055,REE,Rare Earth,IN,India,19447,48962.7356,952178319.78,INR,81.565461,2015-08-15,2015-08-12,49,0,delivered,Paid,passed,0,,Road,FOB,IN-PORT-1,DEST-11,normal,3.25,121095866.82,4040740.42,TRK-10000068,DHL,force majeure review,Net 30,false,false
PO-100069,2015-10-04,2015-10-04,CUS-0035,SUP-0169,CTN,Cotton,MX,Mexico,30754,1442.2884,44356136.93,MXN,16.807837,2015-10-11,2015-10-11,7,0,delivered,Paid,passed,0,,Sea,FCA,MX-PORT-4,DEST-07,low,7.83,3962565.58,601915.01,TRK-10000069,Kuehne+Nagel,force majeure review,Net 90,false,false
PO-100070,2015-11-16,2015-11-16,CUS-0140,SUP-0188,STL,Steel,TR,Turkey,3906,412.2317,1610176.93,TRY,26.435522,2015-12-07,2015-12-24,21,17,delayed,Paid,passed,0,,Air,EXW,TR-PORT-4,DEST-11,normal,5.13,277587.17,18453.53,TRK-10000070,DB Schenker,force majeure review,Net 60,true,false
PO-100071,2015-10-03,2015-10-03,CUS-0243,SUP-0008,CEM,Cement,CN,China,4601,109.2534,502674.79,CNY,7.0031,2015-10-31,2015-10-30,28,0,delivered,Paid,passed,0,,Rail,FOB,CN-PORT-3,DEST-06,normal,10.08,12404.72,1438.53,TRK-10000071,Kuehne+Nagel,force majeure review,Net 30,false,false
PO-100072,2015-12-19,2015-12-19,CUS-0154,SUP-0070,STL,Steel,US,United States,6830,533.9246,3646704.76,USD,0.980944,2016-02-26,2016-02-24,69,0,delivered,Paid,passed,0,,Road,FCA,US-PORT-3,DEST-07,normal,3.63,650057.34,72803.56,TRK-10000072,Kuehne+Nagel,force majeure review,Net 30,false,false
PO-100073,2015-04-07,2015-04-07,CUS-0083,SUP-0143,PAP,Paper,KR,South Korea,3427,689.3982,2362567.69,KRW,1329.588168,2015-04-23,2015-04-22,16,0,delivered,Paid,passed,0,,Air,FCA,KR-PORT-2,DEST-01,normal,5.39,295631.3,19493.45,TRK-10000073,FedEx,force majeure review,Net 45,false,false
PO-100074,2015-09-17,2015-09-17,CUS-0082,SUP-0026,ALM,Aluminum,CN,China,10318,1718.4524,17730992.17,CNY,7.004994,2015-11-03,2015-11-06,47,3,delivered,Paid,passed,0,,Sea,DDP,CN-PORT-4,DEST-05,low,3.95,459691.35,198098.19,TRK-10000074,DB Schenker,force majeure review,Net 45,false,false
PO-100075,2015-08-14,2015-08-14,CUS-0101,SUP-0030,LIT,Lithium,CN,China,11412,13383.8039,152735969.94,CNY,6.987252,2015-09-28,2015-09-25,45,0,delivered,Paid,passed,0,,Sea,DDP,CN-PORT-2,DEST-10,high,0.79,22457718.64,2102386.34,TRK-10000075,Kuehne+Nagel,force majeure review,Net 60,false,false
PO-100076,2015-06-12,2015-06-12,CUS-0158,SUP-0032,CTN,Cotton,CN,China,6007,1322.8938,7946623.08,CNY,7.037839,2015-08-07,2015-08-07,56,0,delivered,Paid,passed,0,,Sea,CIF,CN-PORT-1,DEST-01,high,4.87,203480.12,121404.81,TRK-10000076,DB Schenker,force majeure review,Net 90,false,false
