date,entity_type,entity_id,revenue_usd,cost_usd,gross_margin,operating_expenses,ebitda,net_profit,cash_flow,accounts_receivable,accounts_payable,inventory_value,working_capital,roi_percent
2015-01,supplier,SUP-0045,3965225.11,3479634.56,12.246,298521.34,187069.21,-124275.8,258141.68,513601.38,408285.97,1288977.11,531690.78,7.038
2015-01,supplier,SUP-0046,1566935.64,1308482.08,16.494,229286.76,29166.8,-62907.98,430307.1,272367.69,126340.89,167756.82,461268.53,20.563
2015-01,supplier,SUP-0047,4249235.1,3184930.3,25.047,322978.67,741326.12,634415.28,663669.97,1021280.03,338374.06,1011320.67,719921.18,20.642
2015-01,supplier,SUP-0048,2684532.28,1649500.38,38.555,138667.91,896364.0,837602.96,437524.55,490537.47,288080.98,309080.21,353523.5,17.366
2015-01,supplier,SUP-0049,2497024.76,1588002.25,36.404,434105.66,474916.84,367950.36,126337.72,466026.28,237837.8,387926.22,189924.76,10.3
2015-01,supplier,SUP-0050,2940679.82,1996978.99,32.091,356972.88,586727.94,386380.82,-468098.74,396441.05,349473.18,622003.77,323304.08,20.0
2015-01,supplier,SUP-0051,4433143.21,3774934.38,14.847,251458.21,406750.62,177115.33,-236711.09,359222.12,363131.83,1383280.34,1237094.87,12.75
2015-01,supplier,SUP-0052,2972480.47,2319064.56,21.982,220260.11,433155.8,353930.63,-441570.31,401317.52,228720.12,374243.18,451960.33,21.196
2015-01,supplier,SUP-0053,2927310.45,1747762.18,40.295,271328.99,908219.28,684890.19,391060.27,477172.86,337179.56,268973.81,681822.56,25.917
2015-01,supplier,SUP-0054,452740.11,347602.57,23.222,24589.28,80548.26,56885.39,-25533.59,97878.9,25139.64,39632.48,28407.11,12.538
2015-01,supplier,SUP-0055,1396419.29,956531.9,31.501,88698.47,351188.92,264142.08,-240653.41,330264.03,125123.43,87449.64,127121.47,30.148
2015-01,supplier,SUP-0056,689249.97,482537.08,29.991,39266.15,167446.75,133398.08,-81943.68,87612.92,30456.33,51133.8,167484.54,18.454
2015-01,supplier,SUP-0057,4814319.52,3432980.29,28.692,374927.54,1006411.69,886876.58,388009.82,737186.81,465280.67,406111.3,243383.97,10.065
2015-01,supplier,SUP-0058,4815739.22,4035360.2,16.205,756187.92,24191.1,-307875.88,-576852.47,590333.11,362738.48,1368798.38,995562.57,16.399
2015-01,supplier,SUP-0059,3297606.54,2099057.39,36.346,544872.31,653676.83,582741.1,482126.87,687892.45,171373.75,557606.81,775482.69,21.006
2015-01,supplier,SUP-0060,3190049.77,2496475.61,21.742,546727.43,146846.73,-5629.81,248021.43,382136.65,210862.41,918766.99,653763.0,4.911
2015-01,supplier,SUP-0061,3282613.98,2722718.39,17.056,179329.46,380566.12,154596.19,-327081.38,291856.63,366333.27,995638.09,834783.23,29.046
2015-01,supplier,SUP-0062,4181928.4,2520065.69,39.739,418486.85,1243375.86,1085858.74,-668193.77,576923.69,241982.96,457300.35,733940.28,19.151
2015-01,supplier,SUP-0063,4049047.89,2476957.51,38.826,548485.39,1023605.0,841968.01,1202546.07,906581.85,319132.66,987722.04,442061.18,29.225
2015-01,supplier,SUP-0064,3352396.11,2246775.38,32.98,200129.95,905490.78,735690.32,620069.52,622865.55,259036.81,637399.33,464486.7,10.059
2015-01,supplier,SUP-0065,117747.33,80362.08,31.75,17095.51,20289.75,16904.01,21735.0,28179.93,14648.62,19067.98,8234.77,24.962
2015-01,supplier,SUP-0066,554073.11,454604.4,17.952,70074.12,29394.59,12391.55,115011.06,137279.38,25345.25,92719.18,82083.78,6.496
2015-01,supplier,SUP-0067,1438321.16,999225.41,30.528,239188.97,199906.79,169932.93,326116.43,161823.52,154400.41,85247.62,393870.86,28.958
2015-01,supplier,SUP-0068,2507294.47,1924589.24,23.24,350454.27,232250.96,81687.63,268919.84,324791.31,372560.79,284699.85,315600.96,5.443
2015-01,supplier,SUP-0069,2914751.95,1808382.61,37.958,298146.86,808222.48,644690.51,236609.73,216349.75,293952.6,718679.67,262772.11,22.444
2015-01,supplier,SUP-0070,3202678.25,2207950.8,31.059,510303.19,484424.25,300384.52,98955.02,470644.91,226894.92,620901.41,237281.63,16.3
2015-01,supplier,SUP-0071,4783124.41,2782666.15,41.823,322769.08,1677689.18,1401321.43,951847.24,907029.71,142496.48,911361.58,240889.93,23.196
2015-01,supplier,SUP-0072,1575151.24,1070705.77,32.025,279030.56,225414.92,189140.67,74309.1,162222.28,115723.4,201953.94,319557.54,12.229
2015-01,supplier,SUP-0073,2130281.89,1275374.05,40.131,175609.7,679298.15,513766.43,36895.53,443761.27,235647.53,349043.44,486689.2,20.04
2015-01,supplier,SUP-0074,3302489.15,2031844.66,38.475,576686.86,693957.64,523592.9,939931.64,642743.54,298743.56,240253.48,585994.72,8.345
2015-01,supplier,SUP-0075,1960553.26,1660438.36,15.308,281765.74,18349.16,-48484.61,118995.91,190568.51,202084.37,163667.52,387348.87,23.441
2015-01,supplier,SUP-0076,3514569.25,2984756.06,15.075,392262.86,137550.34,-125406.57,-475581.76,658464.06,504024.24,600529.87,503011.16,14.549
2015-01,supplier,SUP-0077,2599144.34,1913357.43,26.385,220925.29,464861.62,276550.61,379763.99,523207.01,371041.33,606214.14,285468.39,12.062
2015-01,supplier,SUP-0078,3537335.5,2114335.0,40.228,544321.41,878679.09,637510.69,623909.39,226786.34,353378.48,288333.84,476462.1,16.834
2015-01,supplier,SUP-0079,1062645.29,798661.26,24.842,176826.73,87157.3,42869.9,30209.34,90463.95,50649.63,181030.23,242810.29,7.422
2015-01,supplier,SUP-0080,2907571.13,2292652.25,21.149,403980.05,210938.84,36606.74,-120001.43,335016.37,437918.31,547775.73,457836.21,17.161
2015-01,supplier,SUP-0081,4619077.65,3891232.02,15.757,564720.37,163125.25,31145.31,1123612.11,234423.18,236369.04,1259624.48,406781.79,13.338
2015-01,supplier,SUP-0082,2438313.46,1560996.63,35.98,416113.23,461203.6,297900.45,593438.44,431876.18,258693.17,365552.33,472974.69,26.215
2015-01,supplier,SUP-0083,423112.96,347138.17,17.956,26782.98,49191.81,29268.94,-10623.95,88297.62,60660.87,107145.78,89920.44,19.467
2015-01,supplier,SUP-0084,1085248.23,890661.71,17.93,182033.7,12552.82,-34058.83,182601.79,140699.91,62932.41,100484.37,187777.35,20.055
2015-01,supplier,SUP-0085,606527.62,455428.54,24.912,62311.92,88787.16,50939.34,-109201.21,45752.65,56228.98,52771.28,160349.28,11.66
2015-01,supplier,SUP-0086,4653789.43,2659735.97,42.848,603242.05,1390811.42,1228369.9,1343422.69,642108.65,170153.61,1011787.8,278680.64,19.064
2015-01,supplier,SUP-0087,2649562.3,1992597.46,24.795,404957.45,252007.39,118544.56,-402690.77,497805.29,284468.37,707113.91,517766.43,26.427
2015-01,supplier,SUP-0088,4829140.33,2855623.12,40.867,725705.98,1247811.24,1014490.45,615245.36,1164449.7,461345.72,759209.35,1057445.7,16.499
2015-01,supplier,SUP-0089,4473521.22,3513401.8,21.462,404999.84,555119.58,452180.89,923792.41,607631.86,218405.74,518077.74,1254089.73,20.814
2015-01,supplier,SUP-0090,4024107.16,2938796.98,26.97,488709.36,596600.81,292452.58,-641736.79,887948.35,194363.55,690117.07,283874.51,7.337
2015-01,supplier,SUP-0091,4382999.04,3188080.32,27.263,641834.17,553084.54,342221.42,1174113.11,770544.72,564674.45,391277.13,464494.1,29.947
2015-01,supplier,SUP-0092,4804976.58,3560628.46,25.897,378276.25,866071.87,747852.76,937754.11,710808.79,502177.53,1221675.62,416226.28,31.924
2015-01,supplier,SUP-0093,999016.77,618745.84,38.065,172220.69,208050.24,160519.37,8348.85,169156.38,87991.67,183402.93,58069.2,31.01
2015-01,supplier,SUP-0094,2594226.89,1445800.29,44.269,402691.26,745735.34,585565.45,-492319.85,214442.05,217079.59,545191.72,635145.82,17.544
2015-01,supplier,SUP-0095,4003614.58,2514676.28,37.19,425833.38,1063104.92,910835.74,-626375.66,376481.65,198537.85,520097.82,1152451.29,14.122
2015-01,supplier,SUP-0096,2608504.83,2132496.06,18.248,351250.65,124758.13,-50454.95,328208.02,450339.0,215883.7,209725.21,391880.94,6.428
2015-01,supplier,SUP-0097,3445812.23,2811251.33,18.415,289348.14,345212.76,143492.58,963696.45,719642.68,312739.24,1075126.34,229253.41,12.616
2015-01,supplier,SUP-0098,2136772.4,1834548.22,14.144,213639.72,88584.46,-3307.77,160171.53,236726.14,361457.6,440944.64,480619.86,7.296
2015-01,supplier,SUP-0099,3518468.35,2812867.85,20.054,504797.34,200803.15,123351.49,665745.74,377554.36,303712.35,982643.84,738748.36,18.905
2015-01,supplier,SUP-0100,3629003.44,3017744.54,16.844,586787.53,24471.36,-260733.71,738329.1,606165.92,556413.79,869804.85,524848.56,21.295
2015-01,supplier,SUP-0101,3082618.0,2144768.98,30.424,474942.87,462906.16,274298.69,116831.69,159933.77,350393.11,670074.28,264207.65,21.61
2015-01,supplier,SUP-0102,2188668.57,1683479.65,23.082,371129.49,134059.43,49104.86,521289.93,435952.45,334086.52,626364.87,385253.04,11.371
2015-01,supplier,SUP-0103,2536839.66,1954909.82,22.939,265845.13,316084.71,205016.46,26390.19,382239.29,312605.6,217908.62,412919.75,30.948
2015-01,supplier,SUP-0104,635255.33,473123.39,25.522,95687.63,66444.31,21233.38,-109722.07,67210.06,23799.2,69125.33,181597.81,13.742
2015-01,supplier,SUP-0105,1365044.14,1083216.26,20.646,176238.49,105589.38,40186.43,28831.41,339358.03,163058.65,206512.63,293537.27,13.646
2015-01,supplier,SUP-0106,1706402.6,1311216.87,23.159,287381.15,107804.58,15289.25,160231.96,379334.08,100728.18,151967.27,440446.54,17.723
2015-01,supplier,SUP-0107,747327.9,482453.17,35.443,102443.4,162431.32,129893.28,144276.51,71848.64,62829.54,135147.66,182940.1,27.273
2015-01,supplier,SUP-0108,3527190.74,2791744.93,20.851,304522.14,430923.66,233584.18,286578.02,215579.56,319211.9,273136.05,683950.15,27.513
2015-01,supplier,SUP-0109,1770974.77,1180738.77,33.328,101731.88,488504.13,444172.33,-180514.74,195788.23,108334.13,464524.46,445968.48,26.357
2015-01,supplier,SUP-0110,290917.12,196562.91,32.433,16558.84,77795.37,58722.15,6173.2,16815.2,13924.25,42396.23,52736.11,22.747
2015-01,supplier,SUP-0111,2036349.38,1300612.94,36.13,328426.65,407309.79,334339.64,-371251.59,143922.32,230988.58,364206.44,468105.53,26.742
2015-01,supplier,SUP-0112,2961032.4,1789227.26,39.574,334764.83,837040.31,646752.24,-365111.12,734992.17,285110.53,602239.35,721160.24,22.23
2015-01,supplier,SUP-0113,302772.54,226080.4,25.33,15623.31,61068.83,45652.79,71844.02,19854.37,32153.86,41746.46,54092.51,14.326
2015-01,supplier,SUP-0114,922858.74,596039.07,35.414,162577.83,164241.84,110709.33,27555.8,187259.93,87907.56,237757.65,210846.46,15.711
2015-01,supplier,SUP-0115,573377.7,396760.37,30.803,96932.05,79685.28,48277.85,55271.32,38145.91,70366.88,144342.24,117734.9,9.945
2015-01,supplier,SUP-0116,2704396.64,1549070.88,42.72,184014.63,971311.13,781937.85,-13173.13,160721.67,89626.07,467113.91,188189.26,5.506
2015-01,supplier,SUP-0117,4078504.32,2667409.96,34.598,568602.85,842491.52,755821.32,15667.66,766316.29,462492.89,764430.97,426366.28,15.836
2015-01,supplier,SUP-0118,681606.25,530909.78,22.109,111684.1,39012.37,18162.6,7915.99,154986.91,99833.33,196666.72,109891.15,25.99
2015-01,supplier,SUP-0119,3310596.38,2035196.33,38.525,554164.32,721235.73,594063.28,-206060.93,637535.6,174667.73,236155.36,835044.4,10.902
2015-01,supplier,SUP-0120,4078556.95,2949402.83,27.685,343124.19,786029.94,639672.08,496602.88,307564.1,497924.96,959029.35,483311.97,4.67
2015-01,supplier,SUP-0121,1269700.37,910915.14,28.257,166143.36,192641.87,120793.06,17886.41,257883.78,80236.26,354805.15,277778.49,11.404
2015-01,supplier,SUP-0122,1670027.29,1274954.18,23.657,285213.6,109859.51,-9885.17,367403.16,148496.87,68072.07,232162.36,84478.66,9.769
2015-01,supplier,SUP-0123,2404182.84,1867752.86,22.312,130205.66,406224.32,298553.48,573846.88,398919.26,330515.11,601120.3,202808.66,4.195
2015-01,supplier,SUP-0124,4251126.54,2699584.21,36.497,257321.27,1294221.06,1158542.97,6754.29,635829.28,300054.46,941181.36,1091166.96,26.593
2015-01,supplier,SUP-0125,379130.06,251508.42,33.662,61015.18,66606.45,46511.22,12679.0,49309.88,21142.13,42131.57,79795.66,27.871
2015-01,supplier,SUP-0126,466538.12,391601.76,16.062,75440.11,-503.75,-10526.85,-18489.0,58985.2,77854.58,85316.17,117120.2,17.002
2015-01,supplier,SUP-0127,1803273.28,1510046.0,16.261,125071.15,168156.13,50947.39,186274.84,439322.41,125391.76,516034.59,157988.6,12.501
2015-01,supplier,SUP-0128,4118512.69,3203343.33,22.221,413477.46,501691.91,319358.77,-151209.26,905663.95,347059.26,1072891.15,1091125.87,16.55
2015-01,supplier,SUP-0129,2588048.16,1873871.01,27.595,287662.98,426514.17,361890.8,-271376.38,234638.56,176286.66,167149.18,737158.6,28.479
2015-01,supplier,SUP-0130,1102034.64,719124.07,34.746,134144.23,248766.34,201242.56,-189328.24,189623.13,101397.03,237577.42,306018.99,20.208
2015-01,supplier,SUP-0131,3392263.87,1916934.98,43.491,256444.13,1218884.76,961015.73,-393759.07,438049.31,353695.33,382267.16,909195.91,24.399
2015-01,supplier,SUP-0132,4291011.9,3221457.11,24.925,655716.89,413837.89,104222.95,-39286.75,374723.16,554576.79,883888.47,278883.44,28.34
2015-01,supplier,SUP-0133,4016421.03,3422407.02,14.79,476674.28,117339.73,-147774.73,669629.66,434601.19,635905.57,1034049.32,869272.83,22.871
2015-01,supplier,SUP-0134,4434531.6,3732994.79,15.82,568607.69,132929.12,36705.24,804190.97,796307.83,713217.12,1215953.0,456857.32,31.217
2015-01,supplier,SUP-0135,2555106.46,1682069.73,34.168,142835.29,730201.44,634153.3,427128.51,485892.42,116602.33,442824.68,396203.29,31.513
2015-01,supplier,SUP-0136,571454.25,429298.34,24.876,97529.34,44626.58,25196.13,149391.29,133136.07,46260.56,121844.79,150732.41,29.287
2015-01,supplier,SUP-0137,2094603.22,1286009.45,38.604,146091.15,662502.62,495768.44,-204189.63,359069.39,212714.78,106179.81,587927.89,11.878
2015-01,supplier,SUP-0138,4074529.28,2383433.64,41.504,209404.5,1481691.14,1377300.79,1103502.65,922241.31,202607.45,861878.8,1149989.55,20.135
2015-01,supplier,SUP-0139,2082750.72,1757133.72,15.634,279821.46,45795.54,-97446.8,-87197.1,300924.51,165478.86,315697.83,434787.56,12.511
2015-01,supplier,SUP-0140,166570.15,95289.9,42.793,12099.83,59180.41,52999.3,15891.68,26466.69,17447.83,25285.07,25511.83,9.959
2015-01,supplier,SUP-0141,697793.85,424996.58,39.094,109200.3,163596.96,144208.29,21487.15,131896.55,27097.91,75692.95,145113.55,7.502
2015-01,supplier,SUP-0142,860723.82,572859.76,33.444,141923.65,145940.41,111914.34,139294.64,76053.58,39795.55,47702.54,183994.99,16.057
2015-01,supplier,SUP-0143,1771583.13,1327447.75,25.07,169453.1,274682.28,145491.27,-79909.83,194458.21,146082.4,492696.04,114868.0,16.938
2015-01,supplier,SUP-0144,1034480.44,899472.17,13.051,164187.14,-29178.87,-67124.12,-43561.01,96835.07,90554.55,233205.25,234211.06,7.385
2015-01,supplier,SUP-0145,4219158.25,3366467.76,20.21,601592.28,251098.21,-58872.58,-144963.99,674542.61,178263.87,568390.2,592935.46,4.606
2015-01,supplier,SUP-0146,3630746.67,2227546.9,38.648,426090.33,977109.44,738092.66,717828.42,898537.64,141998.04,620517.77,562486.8,9.98
2015-01,supplier,SUP-0147,1366325.65,790078.43,42.175,117613.76,458633.46,376075.83,-12714.03,117457.51,76095.98,155137.51,144012.91,26.494
2015-01,supplier,SUP-0148,3005739.67,2059361.66,31.486,526656.6,419721.41,339726.33,173887.82,661450.33,368831.53,571605.95,678293.44,12.321
2015-01,supplier,SUP-0149,247181.5,184717.01,25.271,36535.81,25928.69,14642.97,-34570.36,26576.0,19573.9,46872.57,44330.92,31.882
2015-01,supplier,SUP-0150,326793.94,230167.83,29.568,57816.12,38809.99,18031.79,-59447.89,16631.05,37968.68,44534.93,58844.11,12.131
2015-01,supplier,SUP-0151,4616916.63,4054573.84,12.18,559980.92,2361.88,-364641.57,-73082.18,329109.14,357984.17,892649.78,283509.1,31.139
2015-01,supplier,SUP-0152,1730046.92,1095666.21,36.668,177019.92,457360.8,319425.88,-203478.09,417609.93,133493.53,434432.18,390973.52,30.756
2015-01,supplier,SUP-0153,3384224.52,2767532.03,18.223,171651.48,445041.0,321930.43,621633.65,316398.69,318702.39,359842.74,670216.66,9.623
2015-01,supplier,SUP-0154,3720206.13,3173812.26,14.687,345394.95,200998.92,45328.09,399498.44,902167.4,580366.9,820102.76,203556.89,7.602
2015-01,supplier,SUP-0155,4921333.36,3786735.28,23.055,358496.85,776101.24,571630.11,-431656.18,975757.54,478467.18,509838.18,1359907.58,24.239
2015-01,supplier,SUP-0156,2496432.57,1404561.13,43.737,342539.56,749331.87,660689.86,564316.66,559315.93,212481.66,249431.46,219641.14,13.884
2015-01,supplier,SUP-0157,1711441.79,1472590.97,13.956,189341.7,49509.12,-20536.76,291031.61,215222.7,137769.21,532929.48,201696.57,23.987
2015-01,supplier,SUP-0158,4457112.16,2804889.76,37.069,369694.11,1282528.29,1046329.9,896566.64,811843.79,333476.51,356285.97,1012960.51,27.589
2015-01,supplier,SUP-0159,145118.26,123784.81,14.701,13299.24,8034.22,-854.16,21655.14,14836.51,15441.6,38550.8,24149.34,18.242
2015-01,supplier,SUP-0160,1986474.16,1729290.61,12.947,294970.78,-37787.23,-130779.55,370860.68,439616.08,139678.84,470914.45,334267.99,9.487
2015-01,supplier,SUP-0161,3299608.76,2326699.92,29.486,284546.75,688362.1,547567.55,-533045.24,322822.79,282652.12,305789.52,261525.68,27.492
2015-01,supplier,SUP-0162,492154.46,373169.77,24.176,72490.65,46494.05,14099.6,46735.73,62988.44,58169.67,49025.56,122243.54,13.554
2015-01,supplier,SUP-0163,4546793.88,2799700.76,38.425,811888.12,935205.0,791874.13,1199037.75,781143.36,192753.99,473165.24,901276.69,13.033
2015-01,supplier,SUP-0164,3140947.13,2263442.43,27.938,361882.64,515622.06,288826.41,710771.13,692446.73,234980.15,648042.48,341673.55,14.542
2015-01,supplier,SUP-0165,2732627.01,1945951.91,28.788,170163.4,616511.7,548596.05,394313.11,246709.32,376757.85,259831.58,764394.39,23.095
2015-01,supplier,SUP-0166,4308424.78,2813686.18,34.693,361059.74,1133678.86,907132.3,556526.24,1023207.93,543049.53,241067.61,730546.07,18.298
2015-01,supplier,SUP-0167,3606861.03,2860694.93,20.687,553582.75,192583.35,23231.79,838915.89,662469.42,569869.58,867355.6,786284.3,17.033
2015-01,supplier,SUP-0168,2574310.63,1869861.9,27.365,132093.67,572355.07,515166.8,-250644.03,226982.85,199255.19,337447.16,702337.8,13.213
2015-01,supplier,SUP-0169,3830420.06,2849587.81,25.606,281467.7,699364.55,445764.85,-292134.36,310813.51,262922.2,657675.83,356121.97,23.138
2015-01,supplier,SUP-0170,4112692.61,3011424.61,26.777,314683.71,786584.29,676637.79,627122.93,782069.97,344502.02,947965.62,860869.56,26.394
2015-01,supplier,SUP-0171,2113431.66,1744142.84,17.473,376325.03,-7036.21,-174842.94,467268.23,375087.15,126327.5,555172.21,398776.5,28.609
2015-01,supplier,SUP-0172,786627.76,459532.26,41.582,41878.16,285217.34,239250.58,110381.91,184012.93,76355.45,143259.84,106161.68,6.531
2015-01,supplier,SUP-0173,270051.99,195686.31,27.538,42762.15,31603.53,14107.65,11533.37,42065.08,9786.51,57194.0,30911.47,15.332
2015-01,supplier,SUP-0174,1032951.58,626517.03,39.347,166123.65,240310.9,170466.65,128723.0,180729.87,55696.3,198476.08,122362.18,30.106
2015-01,supplier,SUP-0175,1474875.75,888772.5,39.739,156390.64,429712.62,361023.56,-17258.98,230603.76,88518.73,243220.33,269107.52,29.136
2015-01,supplier,SUP-0176,1131234.08,919330.88,18.732,69641.57,142261.62,91252.65,56731.1,132917.98,170233.55,149195.9,282079.64,4.984
2015-01,supplier,SUP-0177,4307001.42,3691503.2,14.291,465930.66,149567.56,-37841.47,669183.47,345490.11,464427.99,1080421.23,915170.61,21.561
2015-01,supplier,SUP-0178,2039012.58,1575693.41,22.723,210349.1,252970.07,160834.6,255374.01,156465.26,135158.6,596942.82,256356.83,24.419
2015-01,supplier,SUP-0179,916422.92,666207.06,27.304,156932.86,93283.01,64889.33,80303.74,108842.45,56082.94,194886.78,157345.7,29.826
2015-01,supplier,SUP-0180,3686967.95,3151998.82,14.51,559479.9,-24510.77,-192657.63,284297.9,816144.2,277661.47,287311.81,329233.76,4.789
